split,scope,dataset,pair,confidence_bin,confidence_rank_start_percent,confidence_rank_end_percent,n,n_harmful,harm_rate,mean_delta_rr,mean_harm,mean_confidence,min_confidence,max_confidence
dev,pair,MKG-W,M-Hyper + NativE,top_20pct,0,20,5132,217,0.04228371005455962,0.01599226294428703,0.06250341147562982,0.7563703421188531,0.4877269355539253,0.9927703703367905
dev,pair,MKG-W,M-Hyper + NativE,20_to_40pct,20,40,5131,1336,0.26037809393880335,0.008395319248498867,0.028957530057318086,0.3249846240112986,0.24695401958930263,0.48730095784572725
dev,pair,MKG-W,M-Hyper + NativE,40_to_60pct,40,60,5131,1352,0.26349639446501655,0.004428617677872398,0.02732200565458355,0.20138024784982056,0.1614321421457786,0.24694071733453438
dev,pair,MKG-W,M-Hyper + NativE,60_to_80pct,60,80,5131,1277,0.24887936074839212,0.0029454788285063586,0.022987950397268014,0.12358760657054967,0.08467715201950465,0.16142606395561
dev,pair,MKG-W,M-Hyper + NativE,bottom_20pct,80,100,5131,892,0.17384525433638667,-0.0009487275264518669,0.023199947678712307,0.042996510672448224,4.730888566006897e-06,0.08460908030226655
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,top_20pct,0,20,5132,8,0.001558846453624318,0.002438503459713945,0.08787248019536353,0.7671760587710429,0.5205281806417552,0.9898673332145425
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,20_to_40pct,20,40,5131,468,0.0912102903917365,0.008418367407834334,0.022324496734801618,0.37099928735381477,0.26919153552925923,0.5204598894594836
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,40_to_60pct,40,60,5131,753,0.14675501851490938,0.0020573228432097432,0.026539646832289047,0.21415875811648508,0.16498355601584325,0.26914125296913505
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,60_to_80pct,60,80,5131,713,0.13895926719937635,-0.0011506647768053009,0.02755329842682147,0.12355057890200113,0.08276759032134684,0.164972656748412
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,bottom_20pct,80,100,5131,309,0.060222178912492694,-0.0008715370103527989,0.02260938688771061,0.040756659048892536,5.9517769822603483e-05,0.08276338746759904
dev,pair,DB15K,M-Hyper + NativE,top_20pct,0,20,9507,129,0.013568949195329758,0.0007047925016639154,0.051066130134812406,0.48143871967614515,0.3207905298841516,0.9417345174163112
dev,pair,DB15K,M-Hyper + NativE,20_to_40pct,20,40,9506,1395,0.14674942141805175,0.0027701626973408128,0.03824285407289842,0.26531294961799845,0.22253859981725577,0.3207758876047795
dev,pair,DB15K,M-Hyper + NativE,40_to_60pct,40,60,9507,1527,0.1606184916377406,0.002376206751723163,0.03361014472375681,0.18709328862448113,0.15185578335344085,0.22253570682434276
dev,pair,DB15K,M-Hyper + NativE,60_to_80pct,60,80,9506,1179,0.12402693035977277,0.0005817451341676509,0.03866284643318327,0.11473680973705731,0.0771850741029112,0.15183574057836036
