split,scope,dataset,pair,n_observations,n_finite_confidence,n_nonfinite_fallback,n_harmful,harm_prevalence,auroc_risk_to_harm,auprc_risk_to_harm,auprc_lift_over_prevalence,spearman_confidence_vs_delta_rr_raw,mean_delta_rr_raw
dev,pair,MKG-W,M-Hyper + NativE,25656,25656,0,5074,0.19777050202681634,0.5628862402088963,0.2023151776313285,0.004544675604512161,-0.030828769716153444,0.006162973368028282
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,25656,25656,0,2251,0.08773776114748986,0.5810982723527373,0.09260843717983916,0.004870676032349294,-0.024696124352328618,0.002178408522897214
dev,pair,DB15K,M-Hyper + NativE,47532,47532,0,4694,0.09875452326853489,0.5193575321760464,0.09147819399078072,-0.007276329277754165,-0.02718523228242454,0.0013391865609572
dev,pair,DB15K,M-Hyper + AdaMF-MAT,47532,47532,0,5046,0.10616006059075991,0.5339678189951509,0.10147384715189191,-0.004686213438868006,-0.01196253145404582,-0.000516088788401536
dev,pooled,Pooled,Pooled,146376,146376,0,17065,0.11658331966989124,0.5417054892723224,0.11353406074010812,-0.0030492589297831246,-0.01799807181065895,0.0017293133923505244
test,pair,MKG-W,M-Hyper + NativE,25644,25644,0,5126,0.19989081266573078,0.5583392190643146,0.20204010967747862,0.002149297011747847,-0.03882435494845715,0.005871563707364281
test,pair,MKG-W,M-Hyper + AdaMF-MAT,25644,25644,0,2278,0.08883169552331929,0.5686006103433119,0.09100659318559706,0.0021748976622777694,-0.03386135757838417,0.001940879381383467
test,pair,DB15K,M-Hyper + NativE,59412,59412,0,5785,0.0973709015013802,0.5274163501953755,0.09161161928736711,-0.0057592822140130895,-0.027649000815001126,0.0012714114745521433
test,pair,DB15K,M-Hyper + AdaMF-MAT,59412,59412,0,6465,0.10881640072712584,0.5277122881611492,0.10264514561185112,-0.006171255115274721,-0.025353879924126303,-0.0002987932423679853
test,pooled,Pooled,Pooled,170112,170112,0,19654,0.11553564710308503,0.5371169112092564,0.11133714101185462,-0.004198506091230417,-0.02656986495043452,0.0015173972734338107
