split,dataset,pair,variant_id,variant,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
dev,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,head,12828,0.1967702584727821,0.193246981302892,0.0035232771698901007,0.22248207047084503,0.4418459619582164,0.0158003034809554,0.09112878079201746,0.8767539756782039,0.17467259120673526,0.4,0.06189585282195198,2854,5668,4306,4276
dev,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,tail,12828,0.5280688702181264,0.5183575257112162,0.009711344506910325,0.13868101028999064,0.1856096039912691,0.047208554699106925,0.10024945431867789,0.8606173994387278,0.2326395385095104,0.44999999999999996,0.2983317742438416,1779,2381,8668,4276
dev,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,head,12828,0.19670890499932744,0.193246981302892,0.0034619236964354197,0.22045525413158715,0.5106797630183972,0.019327000715339233,0.0,0.9593857187402557,0.16303009042719052,0.3,0.0,2828,6551,3449,4276
dev,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,tail,12828,0.5278705432963657,0.5183575257112162,0.0095130175851497,0.11342376052385407,0.2540536326785158,0.052629947423171404,0.0,0.9303086997193639,0.16744621141253507,0.35,0.0,1455,3259,8114,4276
dev,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,head,12828,0.1988226418201816,0.193246981302892,0.005575660517289587,0.26520112254443406,0.4416120985344559,0.024005755488685707,0.09112878079201746,0.893903960087309,0.3134900218272529,0.5499999999999999,0.16284689741191144,3402,5665,3761,4276
dev,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,tail,12828,0.5279602593323294,0.5183575257112162,0.009602733621113278,0.1682257561584035,0.1962114125350795,0.06094931196954146,0.10024945431867789,0.8808855628313065,0.3056789834736514,0.44999999999999996,0.4952447770502027,2158,2517,8153,4276
dev,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,head,12828,0.1968477850226489,0.193246981302892,0.003600803719756885,0.2418927346429685,0.4683504833177424,0.015744164991576604,0.0,0.9465232304334269,0.1793654505768631,0.4,0.06189585282195198,3103,6008,3717,4276
dev,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,tail,12828,0.5279488201584538,0.5183575257112162,0.00959129444723762,0.155207358902401,0.20806049267227938,0.0456723299290816,0.0,0.9331150608044901,0.23745712503897723,0.44999999999999996,0.2983317742438416,1991,2669,8168,4276
test,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,head,12822,0.1951008998736798,0.19196994065968492,0.0031309592139948826,0.24879114022773358,0.4640461706442053,0.020711201879038764,0.0,0.9439245047574482,0.17823272500389956,0.4,0.06426454531274373,3190,5950,3682,4274
test,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,tail,12822,0.5452517093142851,0.5366395411135514,0.008612168200733678,0.15099048510372798,0.20004679457182967,0.0528793429042594,0.0,0.9411948214007175,0.23733816877242236,0.4,0.322960536577757,1936,2565,8321,4274
test,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,head,12822,0.19570864138215113,0.19196994065968492,0.0037387007224662,0.22921541101232257,0.5112306972391203,0.022311120878000714,0.0,0.9613944782405242,0.1689829979722352,0.25,0.0,2939,6555,3328,4274
test,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,tail,12822,0.5453027711825119,0.5366395411135514,0.008663230068960514,0.11675245671502106,0.23919825300265168,0.06016485151430728,0.0,0.9276243955701139,0.16483387927000465,0.35,0.0,1497,3067,8258,4274
test,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,head,12822,0.19643615647082865,0.19196994065968492,0.0044662158111437415,0.29285602870067073,0.4688816097332709,0.030920697395366323,0.0,0.9705974107003588,0.3189440024957105,0.5499999999999999,0.14560910934331617,3755,6012,3055,4274
test,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,tail,12822,0.5466359135776324,0.5366395411135514,0.0099963724640811,0.18437061300889096,0.21525503041647168,0.06160764893242657,0.0,0.9701294649820621,0.3104078926844486,0.44999999999999996,0.5010138823896428,2364,2760,7698,4274
test,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,head,12822,0.1951008998736798,0.19196994065968492,0.0031309592139948826,0.24879114022773358,0.4640461706442053,0.020711201879038764,0.0,0.9439245047574482,0.17823272500389956,0.4,0.06426454531274373,3190,5950,3682,4274
test,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,tail,12822,0.5452517093142851,0.5366395411135514,0.008612168200733678,0.15099048510372798,0.20004679457182967,0.0528793429042594,0.0,0.9411948214007175,0.23733816877242236,0.4,0.322960536577757,1936,2565,8321,4274
dev,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,head,12828,0.1901056171468275,0.1891354783297105,0.0009701388171169822,0.09588400374181479,0.339881509198628,0.015224251799836209,0.28710632990333645,0.4680386654193951,0.09225522294979732,0.30000000000000004,0.3604614904895541,1230,4360,7238,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,tail,12828,0.5203025533247672,0.5165084524038296,0.0037941009209375943,0.042952915497349545,0.16206735266604302,0.046837837558459,0.19644527595884004,0.2456345494231369,0.05471624571250391,0.30000000000000004,0.6490489554100405,551,2079,10198,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,head,12828,0.18158139068718854,0.1891354783297105,-0.007554087642521986,0.29622700342999686,0.5339881509198628,0.06664779942678346,0.0,0.9783286560648581,0.502085282195198,0.65,0.0,3800,6850,2178,4276
