split,dataset,pair,variant_id,variant,seed,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
dev,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,1,8552,0.3624934915590034,0.35662229993488065,0.005871191624122709,0.181244153414406,0.3118568755846586,0.026980202775086448,0.09436389148737137,0.8689195509822264,0.2040692235734331,0.4,0.18194574368568756,1550,2667,4335,4276
dev,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,2,8552,0.360694871207355,0.3554834299140099,0.005211441293345144,0.18112722170252574,0.31033676333021515,0.029735462038950545,0.09869036482694106,0.8663470533208606,0.2006372778297474,0.4,0.17949017773620204,1549,2654,4349,4276
dev,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,3,8552,0.3640703302700045,0.35530103067227164,0.008769299597732786,0.1793732460243218,0.31898971000935455,0.026856936078643773,0.0940130963517306,0.8707904583723106,0.206261693171188,0.4,0.17890551917680075,1534,2728,4290,4276
dev,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,1,8552,0.3627998946125654,0.35662229993488065,0.006177594677684769,0.16791393826005613,0.38119738072965387,0.029993696269186205,0.0,0.9446913002806361,0.16627104770813841,0.35,0.0,1436,3260,3856,4276
dev,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,2,8552,0.36125252358389237,0.3554834299140099,0.005769093669882513,0.1652245088868101,0.3810804490177736,0.029485215927511903,0.0,0.9408325537885874,0.16190949485500464,0.35,0.0,1413,3259,3880,4276
dev,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,3,8552,0.36281675424708204,0.35530103067227164,0.007515723574810398,0.1676800748362956,0.384822263797942,0.0324266203455844,0.0,0.9490177736202058,0.16753391019644528,0.35,0.0,1434,3291,3827,4276
dev,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,1,8552,0.3625920739478753,0.35662229993488065,0.005969774012994619,0.2171421889616464,0.3175865294667914,0.03816034321938084,0.09436389148737137,0.8873947614593077,0.310272450888681,0.5,0.3255378858746492,1857,2716,3979,4276
dev,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,2,8552,0.362898385045165,0.3554834299140099,0.007414955131155087,0.2165575304022451,0.3158325537885875,0.03730873478981757,0.09869036482694106,0.8852899906454631,0.30285898035547243,0.5499999999999999,0.32974742750233865,1852,2701,3999,4276
dev,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,3,8552,0.3646838927357262,0.35530103067227164,0.009382862063454593,0.21644059869036483,0.3233161833489242,0.039565997414179835,0.0940130963517306,0.8894995322731525,0.315622076707203,0.5499999999999999,0.33185219831618334,1851,2765,3936,4276
dev,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,1,8552,0.3626560112430938,0.35662229993488065,0.006033711308213163,0.19878391019644528,0.3362956033676333,0.02556558254923184,0.0,0.9382600561272217,0.2087055659494855,0.4,0.18194574368568756,1700,2876,3976,4276
dev,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,2,8552,0.36032687881533904,0.3554834299140099,0.00484344890132915,0.20065481758652948,0.3360617399438728,0.03088552750996468,0.0,0.941534144059869,0.2057238072965388,0.4,0.17949017773620204,1716,2874,3962,4276
dev,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,3,8552,0.36421201771322115,0.35530103067227164,0.008910987040949447,0.1962114125350795,0.34225912067352665,0.02582043940218723,0.0,0.9396632366697848,0.2108044901777362,0.4,0.17890551917680075,1678,2927,3947,4276
test,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,1,8548,0.37171664891357686,0.3656807730096404,0.006035875903936403,0.200280767430978,0.3283809078146935,0.03177193828881896,0.0,0.939167056621432,0.20825339260645762,0.4,0.1941974730931212,1712,2807,4029,4274
test,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,2,8548,0.3685800871006858,0.3635419400376622,0.005038147063023567,0.1991109031352363,0.3316565278427702,0.03230700518019542,0.0,0.9432615816565278,0.2040243331773514,0.4,0.19279363593823118,1702,2835,4011,4274
test,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,3,8548,0.3702321777676846,0.36369150961255176,0.006540668155132872,0.200280767430978,0.3361020121665887,0.034499451337400226,0.0,0.9452503509592888,0.2110786148806738,0.4,0.19384651380439868,1712,2873,3963,4274
test,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,1,8548,0.37238193529980707,0.3656807730096404,0.006701162290166571,0.17232101076275153,0.3747075339260646,0.033550826508362455,0.0,0.9460692559663079,0.16859499298081423,0.35,0.0,1473,3203,3872,4274
test,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,2,8548,0.3690503551898287,0.3635419400376622,0.005508415152166469,0.1716190921853065,0.3757604117922321,0.03580089703497707,0.0,0.9406878802058961,0.16335985025737013,0.35,0.0,1467,3212,3869,4274
test,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,3,8548,0.37008482835735873,0.36369150961255176,0.0063933187448070306,0.17501169864295743,0.37517547964436126,0.03589497565523586,0.0,0.9467711745437529,0.16877047262517547,0.35,0.0,1496,3207,3845,4274
test,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,1,8548,0.37284388430726645,0.3656807730096404,0.007163111297625901,0.24029012634534394,0.3398455779129621,0.04138029654519422,0.0,0.9687646233036967,0.31524333177351427,0.5,0.32101076275152085,2054,2905,3589,4274
test,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,2,8548,0.3701001810298284,0.3635419400376622,0.00655824099216624,0.23537669630322883,0.3447590079550772,0.04380375345062115,0.0,0.9701684604585868,0.30784978942442676,0.5499999999999999,0.32042583060365,2012,2947,3589,4274
