split,dataset,pair,variant_id,variant,n_observations,mrr,global_mrr,delta_mrr_vs_global,delta_mrr_ci95_low,delta_mrr_ci95_high,harmful_query_rate,harmful_query_rate_ci95_low,harmful_query_rate_ci95_high,beneficial_query_rate,mean_harm,mean_harm_ci95_low,mean_harm_ci95_high,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
dev,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,25656,0.3624195643454543,0.3558022535070541,0.006617310838400213,0.005525208509349456,0.007720222060079631,0.18058154038041785,0.1740723417524166,0.18740255690676644,0.31372778297474274,0.02786058384294365,0.024797333972935546,0.031103342470529125,0.09568911755534767,0.8686856875584659,0.20365606485812285,0.4,0.1801138135328968,4633,8049,12974,4276
dev,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,25656,0.36228972414784666,0.3558022535070541,0.00648747064079256,0.0054216333565425875,0.007561120964175813,0.16693950732772062,0.16058621764889305,0.1733317742438416,0.3823666978484565,0.03064051634921637,0.027326044938058982,0.03406064939265692,0.0,0.9448472092298098,0.16523815091986277,0.35,0.0,4283,9810,11563,4276
dev,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,25656,0.3633914505762555,0.3558022535070541,0.0075891970692014326,0.006222734765518027,0.008985904222433384,0.21671343935141876,0.20965855940130965,0.22369036482694107,0.3189117555347677,0.038344639460931515,0.034793391648675,0.04205434560571821,0.09568911755534767,0.8873947614593077,0.3095845026504521,0.5499999999999999,0.32904583723105707,5560,8182,11914,4276
dev,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,25656,0.36239830259055134,0.3558022535070541,0.006596049083497253,0.005489614604085586,0.007718744650700572,0.19855004677268476,0.19180698472092297,0.2054110149672591,0.33820548799501093,0.027441647596714504,0.024554342343331852,0.030457631151939755,0.0,0.9398191456189585,0.20841128780792018,0.4,0.1801138135328968,5094,8677,11885,4276
test,MKG-W,M-Hyper + NativE,A_full_anchored,Full Anchored,25644,0.3701763045939824,0.3643047408866182,0.00587156370736428,0.004713688382956482,0.007054787424714257,0.19989081266573078,0.19322258618000313,0.20663703010450787,0.33204648260801745,0.03286054269543111,0.029641069549978295,0.03620121199993445,0.0,0.9425596630790828,0.20778544688816097,0.4,0.19361254094525035,5126,8515,12003,4274
test,MKG-W,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,25644,0.37050570628233154,0.3643047408866182,0.006200965395713357,0.0051236811525578905,0.007300046131663616,0.1729839338636718,0.1665496802370925,0.17945718296677585,0.37521447512088596,0.035085474972353946,0.0314893785050441,0.038696975904960684,0.0,0.944509436905319,0.1669084386211199,0.35,0.0,4436,9622,11586,4274
test,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,25644,0.37153603502423055,0.3643047408866182,0.007231294137612421,0.005740487710213421,0.008727232233813659,0.23861332085478085,0.23128217126813289,0.2457884885353299,0.3420683200748713,0.04277622173490062,0.03917099127633009,0.04649955077424889,0.0,0.9703634378412104,0.3146759475900795,0.5499999999999999,0.3233114958664795,6119,8772,10753,4274
test,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,25644,0.3701763045939824,0.3643047408866182,0.00587156370736428,0.004713688382956482,0.007054787424714257,0.19989081266573078,0.19322258618000313,0.20663703010450787,0.33204648260801745,0.03286054269543111,0.029641069549978295,0.03620121199993445,0.0,0.9425596630790828,0.20778544688816097,0.4,0.19361254094525035,5126,8515,12003,4274
dev,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,25656,0.3552040852357974,0.35282196536677013,0.0023821198690272883,0.0017114529399108436,0.0030852747875551637,0.06941845961958217,0.06540380417835984,0.07355004677268476,0.2509744309323355,0.025004760364126584,0.020631128764692398,0.029767298132031206,0.24177580293108825,0.356836607421266,0.0734857343311506,0.30000000000000004,0.5047552229497974,1781,6439,17436,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,25656,0.3450176122901445,0.35282196536677013,-0.007804353076625562,-0.009870496395774527,-0.005714874871388014,0.23928125974430933,0.2317187012784534,0.2466089803554724,0.43295915185531647,0.10546052326722648,0.0993065156670881,0.1117119178164127,0.0,0.9778999064546305,0.43903960087309013,0.65,0.0,6139,11108,8409,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,25656,0.3573538056567367,0.35282196536677013,0.004531840289966653,0.003548801601576563,0.005583931756175476,0.08773776114748986,0.08317742438415965,0.09241502962270035,0.24653102588088557,0.03511009227351108,0.030171373894874145,0.04034066198432519,0.24177580293108825,0.356836607421266,0.15360734331150608,0.6,0.5047552229497974,2251,6325,17080,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,25656,0.3549259534585364,0.35282196536677013,0.0021039880917663434,0.0013945618072628895,0.0028302780912630005,0.08660742126598067,0.08200810726535702,0.09136264421577799,0.3028531337698784,0.025322272165855364,0.02121821933196857,0.029743298131900367,0.0,0.461451512316807,0.08035547240411599,0.30000000000000004,0.5047552229497974,2222,7770,15664,4276
test,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,25644,0.361705206590221,0.3597209394760818,0.0019842671141391895,0.0013906721273355023,0.0026028433375229485,0.07303852753080643,0.06871002963656216,0.07732802994852597,0.24555451567618156,0.02429895742385057,0.020012366506108843,0.02878578866963436,0.24220090469505537,0.3562626735298705,0.07602363125877397,0.30000000000000004,0.5036265793167992,1873,6297,17474,4274
test,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,25644,0.3524703842866344,0.3597209394760818,-0.007250555189447373,-0.009428650595240444,-0.005048177590243901,0.24017313991576977,0.2326470129464982,0.24754425986585554,0.4308610201216659,0.11200868933465896,0.10556268666051408,0.11862760059929586,0.0,0.9803462798315395,0.4381921697083138,0.65,0.0,6159,11049,8436,4274
test,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,25644,0.36335173420614786,0.3597209394760818,0.003630794730066063,0.0026969478237887754,0.004593668951381157,0.0896895960068632,0.08501013882389642,0.0944080486663547,0.24301980970207457,0.03898329845005098,0.033527603537292616,0.04460434971884805,0.24220090469505537,0.3562626735298705,0.15236312587739823,0.6,0.5036265793167992,2300,6232,17112,4274
test,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,25644,0.3616618188574653,0.3597209394760818,0.0019408793813834673,0.001300107066174189,0.0025958280868262355,0.08883169552331929,0.08399625643425362,0.09366713461238496,0.29878334113242866,0.025819895728174985,0.021744513879493423,0.030006196850211907,0.0,0.4627593199188894,0.083099360474185,0.30000000000000004,0.5036265793167992,2278,7662,15704,4274
dev,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,47532,0.38388735714662897,0.38258701302410913,0.0013003441225198072,0.000744487271236856,0.0018534058643764253,0.09595640831439872,0.09250610115290751,0.09951190776739881,0.21684338971640157,0.03586540879478484,0.0322780883339004,0.03944352683608986,0.05299587646217285,0.4295211646890516,0.06976563157451822,0.25,0.5139695363123791,4561,10307,32664,7922
dev,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,47532,0.3731263658875256,0.38258701302410913,-0.00946064713658354,-0.011237372470976842,-0.0076637713239248225,0.2894681477741311,0.28389295632416056,0.2952116468905159,0.3605150214592275,0.11197266560380376,0.10778506718411653,0.11620477040231188,0.0,1.0,0.46601868215097186,0.65,0.0,13759,17136,16637,7922
dev,DB15K,M-Hyper + NativE,C_no_bound,No Bound,47532,0.38481245593090174,0.38258701302410913,0.002225442906792565,0.0013286153655551198,0.003126688358729918,0.11958259698729277,0.11573255911806783,0.12355886560632837,0.2297820415719936,0.056610661110255055,0.052274385651446674,0.060993960605648816,0.05299587646217285,0.4430488933770933,0.1396932592779601,0.5,0.5139695363123791,5684,10922,30926,7922
dev,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,47532,0.3839261995850663,0.38258701302410913,0.0013391865609572,0.000779034003148576,0.0018964454945603107,0.09875452326853489,0.09524110073213835,0.10239417655474208,0.22534292687031895,0.03564258884229265,0.03213586680995515,0.03918367845616646,0.0,0.45312631490364386,0.0713329967180005,0.25,0.5139695363123791,4694,10711,32127,7922
test,DB15K,M-Hyper + NativE,A_full_anchored,Full Anchored,59412,0.37583807026233057,0.3745666587877784,0.001271411474552143,0.0007745244213721354,0.001775272216726597,0.0973709015013802,0.09424022083080859,0.10055207702147714,0.22337238268363294,0.034421176755794564,0.03136951814938234,0.03758234925204146,0.0,0.4441695280414731,0.06926799299804753,0.25,0.521982091160035,5785,13271,40356,9902
test,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,59412,0.36562095021602753,0.3745666587877784,-0.00894570857175086,-0.01051858986365572,-0.007346385589747985,0.29042954285329564,0.28541330034336493,0.29544536457281356,0.3661549855248098,0.10780454652612625,0.1041147888793662,0.11161213354898454,0.0,1.0,0.4634972732781257,0.65,0.0,17255,21754,20403,9902
test,DB15K,M-Hyper + NativE,C_no_bound,No Bound,59412,0.3770871824567996,0.3745666587877784,0.0025205236690212154,0.0017827853797494871,0.0032844385048132864,0.1208510065306672,0.11726545142395475,0.12445297246347539,0.23682084427388406,0.051426742697372324,0.048030664182529444,0.05504740632249101,0.0,0.46138827172961694,0.1386302430485424,0.5,0.521982091160035,7180,14070,38162,9902
test,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,59412,0.37583807026233057,0.3745666587877784,0.001271411474552143,0.0007745244213721354,0.001775272216726597,0.0973709015013802,0.09424022083080859,0.10055207702147714,0.22337238268363294,0.034421176755794564,0.03136951814938234,0.03758234925204146,0.0,0.4441695280414731,0.06926799299804753,0.25,0.521982091160035,5785,13271,40356,9902
dev,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,47532,0.3830365293335568,0.38258701302410913,0.00044951630944764303,2.046691098401984e-05,0.0008887246157715957,0.04247664731128503,0.04022553227299504,0.0448329546410839,0.09993267693343431,0.048756342415094876,0.042378117278802516,0.055295090349633313,0.5432129933518471,0.1554952453084238,0.04211057813683414,0.30000000000000004,0.5159471513927459,2019,4750,40763,7922
dev,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,47532,0.3560741308967349,0.38258701302410913,-0.026512882127374265,-0.028525841319149127,-0.02449175949840258,0.32205671968358157,0.3163126946057393,0.32780021879996635,0.3633131364133636,0.15035951830212077,0.1458284913326498,0.1550511416132509,0.0,0.9999789615416982,0.462239123117058,0.65,0.0,15308,17269,14955,7922
dev,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,47532,0.3832269481808281,0.38258701302410913,0.0006399351567189283,-2.07293667335164e-06,0.0012843326879223807,0.05308003029537996,0.050491773962804,0.05570983758310191,0.09437852394176555,0.06887123862817424,0.06157377045777404,0.07632929487361417,0.5432129933518471,0.1554952453084238,0.08416750820499873,0.6,0.5159471513927459,2523,4486,40523,7922
dev,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,47532,0.38207092423570754,0.38258701302410913,-0.0005160887884015361,-0.0011578941660462866,0.00013125331274186153,0.10616006059075991,0.10235209963813852,0.11001009845998486,0.2431835395102247,0.05447459526239146,0.050220944979561595,0.05884590262821971,0.0,0.4572498527307919,0.0834385256248422,0.30000000000000004,0.5159471513927459,5046,11559,30927,7922
