split,dataset,pair,scope,seed,direction,magnitude_bucket,bucket_order,n,observation_rate,delta_mrr_contribution,mean_delta_rr_within_bucket,harm_rate,mean_harm,mean_benefit,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,pair,pooled,pooled,0,0,4220,0.1644839413782351,0.0,0.0,0.0,,,0,0,4220
dev,MKG-W,M-Hyper + NativE,pair,pooled,pooled,"(0,0.05]",1,8295,0.3233161833489242,0.0004447154487118216,0.0013754815614406865,0.20976491862567812,0.01684434777544497,0.011320207028475044,1740,3597,2958
dev,MKG-W,M-Hyper + NativE,pair,pooled,pooled,"(0.05,0.10]",2,6519,0.2540926099158092,0.0007917040163310552,0.0031158089036646035,0.24359564350360485,0.019461359944287132,0.01553901633328808,1588,3296,1635
dev,MKG-W,M-Hyper + NativE,pair,pooled,pooled,"(0.10,0.20]",3,6622,0.2581072653570315,0.002972559669088703,0.011516760928743546,0.07203261854424645,0.07477123818427235,0.21566449226211498,477,519,5626
dev,MKG-W,M-Hyper + NativE,pair,pooled,pooled,>0.20,4,0,0.0,0.0,,,,,0,0,0
dev,MKG-W,M-Hyper + NativE,seed,1,pooled,0,0,1388,0.16230121608980355,0.0,0.0,0.0,,,0,0,1388
dev,MKG-W,M-Hyper + NativE,seed,1,pooled,"(0,0.05]",1,2702,0.31594948550046775,0.0007501738122754896,0.00237434731405625,0.21354552183567727,0.019072974863492822,0.01497901370491431,577,1163,962
dev,MKG-W,M-Hyper + NativE,seed,1,pooled,"(0.05,0.10]",2,2249,0.26297942001870905,0.0007905534719201057,0.003006141970591705,0.24811027123165852,0.016415218190937504,0.013783987049700325,558,1155,536
dev,MKG-W,M-Hyper + NativE,seed,1,pooled,"(0.10,0.20]",3,2213,0.25876987839101967,0.002164094064225527,0.00836300607196417,0.07772254857659286,0.08555918243028535,0.20014163744136013,172,166,1875
dev,MKG-W,M-Hyper + NativE,seed,1,pooled,>0.20,4,0,0.0,0.0,,,,,0,0,0
dev,MKG-W,M-Hyper + NativE,seed,2,pooled,0,0,1449,0.16943405051449953,0.0,0.0,0.0,,,0,0,1449
dev,MKG-W,M-Hyper + NativE,seed,2,pooled,"(0,0.05]",1,2926,0.3421421889616464,1.7778500928750586e-05,5.196231713693609e-05,0.21838687628161313,0.017142761275356647,0.008576267331965691,639,1295,992
dev,MKG-W,M-Hyper + NativE,seed,2,pooled,"(0.05,0.10]",2,1985,0.23210944808231992,0.0005174502059712591,0.002229337109050986,0.2518891687657431,0.023534783341253765,0.01645592056107021,500,984,501
