split,dataset,pair,scope,seed,direction,n_observations,mrr_anchored,global_mrr,delta_mrr_vs_global,n_changed_alpha,changed_alpha_rate,n_exact_anchor,exact_anchor_rate,mean_abs_alpha_delta,median_abs_alpha_delta,p90_abs_alpha_delta,p95_abs_alpha_delta,max_abs_alpha_delta,positive_shift_rate,negative_shift_rate,boundary_alpha_rate,saturation_rate,fallback_rate
dev,MKG-W,M-Hyper + NativE,direction,pooled,head,12828,0.19525851243397213,0.193246981302892,0.0020115311310801272,10844,0.8453383224197069,1984,0.15466167758029312,0.07335516058621763,0.050000000000000044,0.14999999999999997,0.19999999999999996,0.20000000000000007,0.21265980667290302,0.6326785157468039,0.0,0.0,0.04669473027751793
dev,MKG-W,M-Hyper + NativE,direction,pooled,tail,12828,0.5247639528483992,0.5183575257112161,0.006406427137183033,10592,0.8256937948238229,2236,0.17430620517617712,0.10388213283442471,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.5932335516058622,0.23246024321796072,0.0,0.0,0.04840972871842844
dev,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,head,12828,0.1897588829674498,0.1891354783297105,0.0006234046377393133,6194,0.4828500155908949,6634,0.5171499844091051,0.03903570314936078,0.0,0.09999999999999998,0.09999999999999998,0.15000000000000002,0.0,0.4828500155908949,0.5171499844091051,0.3604614904895541,0.22793888369192392
dev,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,12828,0.5184060856538469,0.5165084524038295,0.0018976332500173297,3252,0.25350795135640786,9576,0.7464920486435921,0.022945899594636734,0.0,0.09999999999999998,0.15000000000000002,0.19999999999999996,0.0,0.25350795135640786,0.7464920486435921,0.6490489554100405,0.15832553788587464
dev,DB15K,M-Hyper + NativE,direction,pooled,head,23766,0.24423924572147693,0.24351429823048043,0.0007249474909965145,13511,0.5685012202305815,10255,0.4314987797694185,0.04349701253892116,0.050000000000000044,0.09999999999999998,0.09999999999999998,0.15000000000000002,0.0,0.5685012202305815,0.4314987797694185,0.3631658672052512,0.0
dev,DB15K,M-Hyper + NativE,direction,pooled,tail,23766,0.5221472992944431,0.5216597278177378,0.0004875714767053265,5351,0.22515358074560296,18415,0.774846419254397,0.013161659513590851,0.0,0.050000000000000044,0.050000000000000044,0.15000000000000002,0.0,0.22515358074560296,0.774846419254397,0.6647732054195069,0.0
dev,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,23766,0.24381148326286162,0.24351429823048043,0.00029718503238120985,7205,0.30316418412858703,16561,0.696835815871413,0.032298241184885966,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0,0.30316418412858703,0.696835815871413,0.42548178069511067,0.4171505512076075
dev,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,23766,0.5218973091938417,0.5216597278177378,0.00023758137610386523,2871,0.12080282756879576,20895,0.8791971724312042,0.013098544138685515,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0,0.12080282756879576,0.8791971724312042,0.6064125220903812,0.4986114617520828
test,MKG-W,M-Hyper + NativE,direction,pooled,head,12822,0.1951008998736798,0.1919699406596849,0.003130959213994883,12103,0.9439245047574482,719,0.056075495242551864,0.17823272500389956,0.15000000000000002,0.30000000000000004,0.4,0.4,0.2356886601154266,0.7082358446420215,0.07011386679145219,0.06426454531274373,0.0
test,MKG-W,M-Hyper + NativE,direction,pooled,tail,12822,0.545251709314285,0.5366395411135514,0.00861216820073368,12068,0.9411948214007175,754,0.058805178599282484,0.23733816877242236,0.25,0.4,0.4,0.4,0.6579316799251287,0.28326314147558884,0.3498674153798159,0.322960536577757,0.0
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,head,12822,0.18565498214345738,0.184160657385129,0.0014943247583283853,6156,0.4801123069723912,6666,0.5198876930276088,0.09849867415379815,0.0,0.25,0.30000000000000004,0.44999999999999996,0.0,0.4801123069723912,0.5198876930276088,0.3454219310559975,0.28614880673841836
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,12822,0.5377554310369844,0.5352812215670345,0.002474209469949993,2980,0.23241304008734986,9842,0.7675869599126501,0.053548588363749795,0.0,0.25,0.30000000000000004,0.44999999999999996,0.0,0.23241304008734986,0.7675869599126501,0.661831227577601,0.1982530026516924
test,DB15K,M-Hyper + NativE,direction,pooled,head,29706,0.23870554386081466,0.23722596474809204,0.001479579112722615,17690,0.5955025920689423,12016,0.4044974079310577,0.10485928768598936,0.09999999999999998,0.25,0.25,0.44999999999999996,0.0,0.5955025920689423,0.4044974079310577,0.379754931663637,0.0
test,DB15K,M-Hyper + NativE,direction,pooled,tail,29706,0.5129705966638464,0.5119073528274647,0.0010632438363816713,8699,0.2928364640140039,21007,0.7071635359859961,0.0336766983101057,0.0,0.15000000000000002,0.15000000000000002,0.44999999999999996,0.0,0.2928364640140039,0.7071635359859961,0.664209250656433,0.0
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,29706,0.23790300324290925,0.23722596474809204,0.0006770384948171823,3043,0.10243721807042348,26663,0.8975627819295765,0.032439574496734666,0.0,0.30000000000000004,0.30000000000000004,0.44999999999999996,0.0,0.10243721807042348,0.8975627819295765,0.4368141116272807,0.6588231333737292
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,29706,0.5126584685775338,0.5119073528274647,0.0007511157500691142,1101,0.037063219551605735,28605,0.9629367804483943,0.012202921968625867,0.0,0.0,0.0,0.44999999999999996,0.0,0.037063219551605735,0.9629367804483943,0.6054669090419443,0.6842388743014879
