split,dataset,pair,scope,seed,direction,n_observations,mrr_anchored,global_mrr,delta_mrr_vs_global,n_changed_alpha,changed_alpha_rate,n_exact_anchor,exact_anchor_rate,mean_abs_alpha_delta,median_abs_alpha_delta,p90_abs_alpha_delta,p95_abs_alpha_delta,max_abs_alpha_delta,positive_shift_rate,negative_shift_rate,boundary_alpha_rate,saturation_rate,fallback_rate
dev,MKG-W,M-Hyper + NativE,seed,1,pooled,8552,0.3603271212833018,0.35662229993488065,0.0037048213484211223,7164,0.8376987839101965,1388,0.16230121608980355,0.08930074836295603,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.40341440598690365,0.4342843779232928,0.0,0.0,0.04922825070159027
dev,MKG-W,M-Hyper + NativE,seed,2,pooled,8552,0.35859843037529104,0.35548342991400983,0.0031150004612811666,7103,0.8305659494855004,1449,0.16943405051449953,0.08707904583723104,0.050000000000000044,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.409377923292797,0.42118802619270346,0.0,0.0,0.04829279700654818
dev,MKG-W,M-Hyper + NativE,seed,3,pooled,8552,0.3611081462649641,0.35530103067227164,0.00580711559269245,7169,0.8382834424695977,1383,0.16171655753040223,0.08947614593077642,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.39604770813844714,0.4422357343311506,0.0,0.0,0.045135640785781105
dev,MKG-W,M-Hyper + AdaMF-MAT,seed,1,pooled,8552,0.3538440013088608,0.3527399793479298,0.0011040219609310144,2913,0.340622076707203,5639,0.659377923292797,0.02765434985968195,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0,0.340622076707203,0.659377923292797,0.5266604303086997,0.20474742750233862
dev,MKG-W,M-Hyper + AdaMF-MAT,seed,2,pooled,8552,0.35416825295738663,0.35283037373056747,0.0013378792268191224,3378,0.39499532273152477,5174,0.6050046772684752,0.03345416276894294,0.0,0.09999999999999998,0.15000000000000002,0.19999999999999996,0.0,0.39499532273152477,0.6050046772684752,0.48947614593077643,0.1787885874649205
dev,MKG-W,M-Hyper + AdaMF-MAT,seed,3,pooled,8552,0.3542351986656976,0.35289554302181275,0.0013396556438848275,3155,0.3689195509822264,5397,0.6310804490177736,0.031863891487371385,0.0,0.09999999999999998,0.15000000000000002,0.19999999999999996,0.0,0.3689195509822264,0.6310804490177736,0.49812909260991584,0.19586061739943872
dev,DB15K,M-Hyper + NativE,seed,1,pooled,15844,0.3845684635091514,0.3841293779489628,0.0004390855601886361,6555,0.4137212825044181,9289,0.5862787174955819,0.030519439535470844,0.0,0.09999999999999998,0.09999999999999998,0.15000000000000002,0.0,0.4137212825044181,0.5862787174955819,0.5016409997475385,0.0
dev,DB15K,M-Hyper + NativE,seed,2,pooled,15844,0.3826586566844682,0.3820373224646448,0.0006213342198234799,5871,0.37055036606917446,9973,0.6294496339308255,0.025123074981065394,0.0,0.09999999999999998,0.09999999999999998,0.15000000000000002,0.0,0.37055036606917446,0.6294496339308255,0.5325675334511487,0.0
dev,DB15K,M-Hyper + NativE,seed,3,pooled,15844,0.3823526973302605,0.3815943386587199,0.0007583586715406453,6436,0.4062105528906842,9408,0.5937894471093158,0.02934549356223176,0.0,0.09999999999999998,0.09999999999999998,0.15000000000000002,0.0,0.4062105528906842,0.5937894471093158,0.5077000757384499,0.0
dev,DB15K,M-Hyper + AdaMF-MAT,seed,1,pooled,15844,0.3839531905171813,0.3841293779489628,-0.00017618743178151946,3701,0.233590002524615,12143,0.766409997475385,0.02512623074981065,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0,0.233590002524615,0.766409997475385,0.5083312294875032,0.44022973996465536
dev,DB15K,M-Hyper + AdaMF-MAT,seed,2,pooled,15844,0.38226110111083733,0.3820373224646448,0.00022377864619257829,3785,0.23889169401666246,12059,0.7611083059833376,0.025612219136581668,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0,0.23889169401666246,0.7611083059833376,0.5047336531178995,0.4491290078263065
dev,DB15K,M-Hyper + AdaMF-MAT,seed,3,pooled,15844,0.38234889705703645,0.3815943386587199,0.0007545583983165541,2590,0.16346882100479676,13254,0.8365311789952032,0.017356728098964904,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0,0.16346882100479676,0.8365311789952032,0.5347765715728351,0.48428427164857357
test,MKG-W,M-Hyper + NativE,seed,1,pooled,8548,0.3717166489135768,0.3656807730096404,0.006035875903936403,8028,0.939167056621432,520,0.06083294337856809,0.20825339260645762,0.19999999999999996,0.4,0.4,0.4,0.4443144595226954,0.4948525970987365,0.21116050538137576,0.1941974730931212,0.0
test,MKG-W,M-Hyper + NativE,seed,2,pooled,8548,0.36858008710068574,0.3635419400376622,0.005038147063023567,8063,0.9432615816565278,485,0.05673841834347216,0.2040243331773514,0.19999999999999996,0.4,0.4,0.4,0.4518015910154422,0.49145999064108564,0.20893776321946655,0.19279363593823118,0.0
test,MKG-W,M-Hyper + NativE,seed,3,pooled,8548,0.3702321777676846,0.3636915096125517,0.006540668155132872,8080,0.9452503509592888,468,0.05474964904071128,0.2110786148806738,0.19999999999999996,0.4,0.4,0.4,0.4443144595226954,0.5009358914365933,0.2098736546560599,0.19384651380439868,0.0
test,MKG-W,M-Hyper + AdaMF-MAT,seed,1,pooled,8548,0.36266772061993546,0.3606102414333147,0.00205747918662069,2846,0.3329433785680861,5702,0.6670566214319139,0.06805685540477305,0.0,0.25,0.25,0.44999999999999996,0.0,0.3329433785680861,0.6670566214319139,0.521408516612073,0.25362657931679927
test,MKG-W,M-Hyper + AdaMF-MAT,seed,2,pooled,8548,0.36066291805345563,0.3588541218335704,0.0018087962198851846,3310,0.3872250818905007,5238,0.6127749181094992,0.08393191389798783,0.0,0.25,0.30000000000000004,0.44999999999999996,0.0,0.3872250818905007,0.6127749181094992,0.48525970987365463,0.22426298549368273
test,MKG-W,M-Hyper + AdaMF-MAT,seed,3,pooled,8548,0.3617849810972718,0.35969845516136006,0.0020865259359116933,2980,0.3486195601310248,5568,0.6513804398689752,0.07608212447356105,0.0,0.25,0.30000000000000004,0.44999999999999996,0.0,0.3486195601310248,0.6513804398689752,0.5042115114646701,0.24871314927468413
test,DB15K,M-Hyper + NativE,seed,1,pooled,19804,0.3767455158670009,0.37537340126984575,0.0013721145971551624,9082,0.4585942233892143,10722,0.5414057766107857,0.07465663502322764,0.0,0.25,0.25,0.44999999999999996,0.0,0.4585942233892143,0.5414057766107857,0.5098464956574429,0.0
test,DB15K,M-Hyper + NativE,seed,2,pooled,19804,0.37561298875174515,0.3748110422730253,0.0008019464787198388,8371,0.42269238537669157,11433,0.5773076146233084,0.06197232882246011,0.0,0.19999999999999996,0.25,0.44999999999999996,0.0,0.42269238537669157,0.5773076146233084,0.5405978590183801,0.0
