scope,label,pair,split,population,n,harm_n,prevalence,ap,ap_lift,sklearn_error
pair,W-N,mkgw_mhyper_native,dev_oof,all,25656,5863,0.22852354225132523,0.20154501910560368,-0.02697852314572155,2.7755575615628914e-17
pair,W-N,mkgw_mhyper_native,dev_oof,proposed,23061,5863,0.25423875807640606,0.2825801612741523,0.02834140319774625,0.0
pair,W-N,mkgw_mhyper_native,dev_oof,executed,16238,3837,0.236297573592807,0.2538817896599301,0.01758421606712307,0.0
pair,W-N,mkgw_mhyper_native,test,all,25644,5804,0.22632974574949305,0.19599889451985913,-0.030330851229633915,0.0
pair,W-N,mkgw_mhyper_native,test,proposed,22848,5804,0.2540266106442577,0.2761699776157265,0.022143366971468792,-5.551115123125783e-17
pair,W-N,mkgw_mhyper_native,test,executed,16240,3885,0.23922413793103448,0.25576769329577215,0.016543555364737672,0.0
pair,W-A,mkgw_mhyper_adamf,dev_oof,all,25656,1702,0.06633925787340193,0.055670206115585125,-0.010669051757816808,-6.938893903907228e-18
pair,W-A,mkgw_mhyper_adamf,dev_oof,proposed,9966,1702,0.17078065422436284,0.15169854440686395,-0.019082109817498888,0.0
pair,W-A,mkgw_mhyper_adamf,dev_oof,executed,4998,961,0.19227691076430573,0.19195048330564746,-0.0003264274586582683,-2.7755575615628914e-17
pair,W-A,mkgw_mhyper_adamf,test,all,25644,1696,0.06613632818593043,0.05653883755873551,-0.009597490627194921,0.0
pair,W-A,mkgw_mhyper_adamf,test,proposed,10156,1696,0.16699487987396613,0.15396008564584973,-0.013034794228116403,-2.7755575615628914e-17
pair,W-A,mkgw_mhyper_adamf,test,executed,5204,928,0.17832436587240585,0.17464453306262112,-0.0036798328097847333,0.0
pair,D-N,db15k_mhyper_native,dev_oof,all,47532,2519,0.05299587646217285,0.0373809928381654,-0.015614883624007453,0.0
pair,D-N,db15k_mhyper_native,dev_oof,proposed,16792,2519,0.15001191043353979,0.14438672107535666,-0.005625189358183125,0.0
pair,D-N,db15k_mhyper_native,dev_oof,executed,4807,783,0.16288745579363428,0.14505769258476753,-0.017829763208866756,-2.7755575615628914e-17
pair,D-N,db15k_mhyper_native,test,all,59412,3164,0.05325523463273413,0.03723096998068881,-0.016024264652045317,6.938893903907228e-18
pair,D-N,db15k_mhyper_native,test,proposed,20143,3164,0.15707690016382864,0.15060315460133372,-0.006473745562494915,-2.7755575615628914e-17
pair,D-N,db15k_mhyper_native,test,executed,4678,846,0.18084651560495937,0.17569322658523692,-0.005153289019722451,-2.7755575615628914e-17
