dataset,stage,split,triples,observations_per_pair,sha256
mkg_w,canonical,train,34196,,61e60a55886675a9144b9725f9b7451e3002a49bbf9429c50e322c4d943f2fb3
mkg_w,canonical,valid,4276,25656.0,03d25d880788492632516c3a419f4d92b4c59216123a89201819e1203075f254
mkg_w,canonical,test,4274,25644.0,1a7fc2ee545925732e999e075ad69726eee55d507f300fb7c5bc22d476fcd11d
mkg_w,pinned_openke,train,34196,,162472571a7dce5eae63bd84204a700eef8383c4aaba14f235286b951772d24d
mkg_w,pinned_openke,valid,4276,,6663fda7fd976447000999c16a3e7faf1f7f12e9a59eeda060f16fdff22e2073
mkg_w,pinned_openke,test,4274,,aa1206dd573739452fb28d092afe4ce09c14dc8b78a24e1f3991c2672604d2f1
db15k,canonical,train,71300,,df9faa7bcba6856ad718432f7141e453fb001b2f9e5aa6580e8d1a9756987435
db15k,canonical,valid,7922,47532.0,4bfaee6744dc4cb9fb1952e822c3d9d3fef405252432876201a2e9d210d8fff8
db15k,canonical,test,9902,59412.0,e421b4b686597ca02d094388ac85c18ff85e83cd6e57dce65d4582e00462a493
db15k,pinned_openke,train,79222,,5ce5372a0775e68f6b15ac42326a7cc65313883a3d9d3a3ebda1ef7ace299809
db15k,pinned_openke,valid,9904,,d3353283d7ff2aa36a3c0494a57f78ebff922ebedd0c1fcd9bf537ffc0ed97de
db15k,pinned_openke,test,9902,,b6ac229c242ea31eb9f442d8dce4054ff17fd64aecc8344f73fb04636fccc157
