dataset,pair,seed,global_mrr,dynasemble_mrr,delta_dynasemble_vs_global,delta_ci95_low,delta_ci95_high,weight_mean,effective_alpha_mean,weight_zero_fraction,selector_behavior
MKG-W,M-Hyper + NativE,1,0.36568077300964047,0.33697535566170544,-0.028705417347935025,-0.033369343451544006,-0.024029266760547844,0.0,0.0,1.0,collapsed_to_secondary
MKG-W,M-Hyper + NativE,2,0.3635419400376622,0.36813948301491006,0.004597542977247848,0.0016534662014600777,0.007599522362073776,0.380866877666675,0.2754521856361296,0.0,active
MKG-W,M-Hyper + NativE,3,0.36369150961255176,0.3397093900237651,-0.023982119588786655,-0.028591492370842714,-0.01943755411880191,0.0,0.0,1.0,collapsed_to_secondary
MKG-W,M-Hyper + AdaMF-MAT,1,0.3606102414333147,0.2878929084783724,-0.07271733295494232,-0.07878841823316289,-0.06630354457605611,0.0,0.0,1.0,collapsed_to_secondary
MKG-W,M-Hyper + AdaMF-MAT,2,0.35885412183357046,0.3444833975128661,-0.014370724320704353,-0.01865209039305205,-0.010073171219036003,0.3778460009244066,0.2737760356727648,0.0,active
MKG-W,M-Hyper + AdaMF-MAT,3,0.3596984551613601,0.29886173506754227,-0.06083672009381785,-0.06704604696095935,-0.0548532912391956,0.0,0.0,1.0,collapsed_to_secondary
DB15K,M-Hyper + NativE,1,0.3753734012698457,0.3144991991264362,-0.060874202143409495,-0.06481563536883392,-0.05693511510763895,0.0,0.0,1.0,collapsed_to_secondary
DB15K,M-Hyper + NativE,2,0.37481104227302536,0.3759059084523815,0.0010948661793561132,-0.0005677953615608304,0.002840913665430037,0.7065287698154328,0.41346861426052356,0.0,active
DB15K,M-Hyper + NativE,3,0.3735155328204641,0.30986051184786645,-0.06365502097259768,-0.06756220262427805,-0.0596963773213536,0.0,0.0,1.0,collapsed_to_secondary
DB15K,M-Hyper + AdaMF-MAT,1,0.3753734012698457,0.2846745105573005,-0.09069889071254522,-0.09491165055538325,-0.08657514590169743,0.0,0.0,1.0,collapsed_to_secondary
DB15K,M-Hyper + AdaMF-MAT,2,0.37481104227302536,0.33758356157438035,-0.03722748069864501,-0.04021783621063199,-0.03424129306650891,0.7717047578709171,0.43512490843208107,0.0,active
DB15K,M-Hyper + AdaMF-MAT,3,0.3735155328204641,0.2895145369938225,-0.08400099582664161,-0.08818814926055597,-0.07978729801124465,0.0,0.0,1.0,collapsed_to_secondary
