dataset,pair,scope_type,scope_value,seed,direction,n_queries,primary_mrr,global_mrr,query_soft_mrr,dynasemble_mrr,anchored_mrr,delta_dynasemble_vs_global,delta_anchored_vs_global
MKG-W,M-Hyper + NativE,overall,all,,,25644,0.3597209394760818,0.36430474088661813,0.37050570628233154,0.34827474290012683,0.3701763045939824,-0.016029997986491296,0.005871563707364247
MKG-W,M-Hyper + NativE,direction,head,,head,12822,0.18416065738512905,0.1919699406596849,0.1957086413821511,0.18412156202110236,0.1951008998736798,-0.007848378638582537,0.003130959213994894
MKG-W,M-Hyper + NativE,direction,tail,,tail,12822,0.5352812215670345,0.5366395411135514,0.5453027711825119,0.5124279237791514,0.5452517093142851,-0.024211617334400026,0.008612168200733739
MKG-W,M-Hyper + NativE,seed,1,1,,8548,0.3606102414333147,0.36568077300964047,0.37238193529980707,0.33697535566170544,0.37171664891357686,-0.028705417347935025,0.006035875903936394
MKG-W,M-Hyper + NativE,seed_direction,seed1_head,1,head,4274,0.18471850074188262,0.19204503603488862,0.19750789942879196,0.177620557727011,0.19684545217237748,-0.01442447830787763,0.004800416137488855
MKG-W,M-Hyper + NativE,seed_direction,seed1_tail,1,tail,4274,0.5365019821247469,0.5393165099843924,0.5472559711708223,0.4963301535964,0.5465878456547764,-0.04298635638799242,0.0072713356703839604
MKG-W,M-Hyper + NativE,seed,2,2,,8548,0.35885412183357046,0.3635419400376622,0.36905035518982865,0.36813948301491006,0.3685800871006858,0.004597542977247848,0.005038147063023579
MKG-W,M-Hyper + NativE,seed_direction,seed2_head,2,head,4274,0.1837427902425047,0.19159019472453473,0.19392524612465725,0.19370455244551174,0.19480204302426318,0.0021143577209770115,0.0032118482997284536
MKG-W,M-Hyper + NativE,seed_direction,seed2_tail,2,tail,4274,0.5339654534246362,0.5354936853507898,0.5441754642550001,0.5425744135843085,0.5423581311771083,0.007080728233518685,0.00686444582631851
MKG-W,M-Hyper + NativE,seed,3,3,,8548,0.3596984551613601,0.36369150961255176,0.37008482835735873,0.3397093900237651,0.3702321777676846,-0.023982119588786655,0.006540668155132823
MKG-W,M-Hyper + NativE,seed_direction,seed3_head,3,head,4274,0.1840206811709998,0.1922745912196314,0.1956927785930041,0.18103957589078437,0.1936552044243987,-0.01123501532884702,0.001380613204767317
MKG-W,M-Hyper + NativE,seed_direction,seed3_tail,3,tail,4274,0.5353762291517205,0.5351084280054721,0.5444768781217134,0.4983792041567457,0.5468091511109704,-0.0367292238487264,0.0117007231054983
MKG-W,M-Hyper + AdaMF-MAT,overall,all,,,25644,0.3597209394760818,0.3597209394760818,0.3524703842866344,0.3104126803529269,0.361705206590221,-0.049308259123154896,0.001984267114139182
MKG-W,M-Hyper + AdaMF-MAT,direction,head,,head,12822,0.18416065738512905,0.18416065738512905,0.17918696232125722,0.14890888072582106,0.18565498214345744,-0.03525177665930798,0.0014943247583283914
MKG-W,M-Hyper + AdaMF-MAT,direction,tail,,tail,12822,0.5352812215670345,0.5352812215670345,0.5257538062520116,0.4719164799800328,0.5377554310369845,-0.06336474158700173,0.0024742094699500283
MKG-W,M-Hyper + AdaMF-MAT,seed,1,1,,8548,0.3606102414333147,0.3606102414333147,0.3500867653263637,0.2878929084783724,0.36266772061993546,-0.07271733295494232,0.0020574791866207476
MKG-W,M-Hyper + AdaMF-MAT,seed_direction,seed1_head,1,head,4274,0.18471850074188262,0.18471850074188262,0.17713783039714687,0.13125309257864762,0.1859244098721694,-0.053465408163235,0.0012059091302867864
MKG-W,M-Hyper + AdaMF-MAT,seed_direction,seed1_tail,1,tail,4274,0.5365019821247469,0.5365019821247469,0.5230357002555804,0.4445327243780972,0.5394110313677015,-0.09196925774664966,0.0029090492429546533
MKG-W,M-Hyper + AdaMF-MAT,seed,2,2,,8548,0.35885412183357046,0.35885412183357046,0.35332157215622945,0.3444833975128661,0.36066291805345563,-0.014370724320704353,0.001808796219885167
MKG-W,M-Hyper + AdaMF-MAT,seed_direction,seed2_head,2,head,4274,0.1837427902425047,0.1837427902425047,0.1806862065090881,0.1743327761561161,0.1854569529151731,-0.009410014086388613,0.0017141626726684123
MKG-W,M-Hyper + AdaMF-MAT,seed_direction,seed2_tail,2,tail,4274,0.5339654534246362,0.5339654534246362,0.5259569378033707,0.5146340188696161,0.5358688831917382,-0.019331434555020066,0.001903429767102005
MKG-W,M-Hyper + AdaMF-MAT,seed,3,3,,8548,0.3596984551613601,0.3596984551613601,0.3540028153773101,0.29886173506754227,0.3617849810972718,-0.06083672009381785,0.0020865259359116872
MKG-W,M-Hyper + AdaMF-MAT,seed_direction,seed3_head,3,head,4274,0.1840206811709998,0.1840206811709998,0.17973685005753673,0.14114077344269949,0.18558358364302974,-0.042879907728300304,0.0015629024720299478
MKG-W,M-Hyper + AdaMF-MAT,seed_direction,seed3_tail,3,tail,4274,0.5353762291517205,0.5353762291517205,0.5282687806970835,0.45658269669238505,0.5379863785515138,-0.0787935324593354,0.0026101493997933156
DB15K,M-Hyper + NativE,overall,all,,,59412,0.3745666587877784,0.3745666587877784,0.36562095021602753,0.33342187314222804,0.37583807026233057,-0.04114478564555035,0.0012714114745521754
DB15K,M-Hyper + NativE,direction,head,,head,29706,0.23722596474809207,0.23722596474809207,0.2338681559424397,0.218812783827964,0.2387055438608147,-0.01841318092012806,0.0014795791127226177
DB15K,M-Hyper + NativE,direction,tail,,tail,29706,0.5119073528274648,0.5119073528274648,0.49737374448961535,0.44803096245649204,0.5129705966638464,-0.06387639037097276,0.0010632438363815666
DB15K,M-Hyper + NativE,seed,1,1,,19804,0.3753734012698457,0.3753734012698457,0.36663716688836057,0.3144991991264362,0.37674551586700084,-0.060874202143409495,0.0013721145971551385
DB15K,M-Hyper + NativE,seed_direction,seed1_head,1,head,9902,0.23653299600129352,0.23653299600129352,0.2334099553452374,0.2086183491354982,0.23779061496119486,-0.027914646865795312,0.001257618959901341
DB15K,M-Hyper + NativE,seed_direction,seed1_tail,1,tail,9902,0.5142138065383979,0.5142138065383979,0.4998643784314838,0.42038004911737414,0.5157004167728069,-0.09383375742102373,0.0014866102344089915
DB15K,M-Hyper + NativE,seed,2,2,,19804,0.37481104227302536,0.37481104227302536,0.3678585201999993,0.3759059084523815,0.3756129887517452,0.0010948661793561132,0.0008019464787198394
DB15K,M-Hyper + NativE,seed_direction,seed2_head,2,head,9902,0.23890143635456398,0.23890143635456398,0.2349026830849435,0.2413221642788807,0.23970603831438847,0.002420727924316718,0.0008046019598244858
DB15K,M-Hyper + NativE,seed_direction,seed2_tail,2,tail,9902,0.5107206481914867,0.5107206481914867,0.5008143573150552,0.5104896526258823,0.511519939189102,-0.00023099556560435275,0.0007992909976153317
DB15K,M-Hyper + NativE,seed,3,3,,19804,0.3735155328204641,0.3735155328204641,0.3623671635597227,0.30986051184786645,0.3751557061682456,-0.06365502097259768,0.0016401733477814928
DB15K,M-Hyper + NativE,seed_direction,seed3_head,3,head,9902,0.23624346188841874,0.23624346188841874,0.23329182939713827,0.20649783806951313,0.23861997830686077,-0.02974562381890561,0.002376516418442026
DB15K,M-Hyper + NativE,seed_direction,seed3_tail,3,tail,9902,0.5107876037525095,0.5107876037525095,0.4914424977223072,0.4132231856262198,0.5116914340296305,-0.09756441812628974,0.0009038302771209317
DB15K,M-Hyper + AdaMF-MAT,overall,all,,,59412,0.3745666587877784,0.3745666587877784,0.3479713337711696,0.30392420304183443,0.3752807359102216,-0.07064245574594397,0.0007140771224432019
DB15K,M-Hyper + AdaMF-MAT,direction,head,,head,29706,0.23722596474809207,0.23722596474809207,0.21904759914709562,0.1936102598963209,0.23790300324290928,-0.04361570485177116,0.0006770384948172059
DB15K,M-Hyper + AdaMF-MAT,direction,tail,,tail,29706,0.5119073528274648,0.5119073528274648,0.47689506839524354,0.41423814618734794,0.5126584685775338,-0.09766920664011686,0.0007511157500690313
DB15K,M-Hyper + AdaMF-MAT,seed,1,1,,19804,0.3753734012698457,0.3753734012698457,0.34752457077943477,0.2846745105573005,0.3762308400258648,-0.09069889071254522,0.0008574387560191243
DB15K,M-Hyper + AdaMF-MAT,seed_direction,seed1_head,1,head,9902,0.23653299600129352,0.23653299600129352,0.21928652105625443,0.18155793593061975,0.2371319088129613,-0.054975060070673765,0.0005989128116677955
DB15K,M-Hyper + AdaMF-MAT,seed_direction,seed1_tail,1,tail,9902,0.5142138065383979,0.5142138065383979,0.47576262050261514,0.38779108518398114,0.5153297712387684,-0.12642272135441673,0.0011159647003705642
DB15K,M-Hyper + AdaMF-MAT,seed,2,2,,19804,0.37481104227302536,0.37481104227302536,0.34425745367139726,0.33758356157438035,0.3754590562191279,-0.03722748069864501,0.0006480139461025325
DB15K,M-Hyper + AdaMF-MAT,seed_direction,seed2_head,2,head,9902,0.23890143635456398,0.23890143635456398,0.21498711359533554,0.21190229414863757,0.23948701739104422,-0.02699914220592642,0.0005855810364802372
DB15K,M-Hyper + AdaMF-MAT,seed_direction,seed2_tail,2,tail,9902,0.5107206481914867,0.5107206481914867,0.47352779374745896,0.46326482900012306,0.5114310950472115,-0.0474558191913636,0.0007104468557248556
DB15K,M-Hyper + AdaMF-MAT,seed,3,3,,19804,0.3735155328204641,0.3735155328204641,0.3521319768626767,0.2895145369938225,0.37415231148567196,-0.08400099582664161,0.0006367786652078378
DB15K,M-Hyper + AdaMF-MAT,seed_direction,seed3_head,3,head,9902,0.23624346188841874,0.23624346188841874,0.22286916278969687,0.1873705496097055,0.23709008352472227,-0.04887291227871324,0.0008466216363035295
DB15K,M-Hyper + AdaMF-MAT,seed_direction,seed3_tail,3,tail,9902,0.5107876037525095,0.5107876037525095,0.4813947909356566,0.3916585243779395,0.5112145394466217,-0.11912907937457001,0.0004269356941121183
