pair,method,base_seed,selector_seed,direction,mrr,delta_vs_global,n
mkgw_mhyper_native,R1_source,1,11,head,0.1966261345929302,0.0026008638161556454,4274
mkgw_mhyper_native,R1_source,1,11,tail,0.5463556217349447,0.0063892907165788325,4274
mkgw_mhyper_native,R1_source,1,23,head,0.19575768960324896,0.0017324188264743838,4274
mkgw_mhyper_native,R1_source,1,23,tail,0.5429942127778071,0.003027881759441401,4274
mkgw_mhyper_native,R1_source,1,37,head,0.19768524922898711,0.0036599784522125664,4274
mkgw_mhyper_native,R1_source,1,37,tail,0.5419950676586214,0.0020287366402554395,4274
mkgw_mhyper_native,R1_source,2,11,head,0.19353835692901644,0.0022618528156231675,4274
mkgw_mhyper_native,R1_source,2,11,tail,0.5397525131010882,0.004155408546502686,4274
mkgw_mhyper_native,R1_source,2,23,head,0.19331316323833178,0.0020366591249385154,4274
mkgw_mhyper_native,R1_source,2,23,tail,0.5377794975151959,0.0021823929606104697,4274
mkgw_mhyper_native,R1_source,2,37,head,0.1944482110920863,0.0031717069786930405,4274
mkgw_mhyper_native,R1_source,2,37,tail,0.5398846980592156,0.00428759350463028,4274
mkgw_mhyper_native,R1_source,3,11,head,0.19446018175279942,0.00134273655782051,4274
mkgw_mhyper_native,R1_source,3,11,tail,0.5406747483901878,0.006666668104395444,4274
mkgw_mhyper_native,R1_source,3,23,head,0.19446881392652499,0.001351368731546111,4274
mkgw_mhyper_native,R1_source,3,23,tail,0.5411770610481137,0.007168980762321373,4274
mkgw_mhyper_native,R1_source,3,37,head,0.19683443192811256,0.0037169867331336886,4274
mkgw_mhyper_native,R1_source,3,37,tail,0.541506458400912,0.007498378115119682,4274
mkgw_mhyper_native,R2_init,1,11,head,0.19691459095980576,0.0028893201830311847,4274
mkgw_mhyper_native,R2_init,1,11,tail,0.5458353942328206,0.005869063214454702,4274
mkgw_mhyper_native,R2_init,1,23,head,0.19674334949683436,0.0027180787200598022,4274
mkgw_mhyper_native,R2_init,1,23,tail,0.5454723306147754,0.005505999596409587,4274
mkgw_mhyper_native,R2_init,1,37,head,0.19711196167896472,0.0030866909021901637,4274
mkgw_mhyper_native,R2_init,1,37,tail,0.5449108858816213,0.004944554863255636,4274
mkgw_mhyper_native,R2_init,2,11,head,0.19354141829634394,0.0022649141829506995,4274
mkgw_mhyper_native,R2_init,2,11,tail,0.5403954165540864,0.004798311999500971,4274
mkgw_mhyper_native,R2_init,2,23,head,0.19272859178336849,0.001452087669975201,4274
mkgw_mhyper_native,R2_init,2,23,tail,0.5397494987611885,0.004152394206603036,4274
mkgw_mhyper_native,R2_init,2,37,head,0.19278321357290407,0.001506709459510793,4274
mkgw_mhyper_native,R2_init,2,37,tail,0.5387053022146883,0.003108197660102886,4274
mkgw_mhyper_native,R2_init,3,11,head,0.19464590443579555,0.001528459240816668,4274
mkgw_mhyper_native,R2_init,3,11,tail,0.5407167697057617,0.006708689419969313,4274
mkgw_mhyper_native,R2_init,3,23,head,0.19447439498939728,0.0013569497944184135,4274
mkgw_mhyper_native,R2_init,3,23,tail,0.5404448301054524,0.006436749819660158,4274
mkgw_mhyper_native,R2_init,3,37,head,0.19473578364520108,0.0016183384502221744,4274
mkgw_mhyper_native,R2_init,3,37,tail,0.5414831407313613,0.0074750604455690655,4274
mkgw_mhyper_native,R3_softplus_fixed,1,11,head,0.1979238559584599,0.0038985851816853265,4274
mkgw_mhyper_native,R3_softplus_fixed,1,11,tail,0.5448113153571635,0.004844984338797652,4274
