pair,method,n_observations,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters,delta_mrr_ci95,delta_mrr_vs_adc,delta_mrr_vs_adc_ci95,n_selector_seeds_per_base,interval_scope
mkgw_mhyper_native,R1_source,76932,0.36829178394322903,0.003626661285914069,0.21182342848229604,0.3116518483855873,0.4765247231321167,0.03593287674278623,0.03605974580615555,0.0,16296,23976,36660,4274,"[0.0027047397084390135, 0.004572135353832755]",0.0011800126173047473,"[0.00014088465658282433, 0.0021806912505965108]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,R2_init,76932,0.36841070987002056,0.003745587212705581,0.20385535277907763,0.28340612488951283,0.5127385223314096,0.026765600236368144,0.03246894573933988,0.0,15683,21803,39446,4274,"[0.0028260347975148634, 0.004667300940126924]",0.00129893854409626,"[0.00032254420102515607, 0.0022657259131009127]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,R3_softplus_fixed,76932,0.3686408249389374,0.003975702281622341,0.1842406280871419,0.31279571569697917,0.5029636562158789,0.030155924086974706,0.03047243999079743,0.0,14174,24064,38694,4274,"[0.0030508861281333547, 0.004892334151554074]",0.0015290536130130206,"[0.000526427329731929, 0.0025162784018892136]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,R3_softplus,76932,0.3695300874821208,0.004864964824805719,0.16822648572765558,0.38631518743825716,0.44545832683408726,0.047035504382838204,0.03307553740325187,0.0,12942,29720,34270,4274,"[0.003729811318412058, 0.006014444660460921]",0.0024183161561963985,"[0.0012202711790867732, 0.003585283668305939]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,R4_swap,76932,0.36944129801267306,0.004776175355358037,0.1776893880309884,0.40144543232984975,0.42086517963916187,0.05391606739426968,0.03576199209034033,0.0,13670,30884,32378,4274,"[0.0035136766964379133, 0.0060439619731490575]",0.002329526686748717,"[0.0009537739775828469, 0.00364482874307635]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,R0_historical,25644,0.3479573141877264,-0.016707808469588557,0.3113398845733895,0.3858212447356107,0.30283887069099985,0.1365169882980095,0.06685835801265202,0.0,7984,9894,7766,4274,"[-0.019640540163664674, -0.01383663883725189]",-0.019154457138197873,"[-0.02219569396275502, -0.01620355035248869]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,Global,25644,0.36466512265731504,0.0,0.0,0.0,1.0,,,0.0,0,0,25644,4274,"[0.0, 0.0]",-0.0024466486686093203,"[-0.003425065757428721, -0.0014807172804721215]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,ADC,25644,0.3671117713259244,0.0024466486686093203,0.15149742629854937,0.1941974730931212,0.6543051006083295,0.03606094302748472,0.04073064701196698,0.0,3885,4980,16779,4274,"[0.0014807172804721213, 0.00342506575742872]",0.0,"[0.0, 0.0]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_native,Query-soft,25644,0.3665429191462253,0.001877796488910103,0.1635470285446888,0.29020433629698955,0.5462486351583217,0.03282727593084427,0.02497068105557264,0.0,4194,7442,14008,4274,"[0.0009369901550959101, 0.002786702699478533]",-0.0005688521796992172,"[-0.0014584913562581557, 0.0003097521063073122]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,R1_source,76932,0.34853780374213655,-0.011183135733945238,0.22528986637550044,0.4443274580148703,0.3303826756096293,0.1251602781762041,0.03829204408817525,0.0,17332,34183,25417,4274,"[-0.013217966733911245, -0.00917446100154701]",-0.012197047346098763,"[-0.014121043046797914, -0.010304968233530816]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,R2_init,76932,0.35073941756223864,-0.008981521913843162,0.21101752196745177,0.4464072167628555,0.34257526126969273,0.11370136058314194,0.03362727320941514,0.0,16234,34343,26355,4274,"[-0.010909647776916736, -0.007140727772744698]",-0.009995433525996687,"[-0.011811479373945872, -0.008247304603936136]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,R3_softplus_fixed,76932,0.34983964900920433,-0.009881290466877446,0.21815369417147612,0.44591327406020903,0.33593303176831485,0.11726320274654184,0.03520888772766058,0.0,16783,34305,25844,4274,"[-0.011865228530345976, -0.007948548767283587]",-0.010895202079030969,"[-0.0127558415373017, -0.00906460673862888]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,R3_softplus,76932,0.35907464042786597,-0.0006462990482157192,0.11009722872146831,0.3916445692299693,0.49825820204856236,0.033032863233657055,0.007635820551335662,0.0,8470,30130,38332,4274,"[-0.0012843027372463906, -2.2274838485986203e-05]",-0.0016602106603692433,"[-0.002338072439030091, -0.0010167048326688267]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,R4_swap,76932,0.31587753406586316,-0.04384340541021859,0.4007175167680549,0.37092497270316643,0.22835751052877867,0.19127768189148447,0.0884408295602659,0.0,30828,28536,17568,4274,"[-0.048337810494338156, -0.03946931842495614]",-0.044857317022372126,"[-0.0492792575716255, -0.04057639047396438]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,R0_historical,25644,0.31032027501155124,-0.04940066446453046,0.3970519419747309,0.37615036655747935,0.22679769146778975,0.20004280627973423,0.07982637507897931,0.0,10182,9646,5816,4274,"[-0.05370117031578713, -0.04516065055873703]",-0.050414576076683995,"[-0.05466760342327133, -0.04626361895049124]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,Global,25644,0.3597209394760817,0.0,0.0,0.0,1.0,,,0.0,0,0,25644,4274,"[0.0, 0.0]",-0.001013911612153524,"[-0.0015491810933521602, -0.0005032863943047459]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,ADC,25644,0.36073485108823533,0.0010139116121535242,0.03618780221494307,0.1380439868975199,0.825768210887537,0.039379354634442684,0.017668019910403326,0.0,928,3540,21176,4274,"[0.0005032863943047457, 0.0015491810933521597]",0.0,"[0.0, 0.0]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
mkgw_mhyper_adamf,Query-soft,25644,0.3406179096565839,-0.019103029819497762,0.2636094213071284,0.43312275776009984,0.3032678209327718,0.14657061378394465,0.04510122017540878,0.0,6760,11107,7777,4274,"[-0.021721995241464225, -0.016498748689698965]",-0.020116941431651283,"[-0.02265268348526112, -0.017613510320279222]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,R1_source,178236,0.3737250950494242,-0.0008415637383541924,0.20793217980654863,0.3636190219708701,0.4284487982225813,0.05850181126358969,0.03113930987147971,0.0,37061,64810,76365,9902,"[-0.001643841874942325, -2.6438630952684522e-05]",-0.0007603404837233256,"[-0.0015314020129372295, 4.1551061120821866e-05]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,R2_init,178236,0.37458409725702607,1.7438469247706502e-05,0.19881505419780515,0.3611223321887834,0.4400626136134114,0.05010974884112464,0.02763609450693586,0.0,35436,64365,78435,9902,"[-0.0007335740976344353, 0.0007733431952057496]",9.866172387857375e-05,"[-0.0006351823429562985, 0.0008347766757795165]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,R3_softplus_fixed,178236,0.37389689181207675,-0.0006697669757017021,0.2038308759173231,0.36319823155815883,0.43297089252451804,0.05521126788819692,0.029141094858994757,0.0,36330,64735,77171,9902,"[-0.0014613189116688104, 0.0001412916978447478]",-0.0005885437210708346,"[-0.0013505584558455679, 0.0001993546239515506]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,R3_softplus,178236,0.3749840725812273,0.00041741379344885886,0.16281222648623173,0.32899077627415335,0.5081969972396149,0.02625442277994978,0.014261660690005007,0.0,29019,58638,90579,9902,"[-3.525845279069767e-05, 0.0008775799962077624]",0.0004986370480797265,"[7.072309350710017e-05, 0.0009377833231489289]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,R4_swap,178236,0.3528406874228956,-0.021725971364882787,0.3944433223366772,0.33236832065351557,0.2731883570098072,0.1470864384593982,0.10918998543650034,0.0,70304,59240,48692,9902,"[-0.024143072628543153, -0.019322494363625084]",-0.021644748110251927,"[-0.02406376566960169, -0.01925321698556743]",3,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,R0_historical,59412,0.3332217653213164,-0.04134489346646199,0.4141924190399246,0.31313539352319397,0.27267218743688143,0.16941528641563494,0.09205485688489064,0.0,24608,18604,16200,9902,"[-0.043666375365868204, -0.039026475208222]",-0.04126367021183112,"[-0.04355554126175501, -0.03897243512317356]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
db15k_mhyper_native,Global,59412,0.37456665878777834,0.0,0.0,0.0,1.0,,,0.0,0,0,59412,9902,"[0.0, 0.0]",8.122325463086762e-05,"[-9.106007636528284e-05, 0.0002540773129084092]",1,"original triples, averaged selector repeats; conditional on fitted base/selector seeds"
