dataset,model,seed,split,direction,split_index,head_id,relation_id,tail_id,raw_rank,normalized_rank
mkg_w,M-Hyper,1,test,head,3538,12499,0,1486,3610,3609
mkg_w,NativE,1,dev,head,87,10511,0,5470,3,2
mkg_w,NativE,1,dev,head,142,9735,1,379,2,1
mkg_w,NativE,1,dev,head,157,8375,16,1287,3,2
mkg_w,NativE,1,dev,head,195,6021,34,1389,3,2
mkg_w,NativE,1,dev,head,455,369,2,242,13,12
mkg_w,NativE,1,dev,head,617,966,5,17,2,1
mkg_w,NativE,1,dev,head,646,4274,0,2293,3,2
mkg_w,NativE,1,dev,head,650,11707,7,2716,3,2
mkg_w,NativE,1,dev,head,814,9369,14,3694,2,1
mkg_w,NativE,1,dev,head,861,9492,15,76,18,17
mkg_w,NativE,1,dev,head,918,3882,0,5021,3,2
mkg_w,NativE,1,dev,head,995,2047,56,6019,2,1
mkg_w,NativE,1,dev,head,1004,9419,5,4422,4,3
mkg_w,NativE,1,dev,head,1030,972,77,39,9,8
mkg_w,NativE,1,dev,head,1092,3022,8,11181,2,1
mkg_w,NativE,1,dev,head,1106,4089,0,4668,9,8
mkg_w,NativE,1,dev,head,1150,1011,74,1010,2,1
mkg_w,NativE,1,dev,head,1277,12541,19,7282,2,1
mkg_w,NativE,1,dev,head,1300,7845,1,2521,2,1
mkg_w,NativE,1,dev,head,1465,11682,13,463,4,3
mkg_w,NativE,1,dev,head,1555,14089,14,10026,2,1
mkg_w,NativE,1,dev,head,1599,2832,29,9671,3,2
mkg_w,NativE,1,dev,head,1672,9187,59,3747,7,6
mkg_w,NativE,1,dev,head,1683,14123,9,815,2,1
mkg_w,NativE,1,dev,head,1701,8501,8,8500,2,1
mkg_w,NativE,1,dev,head,1716,3415,8,3414,2,1
mkg_w,NativE,1,dev,head,1726,5884,21,88,2,1
mkg_w,NativE,1,dev,head,1748,3139,22,1638,8,7
mkg_w,NativE,1,dev,head,1803,10944,9,141,2,1
mkg_w,NativE,1,dev,head,1850,11986,8,5914,2,1
mkg_w,NativE,1,dev,head,1858,3932,4,19,3,2
mkg_w,NativE,1,dev,head,1880,4427,5,8122,3,2
mkg_w,NativE,1,dev,head,1881,8872,79,697,6,5
mkg_w,NativE,1,dev,head,1887,1208,26,1098,2,1
mkg_w,NativE,1,dev,head,1920,9374,14,9373,2,1
mkg_w,NativE,1,dev,head,1964,977,15,76,4,3
mkg_w,NativE,1,dev,head,2015,5001,8,5000,2,1
mkg_w,NativE,1,dev,head,2029,5280,21,256,4,3
mkg_w,NativE,1,dev,head,2051,1655,22,2356,2,1
mkg_w,NativE,1,dev,head,2100,374,29,2473,3,2
mkg_w,NativE,1,dev,head,2106,1179,40,2471,3,2
mkg_w,NativE,1,dev,head,2164,6687,37,551,8,7
mkg_w,NativE,1,dev,head,2184,6401,23,6400,2,1
mkg_w,NativE,1,dev,head,2198,305,75,2325,3,2
mkg_w,NativE,1,dev,head,2202,3969,3,3749,2,1
mkg_w,NativE,1,dev,head,2206,7846,56,10403,9,8
mkg_w,NativE,1,dev,head,2234,9908,14,8367,2,1
mkg_w,NativE,1,dev,head,2258,4609,14,12036,2,1
mkg_w,NativE,1,dev,head,2265,13395,8,7994,2,1
mkg_w,NativE,1,dev,head,2272,1181,34,553,8,7
mkg_w,NativE,1,dev,head,2341,4361,1,8503,2,1
mkg_w,NativE,1,dev,head,2354,4053,22,5730,2,1
mkg_w,NativE,1,dev,head,2473,11449,18,730,2,1
mkg_w,NativE,1,dev,head,2513,4768,21,88,4,3
mkg_w,NativE,1,dev,head,2614,2694,1,10748,2,1
mkg_w,NativE,1,dev,head,2617,11388,9,11388,2,1
mkg_w,NativE,1,dev,head,2630,2562,1,1041,2,1
mkg_w,NativE,1,dev,head,2648,670,11,37,2,1
mkg_w,NativE,1,dev,head,2726,4229,29,1338,4,3
mkg_w,NativE,1,dev,head,2749,11413,8,11412,2,1
mkg_w,NativE,1,dev,head,2900,1746,5,1747,4,3
mkg_w,NativE,1,dev,head,2953,3466,1,5519,2,1
mkg_w,NativE,1,dev,head,2995,2626,39,2625,2,1
mkg_w,NativE,1,dev,head,3050,6839,5,7560,3,2
mkg_w,NativE,1,dev,head,3124,1565,18,2094,38,37
mkg_w,NativE,1,dev,head,3154,7080,9,7080,2,1
mkg_w,NativE,1,dev,head,3189,12661,8,12660,2,1
mkg_w,NativE,1,dev,head,3214,7938,130,7597,2,1
mkg_w,NativE,1,dev,head,3261,7852,0,2131,3,2
mkg_w,NativE,1,dev,head,3266,7724,22,102,2,1
mkg_w,NativE,1,dev,head,3290,4706,23,12126,2,1
mkg_w,NativE,1,dev,head,3297,8818,39,152,4,3
mkg_w,NativE,1,dev,head,3324,10365,29,5529,3,2
mkg_w,NativE,1,dev,head,3345,2832,29,153,3,2
mkg_w,NativE,1,dev,head,3381,2637,29,2832,3,2
mkg_w,NativE,1,dev,head,3391,11989,14,12612,2,1
mkg_w,NativE,1,dev,head,3439,13202,18,1109,54,53
mkg_w,NativE,1,dev,head,3468,10699,66,8742,2,1
mkg_w,NativE,1,dev,head,3499,1306,15,61,10,9
mkg_w,NativE,1,dev,head,3511,6231,14,6230,2,1
mkg_w,NativE,1,dev,head,3518,6848,8,6847,2,1
mkg_w,NativE,1,dev,head,3529,5629,1,6048,2,1
mkg_w,NativE,1,dev,head,3630,6400,39,3475,3,2
mkg_w,NativE,1,dev,head,3691,1127,0,2466,5,4
mkg_w,NativE,1,dev,head,3697,5184,22,1253,5,4
mkg_w,NativE,1,dev,head,3737,8630,18,4211,3,2
mkg_w,NativE,1,dev,head,3795,12165,8,12164,2,1
mkg_w,NativE,1,dev,head,3800,6492,5,6493,2,1
mkg_w,NativE,1,dev,head,3883,13513,64,198,3,2
mkg_w,NativE,1,dev,head,3946,4337,8,13426,2,1
mkg_w,NativE,1,dev,head,3947,4260,18,626,7,6
mkg_w,NativE,1,dev,head,3956,3493,22,364,3,2
mkg_w,NativE,1,dev,head,4030,7577,0,342,17,16
mkg_w,NativE,1,dev,head,4137,12719,18,10258,3,2
mkg_w,NativE,1,dev,head,4187,4181,48,640,2,1
mkg_w,NativE,1,dev,head,4255,8867,64,788,3,2
mkg_w,NativE,1,dev,tail,64,2480,0,2481,2,1
mkg_w,NativE,1,dev,tail,87,10511,0,5470,3,2
mkg_w,NativE,1,dev,tail,118,1275,3,7552,2,1
mkg_w,NativE,1,dev,tail,325,4479,5,761,2,1
mkg_w,NativE,1,dev,tail,328,764,3,263,2,1
mkg_w,NativE,1,dev,tail,351,7566,1,721,2,1
mkg_w,NativE,1,dev,tail,364,13220,14,13219,2,1
mkg_w,NativE,1,dev,tail,461,2909,15,61,2,1
mkg_w,NativE,1,dev,tail,529,10696,14,1539,2,1
mkg_w,NativE,1,dev,tail,577,9721,24,11505,3,2
mkg_w,NativE,1,dev,tail,599,4465,11,2504,2,1
mkg_w,NativE,1,dev,tail,630,14040,48,4991,2,1
mkg_w,NativE,1,dev,tail,643,772,56,3058,2,1
mkg_w,NativE,1,dev,tail,650,11707,7,2716,2,1
mkg_w,NativE,1,dev,tail,679,12731,5,1542,2,1
mkg_w,NativE,1,dev,tail,708,1938,72,2473,2,1
mkg_w,NativE,1,dev,tail,748,6595,1,2949,2,1
mkg_w,NativE,1,dev,tail,814,9369,14,3694,2,1
mkg_w,NativE,1,dev,tail,850,5293,1,1824,2,1
mkg_w,NativE,1,dev,tail,918,3882,0,5021,2,1
mkg_w,NativE,1,dev,tail,919,8307,18,3971,2,1
mkg_w,NativE,1,dev,tail,922,5177,16,1352,2,1
mkg_w,NativE,1,dev,tail,938,110,66,109,3,2
mkg_w,NativE,1,dev,tail,1030,972,77,39,2,1
mkg_w,NativE,1,dev,tail,1047,2443,10,282,2,1
mkg_w,NativE,1,dev,tail,1134,2753,2,5102,3,2
mkg_w,NativE,1,dev,tail,1150,1011,74,1010,2,1
mkg_w,NativE,1,dev,tail,1157,5409,0,1144,2,1
mkg_w,NativE,1,dev,tail,1199,8745,21,88,2,1
mkg_w,NativE,1,dev,tail,1230,9788,8,9787,2,1
mkg_w,NativE,1,dev,tail,1274,4274,0,11381,3,2
mkg_w,NativE,1,dev,tail,1277,12541,19,7282,2,1
mkg_w,NativE,1,dev,tail,1300,7845,1,2521,2,1
