dataset,model,seed,split,direction,rows,export_vs_shared_mismatches,alpha_one_vs_shared_mismatches,alpha_zero_vs_shared_mismatches,normalized_vs_raw_mismatches,raw_nonfinite_rows,normalized_nonfinite_gold_rows,raw_rr_sum,normalized_rr_sum,raw_contract_exception_rows
mkg_w,M-Hyper,1,dev,head,4276,0,0,0,0,0,0,802.97035579269,802.97035579269,0
mkg_w,M-Hyper,1,dev,tail,4276,0,0,0,0,0,0,2213.661947590806,2213.661947590806,0
mkg_w,M-Hyper,1,test,head,4274,0,0,0,1,0,0,789.4868721708064,789.4868722475612,0
mkg_w,M-Hyper,1,test,tail,4274,0,0,0,0,0,0,2293.0094716011677,2293.0094716011677,0
mkg_w,NativE,1,dev,head,4276,0,0,0,96,0,0,770.237251474157,799.0389684058767,0
mkg_w,NativE,1,dev,tail,4276,0,0,0,98,0,0,2042.162954887689,2083.6212882210225,0
mkg_w,NativE,1,test,head,4274,0,0,0,97,0,0,759.1502637252452,787.6561068025063,0
mkg_w,NativE,1,test,tail,4274,0,0,0,120,0,0,2121.3150764710135,2175.148409804346,0
mkg_w,M-Hyper,2,dev,head,4276,0,0,0,0,0,0,804.1911598995408,804.1911598995408,0
mkg_w,M-Hyper,2,dev,tail,4276,0,0,0,0,0,0,2213.2141962442734,2213.2141962442734,0
mkg_w,M-Hyper,2,test,head,4274,0,0,0,0,0,0,785.3166854964646,785.3166854964646,0
mkg_w,M-Hyper,2,test,tail,4274,0,0,0,0,0,0,2282.1683479368953,2282.1683479368953,0
mkg_w,NativE,2,dev,head,4276,0,0,0,88,0,0,749.7997458815329,779.0013718368912,0
mkg_w,NativE,2,dev,tail,4276,0,0,0,99,0,0,2040.9784265918126,2083.292712306098,0
mkg_w,NativE,2,test,head,4274,0,0,0,101,0,0,744.682893234808,774.8683738248727,0
mkg_w,NativE,2,test,tail,4274,0,0,0,97,0,0,2139.6284158167896,2183.7355586739322,0
mkg_w,M-Hyper,3,dev,head,4276,0,0,0,0,0,0,819.0684003212959,819.0684003212959,0
mkg_w,M-Hyper,3,dev,tail,4276,0,0,0,0,0,0,2198.894283601247,2198.894283601247,0
mkg_w,M-Hyper,3,test,head,4274,0,0,0,0,0,0,786.5043913248533,786.5043913248533,0
mkg_w,M-Hyper,3,test,tail,4274,0,0,0,0,0,0,2288.1980033944533,2288.1980033944533,0
mkg_w,NativE,3,dev,head,4276,0,0,0,113,0,0,766.5841679315106,804.6526904131516,0
mkg_w,NativE,3,dev,tail,4276,0,0,0,98,0,0,2056.77064235707,2097.6039756904024,0
mkg_w,NativE,3,test,head,4274,0,0,0,78,0,0,773.7631473572123,798.0137899563256,0
mkg_w,NativE,3,test,tail,4274,0,0,0,97,0,0,2130.0727185659325,2172.12953674775,0
mkg_w,AdaMF-MAT,1,dev,head,4276,0,0,0,4,0,0,571.4865740231901,573.4865740231901,0
mkg_w,AdaMF-MAT,1,dev,tail,4276,0,0,0,1,0,0,1818.5373114293334,1819.0373114293334,0
mkg_w,AdaMF-MAT,1,test,head,4274,0,0,0,2,0,0,560.9757176811396,561.9757176811396,0
mkg_w,AdaMF-MAT,1,test,tail,4274,0,0,0,2,0,0,1899.932863991987,1900.932863991987,0
mkg_w,AdaMF-MAT,2,dev,head,4276,0,0,0,9,0,0,643.0883246073848,647.5883246073848,0
mkg_w,AdaMF-MAT,2,dev,tail,4276,0,0,0,5,0,0,1898.7085582492202,1901.2085582492202,0
mkg_w,AdaMF-MAT,2,test,head,4274,0,0,0,4,0,0,618.5206547517678,620.5206547517678,0
mkg_w,AdaMF-MAT,2,test,tail,4274,0,0,0,6,0,0,1964.702772433195,1967.702772433195,0
mkg_w,AdaMF-MAT,3,dev,head,4276,0,0,0,8,0,0,615.1755979928257,619.1755979928258,0
mkg_w,AdaMF-MAT,3,dev,tail,4276,0,0,0,7,0,0,1886.7603049146576,1890.2603049146576,0
mkg_w,AdaMF-MAT,3,test,head,4274,0,0,0,3,0,0,603.2356656940976,604.7356656940976,0
mkg_w,AdaMF-MAT,3,test,tail,4274,0,0,0,3,0,0,1951.4344456632534,1952.9344456632534,0
