dataset,model,split,rows,export_vs_shared_mismatches,alpha_one_vs_shared_mismatches,alpha_zero_vs_shared_mismatches,normalized_vs_raw_mismatches,raw_nonfinite_rows,normalized_nonfinite_gold_rows,raw_contract_exception_rows,raw_rr_sum,normalized_rr_sum,delta_mrr
mkg_w,M-Hyper,dev,25656,0,0,0,0,0,0,0,9052.000343449854,9052.000343449854,0.0
mkg_w,M-Hyper,test,25644,0,0,0,1,0,0,0,9224.68377192464,9224.683772001395,2.9931327351982728e-12
mkg_w,NativE,dev,25656,0,0,0,592,0,0,0,8426.533189123773,8647.211006873442,0.008601411667823081
mkg_w,NativE,test,25644,0,0,0,590,0,0,0,8668.612515171,8891.551775809734,0.00869362270467687
mkg_w,AdaMF-MAT,dev,25656,0,0,0,34,0,0,0,7433.756671216612,7450.756671216612,0.0006626130339881509
mkg_w,AdaMF-MAT,test,25644,0,0,0,20,0,0,0,7598.8021202154405,7608.8021202154405,0.00038995476524723133
db15k,M-Hyper,dev,47532,0,0,0,1,0,0,0,18185.125903061955,18185.126036716058,2.8118762661589522e-09
db15k,M-Hyper,test,59412,0,0,0,2,0,0,0,22253.754331899498,22254.254468698404,8.41811080095215e-06
db15k,NativE,dev,47532,0,0,0,12,0,0,0,15258.813819643865,15264.813819643865,0.00012623074981065388
db15k,NativE,test,59412,0,0,0,23,0,0,0,18581.785333763528,18592.952000430196,0.0001879530510110395
db15k,AdaMF-MAT,dev,47532,0,0,0,6,0,0,0,13880.193494713094,13882.77682804643,5.434935061297144e-05
db15k,AdaMF-MAT,test,59412,0,0,0,12,0,0,0,16789.144366369117,16795.144366369117,0.00010098969905069682
