pair,label,split,method,convention,changed_rows,endpoint_rows,seed,direction,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,W-N,dev,Global,raw_endpoint,0,0,1,head,4276,0.19429153782097075,0.19429153782097075,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,raw_endpoint,0,0,1,tail,4276,0.5213228763889308,0.5213228763889308,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,raw_endpoint,0,0,2,head,4276,0.19144519484794112,0.19144519484794112,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,raw_endpoint,0,0,2,tail,4276,0.5195024163656786,0.5195024163656786,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,raw_endpoint,0,0,3,head,4276,0.19591321613478416,0.19591321613478416,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,raw_endpoint,0,0,3,tail,4276,0.5155132337957664,0.5155132337957664,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,normalized_endpoint,0,0,1,head,4276,0.19429153782097075,0.19429153782097075,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,normalized_endpoint,0,0,1,tail,4276,0.5213228763889308,0.5213228763889308,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,normalized_endpoint,0,0,2,head,4276,0.19144519484794112,0.19144519484794112,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,normalized_endpoint,0,0,2,tail,4276,0.5195024163656786,0.5195024163656786,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,normalized_endpoint,0,0,3,head,4276,0.19591321613478416,0.19591321613478416,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,Global,normalized_endpoint,0,0,3,tail,4276,0.5155132337957664,0.5155132337957664,0.0,0.0,0.0,0.0,,0.0,0.0,,
mkgw_mhyper_native,W-N,dev,ADC,raw_endpoint,0,0,1,head,4276,0.19650785130520865,0.19429153782097075,0.0022163134842379108,0.1695509822263798,0.34588400374181477,0.5154349859681946,0.019645225188908388,0.0033308672268378354,0.005547180711075746,,
mkgw_mhyper_native,W-N,dev,ADC,raw_endpoint,0,0,1,tail,4276,0.5250209295382764,0.5213228763889308,0.0036980531493455045,0.11435921421889617,0.0558933582787652,0.17025257249766138,0.04350556683192264,0.004975262437046345,0.008673315586391851,,
mkgw_mhyper_native,W-N,dev,ADC,raw_endpoint,0,0,2,head,4276,0.19215642462418828,0.19144519484794112,0.0007112297762471348,0.16604303086997194,0.31594948550046775,0.48199251637043966,0.018088715782436173,0.003003505193061197,0.003714734969308332,,
mkgw_mhyper_native,W-N,dev,ADC,raw_endpoint,0,0,2,tail,4276,0.5223735988310994,0.5195024163656786,0.0028711824654207383,0.15224508886810104,0.06127221702525725,0.21351730589335827,0.0515599330262521,0.007849746585615089,0.010720929051035827,,
mkgw_mhyper_native,W-N,dev,ADC,raw_endpoint,0,0,3,head,4276,0.19803716544075609,0.19591321613478416,0.0021239493059719474,0.16697848456501402,0.3517305893358279,0.5187090739008419,0.01695395978386283,0.0028309465120856083,0.004954895818057556,,
mkgw_mhyper_native,W-N,dev,ADC,raw_endpoint,0,0,3,tail,4276,0.5233755006038776,0.5155132337957664,0.007862266808111149,0.1145930776426567,0.06782039289055192,0.1824134705332086,0.0432765333493588,0.004959191146208094,0.012821457954319243,,
mkgw_mhyper_native,W-N,dev,ADC,normalized_endpoint,0,0,1,head,4276,0.19650785130520865,0.19429153782097075,0.0022163134842379108,0.1695509822263798,0.34588400374181477,0.5154349859681946,0.019645225188908388,0.0033308672268378354,0.005547180711075746,,
