split,dataset,pair,scope,seed,direction,n_observations,n_fallback,fallback_rate,n_changed_from_anchor,changed_from_anchor_rate,n_effective_adaptation,effective_adaptation_rate,mrr_final,global_mrr,delta_mrr_vs_global,n_avoided_harm,avoided_harm_rate_among_fallback,n_missed_benefit,missed_benefit_rate_among_fallback,n_neutral,neutral_rate_among_fallback,total_rr_loss_avoided,total_potential_gain_sacrificed,net_fallback_utility,net_fallback_utility_per_observation,net_fallback_utility_per_fallback
dev,MKG-W,M-Hyper + NativE,direction,pooled,head,12828,599,0.04669473027751793,10844,0.8453383224197069,10844,0.8453383224197069,0.19525851243397213,0.193246981302892,0.0020115311310801272,67,0.11185308848080133,98,0.1636060100166945,434,0.7245409015025042,1.2645609652681242,2.1978574422768964,-0.9332964770087722,-7.275463649896884e-05,-0.001558090946592274
dev,MKG-W,M-Hyper + NativE,direction,pooled,tail,12828,621,0.04840972871842844,10592,0.8256937948238229,10592,0.8256937948238229,0.5247639528483992,0.5183575257112161,0.006406427137183033,48,0.07729468599033816,77,0.12399355877616747,496,0.7987117552334944,1.773983514276007,0.4465324366420619,1.3274510776339454,0.00010348075129669047,0.002137602379442746
dev,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,head,12828,2924,0.22793888369192392,6194,0.4828500155908949,6194,0.4828500155908949,0.1897588829674498,0.1891354783297105,0.0006234046377393133,136,0.046511627906976744,432,0.14774281805745554,2356,0.8057455540355677,1.1475954111333029,0.5597799347993285,0.587815476333974,4.582284661162878e-05,0.00020103128465594186
dev,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,12828,2031,0.15832553788587464,3252,0.25350795135640786,3252,0.25350795135640786,0.5184060856538469,0.5165084524038295,0.0018976332500173297,46,0.022648941408173313,179,0.08813392417528311,1806,0.8892171344165436,1.2381200761236368,1.2159573943769142,0.022162681746722757,1.7276802110011504e-06,1.0912201746293824e-05
dev,DB15K,M-Hyper + NativE,direction,pooled,head,23766,0,0.0,13511,0.5685012202305815,13511,0.5685012202305815,0.24423924572147693,0.24351429823048043,0.0007249474909965145,0,,0,,0,,0.0,0.0,0.0,0.0,
dev,DB15K,M-Hyper + NativE,direction,pooled,tail,23766,0,0.0,5351,0.22515358074560296,5351,0.22515358074560296,0.5221472992944431,0.5216597278177378,0.0004875714767053265,0,,0,,0,,0.0,0.0,0.0,0.0,
dev,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,23766,9914,0.4171505512076075,7205,0.30316418412858703,7205,0.30316418412858703,0.24381148326286162,0.24351429823048043,0.00029718503238120985,882,0.08896509985878556,2304,0.23239862820254187,6728,0.6786362719386726,20.682036338737415,15.000449568934336,5.681586769803078,0.0002390636526888445,0.0005730872271336573
dev,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,23766,11850,0.4986114617520828,2871,0.12080282756879576,2871,0.12080282756879576,0.5218973091938417,0.5216597278177378,0.00023758137610386523,640,0.0540084388185654,1581,0.13341772151898734,9629,0.8125738396624472,36.90239327667394,20.409419718359022,16.492973558314922,0.0006939734729577936,0.001391812114625732
test,MKG-W,M-Hyper + NativE,direction,pooled,head,12822,0,0.0,12103,0.9439245047574482,12103,0.9439245047574482,0.1951008998736798,0.1919699406596849,0.003130959213994883,0,,0,,0,,0.0,0.0,0.0,0.0,
test,MKG-W,M-Hyper + NativE,direction,pooled,tail,12822,0,0.0,12068,0.9411948214007175,12068,0.9411948214007175,0.545251709314285,0.5366395411135514,0.00861216820073368,0,,0,,0,,0.0,0.0,0.0,0.0,
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,head,12822,3669,0.28614880673841836,6156,0.4801123069723912,6156,0.4801123069723912,0.18565498214345738,0.184160657385129,0.0014943247583283853,277,0.07549741073862087,980,0.26710275279367673,2412,0.6573998364677024,5.882900551713822,6.501668417067413,-0.6187678653535906,-4.825829553529797e-05,-0.0001686475512002155
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,12822,2542,0.1982530026516924,2980,0.23241304008734986,2980,0.23241304008734986,0.5377554310369844,0.5352812215670345,0.002474209469949993,128,0.05035405192761605,385,0.15145554681353265,2029,0.7981904012588513,7.422874662196678,5.691471778055345,1.7314028841413331,0.00013503376104674256,0.0006811183651224756
test,DB15K,M-Hyper + NativE,direction,pooled,head,29706,0,0.0,17690,0.5955025920689423,17690,0.5955025920689423,0.23870554386081466,0.23722596474809204,0.001479579112722615,0,,0,,0,,0.0,0.0,0.0,0.0,
test,DB15K,M-Hyper + NativE,direction,pooled,tail,29706,0,0.0,8699,0.2928364640140039,8699,0.2928364640140039,0.5129705966638464,0.5119073528274647,0.0010632438363816713,0,,0,,0,,0.0,0.0,0.0,0.0,
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,head,29706,19571,0.6588231333737292,3043,0.10243721807042348,3043,0.10243721807042348,0.23790300324290925,0.23722596474809204,0.0006770384948171823,3409,0.17418629605027847,7144,0.3650298911655,9018,0.46078381278422154,138.13605177984007,108.94664161485244,29.189410164987663,0.0009826099160098183,0.0014914623762192869
test,DB15K,M-Hyper + AdaMF-MAT,direction,pooled,tail,29706,20326,0.6842388743014879,1101,0.037063219551605735,1101,0.037063219551605735,0.5126584685775338,0.5119073528274647,0.0007511157500691142,1835,0.0902784610843255,4411,0.21701269310243038,14080,0.6927088458132441,144.9829416114742,113.99569766230277,30.987243949171415,0.001043130813612449,0.0015245126414036906
