split,dataset,pair,scope,seed,direction,n_observations,n_fallback,fallback_rate,n_changed_from_anchor,changed_from_anchor_rate,n_effective_adaptation,effective_adaptation_rate,mrr_final,global_mrr,delta_mrr_vs_global,n_avoided_harm,avoided_harm_rate_among_fallback,n_missed_benefit,missed_benefit_rate_among_fallback,n_neutral,neutral_rate_among_fallback,total_rr_loss_avoided,total_potential_gain_sacrificed,net_fallback_utility,net_fallback_utility_per_observation,net_fallback_utility_per_fallback
dev,MKG-W,M-Hyper + NativE,seed,1,pooled,8552,421,0.04922825070159027,7164,0.8376987839101965,7164,0.8376987839101965,0.3603271212833018,0.35662229993488065,0.0037048213484211223,43,0.1021377672209026,65,0.1543942992874109,313,0.7434679334916865,1.8076009186627489,0.5628894247065965,1.2447114939561525,0.00014554624578533122,0.0029565593680668705
dev,MKG-W,M-Hyper + NativE,seed,2,pooled,8552,413,0.04829279700654818,7103,0.8305659494855004,7103,0.8305659494855004,0.35859843037529104,0.35548342991400983,0.0031150004612811666,41,0.09927360774818401,64,0.1549636803874092,308,0.7457627118644068,0.9419747667446232,1.4173189742891288,-0.47534420754450546,-5.5582811920545543e-05,-0.001150954497686454
dev,MKG-W,M-Hyper + NativE,seed,3,pooled,8552,386,0.045135640785781105,7169,0.8382834424695977,7169,0.8382834424695977,0.3611081462649641,0.35530103067227164,0.00580711559269245,31,0.08031088082901554,46,0.11917098445595854,309,0.8005181347150259,0.288968794136759,0.6641814799232328,-0.375212685786474,-4.3874261668203226e-05,-0.0009720535901203989
dev,MKG-W,M-Hyper + AdaMF-MAT,seed,1,pooled,8552,1751,0.20474742750233862,2913,0.340622076707203,2913,0.340622076707203,0.3538440013088608,0.3527399793479298,0.0011040219609310144,82,0.04683038263849229,226,0.12906910336950314,1443,0.8241005139920046,0.39533395672675664,0.5478662825566638,-0.1525323258299071,-1.7835865976368933e-05,-8.711155101650891e-05
dev,MKG-W,M-Hyper + AdaMF-MAT,seed,2,pooled,8552,1529,0.1787885874649205,3378,0.39499532273152477,3378,0.39499532273152477,0.35416825295738663,0.35283037373056747,0.0013378792268191224,57,0.03727926749509483,160,0.10464355788096795,1312,0.8580771746239372,0.730329691234901,0.4472902430318242,0.28303944820307664,3.309628720803048e-05,0.00018511409300397426
dev,MKG-W,M-Hyper + AdaMF-MAT,seed,3,pooled,8552,1675,0.19586061739943872,3155,0.3689195509822264,3155,0.3689195509822264,0.3542351986656976,0.35289554302181275,0.0013396556438848275,43,0.025671641791044777,225,0.13432835820895522,1407,0.84,1.260051839295282,0.7805808035877544,0.4794710357075274,5.606536900228337e-05,0.00028625136460150893
dev,DB15K,M-Hyper + NativE,seed,1,pooled,15844,0,0.0,6555,0.4137212825044181,6555,0.4137212825044181,0.3845684635091514,0.3841293779489628,0.0004390855601886361,0,,0,,0,,0.0,0.0,0.0,0.0,
dev,DB15K,M-Hyper + NativE,seed,2,pooled,15844,0,0.0,5871,0.37055036606917446,5871,0.37055036606917446,0.3826586566844682,0.3820373224646448,0.0006213342198234799,0,,0,,0,,0.0,0.0,0.0,0.0,
dev,DB15K,M-Hyper + NativE,seed,3,pooled,15844,0,0.0,6436,0.4062105528906842,6436,0.4062105528906842,0.3823526973302605,0.3815943386587199,0.0007583586715406453,0,,0,,0,,0.0,0.0,0.0,0.0,
dev,DB15K,M-Hyper + AdaMF-MAT,seed,1,pooled,15844,6975,0.44022973996465536,3701,0.233590002524615,3701,0.233590002524615,0.3839531905171813,0.3841293779489628,-0.00017618743178151946,483,0.06924731182795699,1126,0.1614336917562724,5366,0.7693189964157706,20.142117794879976,13.399291960058186,6.742825834821791,0.0004255759804861014,0.0009667133813364575
