pair,scope,dimension,random_state,fit_rows,n_iter,reused
mkgw_mhyper_native,full_dev_selection,9,20260902,19567,4,False
mkgw_mhyper_native,full_dev_selection,13,20260902,19567,4,True
mkgw_mhyper_native,fold_1,9,20260904,15638,5,False
mkgw_mhyper_native,fold_1,13,20260904,15638,5,False
mkgw_mhyper_native,fold_2,9,20260914,15611,4,False
mkgw_mhyper_native,fold_2,13,20260914,15611,4,False
mkgw_mhyper_native,fold_3,9,20260924,15672,4,False
mkgw_mhyper_native,fold_3,13,20260924,15672,4,False
mkgw_mhyper_native,fold_4,9,20260934,15676,5,False
mkgw_mhyper_native,fold_4,13,20260934,15676,6,False
mkgw_mhyper_native,fold_5,9,20260944,15671,4,False
mkgw_mhyper_native,fold_5,13,20260944,15671,4,False
mkgw_mhyper_adamf,full_dev_selection,9,20260902,20564,5,False
mkgw_mhyper_adamf,full_dev_selection,13,20260902,20564,5,True
mkgw_mhyper_adamf,fold_1,9,20260904,16456,4,False
mkgw_mhyper_adamf,fold_1,13,20260904,16456,5,False
mkgw_mhyper_adamf,fold_2,9,20260914,16408,5,False
mkgw_mhyper_adamf,fold_2,13,20260914,16408,6,False
mkgw_mhyper_adamf,fold_3,9,20260924,16515,4,False
mkgw_mhyper_adamf,fold_3,13,20260924,16515,5,False
mkgw_mhyper_adamf,fold_4,9,20260934,16426,5,False
mkgw_mhyper_adamf,fold_4,13,20260934,16426,6,False
mkgw_mhyper_adamf,fold_5,9,20260944,16451,4,False
mkgw_mhyper_adamf,fold_5,13,20260944,16451,5,False
db15k_mhyper_native,full_dev_selection,9,20260902,37005,5,False
db15k_mhyper_native,full_dev_selection,13,20260902,37005,6,True
db15k_mhyper_native,fold_1,9,20260904,29639,4,False
db15k_mhyper_native,fold_1,13,20260904,29639,5,False
db15k_mhyper_native,fold_2,9,20260914,29565,6,False
db15k_mhyper_native,fold_2,13,20260914,29565,7,False
db15k_mhyper_native,fold_3,9,20260924,29593,5,False
db15k_mhyper_native,fold_3,13,20260924,29593,5,False
db15k_mhyper_native,fold_4,9,20260934,29616,4,False
db15k_mhyper_native,fold_4,13,20260934,29616,5,False
db15k_mhyper_native,fold_5,9,20260944,29607,5,False
db15k_mhyper_native,fold_5,13,20260944,29607,5,False
db15k_mhyper_adamf,full_dev_selection,9,20260902,38925,5,False
db15k_mhyper_adamf,full_dev_selection,13,20260902,38925,5,True
db15k_mhyper_adamf,fold_1,9,20260904,31204,5,False
db15k_mhyper_adamf,fold_1,13,20260904,31204,5,False
db15k_mhyper_adamf,fold_2,9,20260914,31100,5,False
db15k_mhyper_adamf,fold_2,13,20260914,31100,6,False
db15k_mhyper_adamf,fold_3,9,20260924,31113,5,False
db15k_mhyper_adamf,fold_3,13,20260924,31113,5,False
db15k_mhyper_adamf,fold_4,9,20260934,31193,5,False
db15k_mhyper_adamf,fold_4,13,20260934,31193,5,False
db15k_mhyper_adamf,fold_5,9,20260944,31090,5,False
db15k_mhyper_adamf,fold_5,13,20260944,31090,5,False
