pair,split,left,right,n,delta_mrr,seed_1,seed_2,seed_3,direction_head,direction_tail
mkgw_mhyper_native,dev,ADC_grid_005,Global,25656,0.003070435772242232,0.001686465044671304,0.002488976757159057,0.005035865514896334,0.00124413027879327,0.0048967412656911935
mkgw_mhyper_native,dev,ADC_grid_001,Global,25656,0.0033684685144233692,0.002318754927827585,0.0029083062115463454,0.0048783444038961775,0.001532572800422139,0.005204364228424599
mkgw_mhyper_native,dev,ADC_continuous,Global,25656,0.003226957244298525,0.002592045143058777,0.001992148863074582,0.0050966777267622155,0.0015126831507071242,0.004941231337889926
mkgw_mhyper_native,dev,Query-soft_grid_005,Global,25656,0.001938654603293574,0.0017695289273759727,0.001201934560313384,0.0028445003221913654,0.0017615786978980475,0.002115730508689101
mkgw_mhyper_native,dev,Query-soft_grid_001,Global,25656,0.0024299927533683262,0.002079997491211922,0.0019022268950861748,0.0033077538738068815,0.0029359104149819424,0.0019240750917547105
mkgw_mhyper_native,dev,Query-soft_continuous,Global,25656,0.0025933818989684965,0.0029492194400618003,0.002076474269899778,0.002754451986943912,0.0023556085456316604,0.0028311552523053326
mkgw_mhyper_native,dev,ADC_grid_005,Query-soft_grid_005,25656,0.001131781168948658,-8.306388270466884e-05,0.001287042196845673,0.002191365192704969,-0.0005174484191047779,0.0027810107570020934
mkgw_mhyper_native,dev,ADC_grid_001,Query-soft_grid_001,25656,0.000938475761055043,0.0002387574366156626,0.0010060793164601708,0.0015705905300892958,-0.0014033376145598027,0.0032802891366698885
mkgw_mhyper_native,dev,ADC_continuous,Query-soft_continuous,25656,0.000633575345330028,-0.0003571742970030231,-8.432540682519628e-05,0.002342225739818304,-0.0008429253949245361,0.0021100760855845926
mkgw_mhyper_native,dev,ADC_grid_001,ADC_grid_005,25656,0.0002980327421811374,0.0006322898831562809,0.000419329454387288,-0.00015752111100015664,0.0002884425216288695,0.0003076229627334053
mkgw_mhyper_native,dev,ADC_continuous,ADC_grid_005,25656,0.00015652147205629305,0.0009055800983874729,-0.0004968278940844758,6.081221186588161e-05,0.00026855287191385435,4.4490072198731574e-05
mkgw_mhyper_native,dev,Query-soft_grid_001,Query-soft_grid_005,25656,0.000491338150074752,0.00031046856383594933,0.0007002923347727907,0.00046325355161551634,0.0011743317170838945,-0.00019165541693439014
mkgw_mhyper_native,dev,Query-soft_continuous,Query-soft_grid_005,25656,0.0006547272956749227,0.0011796905126858276,0.000874539709586394,-9.004833524745376e-05,0.0005940298477336125,0.0007154247436162323
mkgw_mhyper_adamf,dev,ADC_grid_005,Global,25656,0.0012038969018035228,0.0007178927579571346,0.0013005727763010298,0.0015932251711524032,0.00025738423017624513,0.0021504095734308
mkgw_mhyper_adamf,dev,ADC_grid_001,Global,25656,0.001243281046075216,0.0007161687465530231,0.0012778241455722289,0.0017358502461003959,0.0004196804026900777,0.002066881689460354
mkgw_mhyper_adamf,dev,ADC_continuous,Global,25656,0.0012182166887626132,0.0005664977830593208,0.0014880756109373334,0.0016000766722911856,0.00033508519433811396,0.0021013481831871125
mkgw_mhyper_adamf,dev,Query-soft_grid_005,Global,25656,-0.020134616816391844,-0.023534014624990263,-0.01783058892668306,-0.01903924689750221,-0.014386948383869997,-0.025882285248913693
mkgw_mhyper_adamf,dev,Query-soft_grid_001,Global,25656,-0.01980212697524042,-0.022780025564668634,-0.018081720308546434,-0.018544635052506194,-0.01361789146816017,-0.025986362482320672
mkgw_mhyper_adamf,dev,Query-soft_continuous,Global,25656,-0.020441514927704914,-0.023509911302084765,-0.01929604691983151,-0.018518586561198473,-0.014387234213967735,-0.026495795641442086
mkgw_mhyper_adamf,dev,ADC_grid_005,Query-soft_grid_005,25656,0.02133851371819537,0.024251907382947396,0.019131161702984092,0.020632472068654616,0.014644332614046242,0.0280326948223445
mkgw_mhyper_adamf,dev,ADC_grid_001,Query-soft_grid_001,25656,0.021045408021315635,0.023496194311221658,0.019359544454118662,0.02028048529860659,0.01403757187085025,0.028053244171781025
mkgw_mhyper_adamf,dev,ADC_continuous,Query-soft_continuous,25656,0.021659731616467528,0.024076409085144086,0.020784122530768844,0.020118663233489657,0.01472231940830585,0.028597143824629207
mkgw_mhyper_adamf,dev,ADC_grid_001,ADC_grid_005,25656,3.938414427169322e-05,-1.7240114041117455e-06,-2.274863072880122e-05,0.00014262507494799267,0.00016229617251383263,-8.352788397044619e-05
mkgw_mhyper_adamf,dev,ADC_continuous,ADC_grid_005,25656,1.4319786959090525e-05,-0.0001513949748978139,0.00018750283463630355,6.851501138782034e-06,7.770096416186876e-05,-4.9061390243687696e-05
mkgw_mhyper_adamf,dev,Query-soft_grid_001,Query-soft_grid_005,25656,0.0003324898411514254,0.0007539890603216309,-0.0002511313818633713,0.0004946118449960165,0.0007690569157098262,-0.00010407723340697548
mkgw_mhyper_adamf,dev,Query-soft_continuous,Query-soft_grid_005,25656,-0.0003068981113130695,2.4103322905497615e-05,-0.0014654579931484462,0.00052066033630374,-2.8583009774046746e-07,-0.0006135103925283984
db15k_mhyper_native,dev,ADC_grid_005,Global,47532,-8.819212839298028e-06,-9.511340128296048e-05,9.4863691818276e-05,-2.620792905320964e-05,-4.9143122799245e-05,3.1504697120648935e-05
db15k_mhyper_native,dev,ADC_grid_001,Global,47532,-8.506675916602124e-05,-9.523292979151617e-05,-2.9760069032640894e-05,-0.00013020727867390667,-0.0001999398246980747,2.980630636603222e-05
db15k_mhyper_native,dev,ADC_continuous,Global,47532,2.9620629943663633e-05,-9.683838612567212e-05,0.00018370741696518625,1.992858991476776e-06,-7.941283127346462e-07,6.003538820006192e-05
db15k_mhyper_native,dev,Query-soft_grid_005,Global,47532,-0.01387266397409518,-0.01551584093267849,-0.008554886422572792,-0.017547264567034263,-0.007044202709761573,-0.02070112523842879
db15k_mhyper_native,dev,Query-soft_grid_001,Global,47532,-0.013906730227110423,-0.015838530660407524,-0.008503323456069996,-0.017378336564853755,-0.00691195666796434,-0.02090150378625651
db15k_mhyper_native,dev,Query-soft_continuous,Global,47532,-0.014182786156133154,-0.01531676877759966,-0.009548632375829823,-0.01768295731496998,-0.007129472022553191,-0.02123610028971312
db15k_mhyper_native,dev,ADC_grid_005,Query-soft_grid_005,47532,0.013863844761255885,0.015420727531395529,0.008649750114391067,0.017521056637981054,0.0069950595869623265,0.02073262993554944
db15k_mhyper_native,dev,ADC_grid_001,Query-soft_grid_001,47532,0.013821663467944403,0.01574329773061601,0.008473563387037355,0.017248129286179848,0.006712016843266265,0.02093131009262254
db15k_mhyper_native,dev,ADC_continuous,Query-soft_continuous,47532,0.014212406786076817,0.015219930391473986,0.00973233979279501,0.017684950173961458,0.007128677894240455,0.02129613567791318
db15k_mhyper_native,dev,ADC_grid_001,ADC_grid_005,47532,-7.62475463267232e-05,-1.1952850855572288e-07,-0.00012462376085091686,-0.00010399934962069705,-0.0001507967018988297,-1.6983907546167192e-06
db15k_mhyper_native,dev,ADC_continuous,ADC_grid_005,47532,3.843984278296166e-05,-1.7249848427117007e-06,8.884372514691024e-05,2.8200788044686456e-05,4.834899448651036e-05,2.8530691079412967e-05
db15k_mhyper_native,dev,Query-soft_grid_001,Query-soft_grid_005,47532,-3.4066253015242305e-05,-0.0003226897277290348,5.156296650279701e-05,0.00016892800218051076,0.00013224604179723278,-0.00020037854782771735
db15k_mhyper_native,dev,Query-soft_continuous,Query-soft_grid_005,47532,-0.00031012218203797223,0.00019907215507882926,-0.0009937459532570316,-0.0001356927479357147,-8.526931279161733e-05,-0.000534975051284327
db15k_mhyper_adamf,dev,ADC_grid_005,Global,47532,3.644332326432074e-05,-4.648016068327376e-05,0.00012247010180114305,3.334002867509293e-05,9.003601969859454e-05,-1.714937316995305e-05
db15k_mhyper_adamf,dev,ADC_grid_001,Global,47532,4.371287551273288e-05,-6.0228280801798284e-05,0.00015777631254943337,3.359059479056353e-05,0.00010776599117337418,-2.034024014790842e-05
db15k_mhyper_adamf,dev,ADC_continuous,Global,47532,4.397495404605782e-05,-5.907670645712942e-05,0.00012612807024408714,6.487349835121571e-05,0.00010774258507207872,-1.9792676979963054e-05
db15k_mhyper_adamf,dev,Query-soft_grid_005,Global,47532,-0.036093702726265636,-0.037999718178561556,-0.03925267743774211,-0.031028712562493233,-0.02570287685915149,-0.04648452859337977
db15k_mhyper_adamf,dev,Query-soft_grid_001,Global,47532,-0.03585699408560623,-0.037252946186779,-0.038669369859819024,-0.031648666210220666,-0.025562023858134292,-0.046151964313078164
db15k_mhyper_adamf,dev,Query-soft_continuous,Global,47532,-0.03575749867249274,-0.037603486518785964,-0.03901021714390733,-0.03065879235478493,-0.025351292056750047,-0.04616370528823543
db15k_mhyper_adamf,dev,ADC_grid_005,Query-soft_grid_005,47532,0.03613014604952995,0.03795323801787828,0.03937514753954326,0.031062052591168326,0.025792912878850077,0.046467379220209826
db15k_mhyper_adamf,dev,ADC_grid_001,Query-soft_grid_001,47532,0.03590070696111896,0.0371927179059772,0.03882714617236845,0.03168225680501122,0.02566978984930767,0.04613162407293024
db15k_mhyper_adamf,dev,ADC_continuous,Query-soft_continuous,47532,0.0358014736265388,0.03754440981232884,0.039136345214151415,0.030723665853136146,0.025459034641822125,0.046143912611255465
db15k_mhyper_adamf,dev,ADC_grid_001,ADC_grid_005,47532,7.269552248412133e-06,-1.3748120118524529e-05,3.530621074829032e-05,2.505661154706082e-07,1.772997147477963e-05,-3.1908669779553695e-06
db15k_mhyper_adamf,dev,ADC_continuous,ADC_grid_005,47532,7.531630781737081e-06,-1.2596545773855667e-05,3.6579684429441267e-06,3.1533469676122794e-05,1.770656537348416e-05,-2.64330381001e-06
db15k_mhyper_adamf,dev,Query-soft_grid_001,Query-soft_grid_005,47532,0.0002367086406594044,0.0007467719917825505,0.0005833075779230923,-0.0006199536477274294,0.00014085300101719262,0.0003325642803016162
db15k_mhyper_adamf,dev,Query-soft_continuous,Query-soft_grid_005,47532,0.00033620405377289217,0.00039623165977558625,0.0002424602938347855,0.0003699202077083047,0.0003515848024014409,0.00032082330514434347
