pair,split,method,rows,action_rate,quantization_mean_abs_error,quantization_max_abs_error,deadzone_suppressed_rate,max_same_observable_query_span
mkgw_mhyper_native,dev,Global,25656,0.0,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,ADC_grid_005,25656,0.6329123791705644,0.0076822362737592065,0.024997988219877754,0.0,0.0
mkgw_mhyper_native,dev,ADC_grid_001,25656,0.6329123791705644,0.0015313036973897767,0.004999390914244561,0.0,0.0
mkgw_mhyper_native,dev,ADC_continuous,25656,0.6329123791705644,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,Query-soft_grid_005,25656,0.8206657312129716,0.012318671433294215,0.024998148841379297,0.17933426878702838,0.0
mkgw_mhyper_native,dev,Query-soft_grid_001,25656,0.962386966011849,0.0025104022622979907,0.004999720505785954,0.03761303398815092,0.0
mkgw_mhyper_native,dev,Query-soft_continuous,25656,1.0,0.0,0.0,0.0,1.0376206338591487e-08
mkgw_mhyper_adamf,dev,Global,25656,0.0,0.0,0.0,0.0,0.0
mkgw_mhyper_adamf,dev,ADC_grid_005,25656,0.19480823199251637,0.0023829413958554525,0.02499214833819552,0.0,0.0
mkgw_mhyper_adamf,dev,ADC_grid_001,25656,0.19480823199251637,0.00047427623390615707,0.004998895426329142,0.0,0.0
mkgw_mhyper_adamf,dev,ADC_continuous,25656,0.19480823199251637,0.0,0.0,0.0,1.6530238244882867e-07
mkgw_mhyper_adamf,dev,Query-soft_grid_005,25656,1.0,0.012496911367512985,0.024998906951075706,0.0,0.0
mkgw_mhyper_adamf,dev,Query-soft_grid_001,25656,1.0,0.0024510038812771955,0.004999804138273278,0.0,0.0
mkgw_mhyper_adamf,dev,Query-soft_continuous,25656,1.0,0.0,0.0,0.0,1.4295639627626144e-07
db15k_mhyper_native,dev,Global,47532,0.0,0.0,0.0,0.0,0.0
db15k_mhyper_native,dev,ADC_grid_005,47532,0.10113186905663553,0.001176515353823381,0.024993998860068256,0.0,0.0
db15k_mhyper_native,dev,ADC_grid_001,47532,0.10113186905663553,0.0002454492499605243,0.00499979486682367,0.0,0.0
db15k_mhyper_native,dev,ADC_continuous,47532,0.10113186905663553,0.0,0.0,0.0,2.674814225667177e-08
db15k_mhyper_native,dev,Query-soft_grid_005,47532,1.0,0.012632617796777108,0.024999407124122575,0.0,0.0
db15k_mhyper_native,dev,Query-soft_grid_001,47532,1.0,0.002468770575569475,0.004999903433259845,0.0,0.0
db15k_mhyper_native,dev,Query-soft_continuous,47532,1.0,0.0,0.0,0.0,6.494745402596536e-08
db15k_mhyper_adamf,dev,Global,47532,0.0,0.0,0.0,0.0,0.0
db15k_mhyper_adamf,dev,ADC_grid_005,47532,0.003639653286207187,5.405549561317677e-05,0.024925021993129515,0.0,0.0
db15k_mhyper_adamf,dev,ADC_grid_001,47532,0.003639653286207187,8.710702899369124e-06,0.004964475002139368,0.0,0.0
db15k_mhyper_adamf,dev,ADC_continuous,47532,0.003639653286207187,0.0,0.0,0.0,0.0
db15k_mhyper_adamf,dev,Query-soft_grid_005,47532,1.0,0.012349202241045435,0.024999346295097147,0.0,0.0
db15k_mhyper_adamf,dev,Query-soft_grid_001,47532,1.0,0.002489945593452662,0.004999918068130271,0.0,0.0
db15k_mhyper_adamf,dev,Query-soft_continuous,47532,1.0,0.0,0.0,0.0,1.0034577202500117e-07
mkgw_mhyper_native,test,Global,25644,0.0,0.0,0.0,0.0,0.0
mkgw_mhyper_native,test,ADC_grid_005,25644,0.6332865387615036,0.0076202234116178645,0.024995334949023618,0.0,0.0
mkgw_mhyper_native,test,ADC_grid_001,25644,0.6332865387615036,0.0015798517046808646,0.004999967817305273,0.0,0.0
mkgw_mhyper_native,test,ADC_continuous,25644,0.6332865387615036,0.0,0.0,0.0,2.2539187627401702e-08
mkgw_mhyper_native,test,Query-soft_grid_005,25644,0.7979254406488847,0.012097771461933178,0.024999340835411554,0.20207455935111526,0.0
mkgw_mhyper_native,test,Query-soft_grid_001,25644,0.958586803930744,0.0024521545272177367,0.0049999457767661015,0.04141319606925597,0.0
mkgw_mhyper_native,test,Query-soft_continuous,25644,1.0,0.0,0.0,0.0,2.4350615301926837e-08
mkgw_mhyper_adamf,test,Global,25644,0.0,0.0,0.0,0.0,0.0
mkgw_mhyper_adamf,test,ADC_grid_005,25644,0.20293245983465918,0.002275470727461842,0.024952573974180048,0.0,0.0
mkgw_mhyper_adamf,test,ADC_grid_001,25644,0.20293245983465918,0.0005063375465201742,0.004997706197322871,0.0,0.0
mkgw_mhyper_adamf,test,ADC_continuous,25644,0.20293245983465918,0.0,0.0,0.0,4.20589628236101e-07
mkgw_mhyper_adamf,test,Query-soft_grid_005,25644,1.0,0.012680927907664013,0.02499943717614539,0.0,0.0
mkgw_mhyper_adamf,test,Query-soft_grid_001,25644,1.0,0.002569119387677307,0.004999437176145427,0.0,0.0
mkgw_mhyper_adamf,test,Query-soft_continuous,25644,1.0,0.0,0.0,0.0,2.4218914929097224e-07
db15k_mhyper_native,test,Global,59412,0.0,0.0,0.0,0.0,0.0
db15k_mhyper_native,test,ADC_grid_005,59412,0.07873830202652662,0.0009510927552784063,0.024960391508282664,0.0,0.0
db15k_mhyper_native,test,ADC_grid_001,59412,0.07873830202652662,0.00018630313058793177,0.004999312988478333,0.0,0.0
db15k_mhyper_native,test,ADC_continuous,59412,0.07873830202652662,0.0,0.0,0.0,0.0
db15k_mhyper_native,test,Query-soft_grid_005,59412,1.0,0.012567451911779165,0.024999358111829406,0.0,0.0
db15k_mhyper_native,test,Query-soft_grid_001,59412,1.0,0.0024783371804939086,0.004999802880876092,0.0,0.0
db15k_mhyper_native,test,Query-soft_continuous,59412,1.0,0.0,0.0,0.0,5.123088797631681e-08
db15k_mhyper_adamf,test,Global,59412,0.0,0.0,0.0,0.0,0.0
db15k_mhyper_adamf,test,ADC_grid_005,59412,0.0044940416077560085,5.9590372101334056e-05,0.024999222191815718,0.0,0.0
db15k_mhyper_adamf,test,ADC_grid_001,59412,0.0044940416077560085,1.056908009718068e-05,0.004999222191815811,0.0,0.0
db15k_mhyper_adamf,test,ADC_continuous,59412,0.0044940416077560085,0.0,0.0,0.0,0.0
db15k_mhyper_adamf,test,Query-soft_grid_005,59412,1.0,0.012388652364240898,0.024999209169369707,0.0,0.0
db15k_mhyper_adamf,test,Query-soft_grid_001,59412,1.0,0.0024747310034452692,0.004999991857904562,0.0,0.0
db15k_mhyper_adamf,test,Query-soft_continuous,59412,1.0,0.0,0.0,0.0,9.017007629452678e-08
