pair,label,dataset,split,observation_share,mean_gain_share,mean_loss_share,top_contribution,other_contribution
mkgw_mhyper_native,W-N,mkg_w,dev_oof,0.426800748362956,0.3633974600777728,0.3772854718411432,0.0010505075587519388,0.002019928213490293
mkgw_mhyper_native,W-N,mkg_w,test,0.4138979878334113,0.3653089785742815,0.35948939376737765,0.0009255759329425949,0.0015210727356667264
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,0.426800748362956,0.2977642518744258,0.20564047677693623,0.0004944507277665908,0.000709446174036932
mkgw_mhyper_adamf,W-A,mkg_w,test,0.4138979878334113,0.356083904146539,0.2635938529861075,0.0004928407651583167,0.0005210708469952077
db15k_mhyper_native,D-N,db15k,dev_oof,0.3629134057056299,0.26282692355962306,0.2716240516656984,-6.819096558158235e-06,-2.0001162811397966e-06
db15k_mhyper_native,D-N,db15k,test,0.3649767723692183,0.20726306224380303,0.23951746119264064,-3.675050432700837e-05,-4.44727503038592e-05
db15k_mhyper_adamf,D-A,db15k,dev_oof,0.3629134057056299,0.590829590867023,0.4429406747400332,3.995439598165995e-05,-3.5110727173391903e-06
db15k_mhyper_adamf,D-A,db15k,test,0.3649767723692183,0.6996158187877151,0.39043789218511793,0.0001629493143789899,4.860427493534242e-05
mkgw_native_adamf,W-NA,mkg_w,dev_oof,0.426800748362956,0.27041376000985956,0.3046230282324052,9.877406150522885e-06,0.00013708222767660024
mkgw_native_adamf,W-NA,mkg_w,test,0.4138979878334113,0.21874945634299886,0.2520832540798827,2.0427912820728974e-06,0.00013687679475454063
db15k_native_adamf,D-NA,db15k,dev_oof,0.3629134057056299,0.30015833340702663,0.33877181463479705,-6.003109193123474e-06,3.6515908069908234e-05
db15k_native_adamf,D-NA,db15k,test,0.3649767723692183,0.26257026644429093,0.2809523757388414,-1.2172344609898519e-05,-2.699240594918011e-06
