pair,label,dataset,split,direction,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
mkgw_mhyper_native,W-N,mkg_w,dev_oof,head,12828,4276,104,0.5,0.0006220651393966347,0.1932900095799625,0.19453413985875578,0.0012441302787932695,0.004562873623872331,0.003318743345079062,0.16978484565014032,0.33793264733395695,0.6467882756470221,0.3532117243529779
mkgw_mhyper_native,W-N,mkg_w,dev_oof,tail,12828,4276,104,0.5,0.002448370632845597,0.518210327218087,0.5231070684837782,0.004896741265691194,0.010979055944626939,0.006082314678935743,0.1293264733395697,0.06407857811038353,0.6190364826941066,0.38096351730589334
mkgw_mhyper_native,W-N,mkg_w,test,head,12822,4274,98,0.5,0.0005582977537209671,0.19280640669504892,0.1939230022024908,0.0011165955074419341,0.005397303205615255,0.004280707698173322,0.1859304320698799,0.32912182186866323,0.6586335985025737,0.3413664014974263
mkgw_mhyper_native,W-N,mkg_w,test,tail,12822,4274,98,0.5,0.001888350914888353,0.5365238386195811,0.5403005404493579,0.003776701829776706,0.010422274248728495,0.006645572418951785,0.11706442052721884,0.05927312431757916,0.6079394790204337,0.3920605209795664
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,head,12828,4276,104,0.5,0.00012869211508812265,0.1891354783297105,0.18939286255988672,0.0002573842301762453,0.0017132256123368924,0.001455841382160647,0.060414717804801996,0.20860617399438727,0.3008263174306205,0.5504365450576864
mkgw_mhyper_adamf,W-A,mkg_w,dev_oof,tail,12828,4276,104,0.5,0.0010752047867154,0.5165084524038296,0.5186588619772604,0.0021504095734308,0.003646537263819185,0.0014961276903883846,0.014499532273152479,0.05386654193950733,0.08879014655441222,0.4136264421577799
mkgw_mhyper_adamf,W-A,mkg_w,test,head,12822,4274,98,0.5,0.00031520681920827766,0.184160657385129,0.18479107102354558,0.0006304136384165553,0.002037218561780953,0.0014068049233643975,0.060053033848073624,0.22391202620496023,0.3198408984557791,0.5380595850881298
mkgw_mhyper_adamf,W-A,mkg_w,test,tail,12822,4274,98,0.5,0.0006987047929452464,0.5352812215670345,0.536678631152925,0.0013974095858904929,0.002840709256252722,0.001443299670362229,0.01232257058181251,0.05217594759007955,0.08602402121353923,0.4178755264389331
db15k_mhyper_native,D-N,db15k,dev_oof,head,23766,7922,188,0.5,-2.45715613996225e-05,0.24351429823048043,0.24346515510768119,-4.9143122799245e-05,0.0009269542036923443,0.0009760973264915892,0.031094841370024405,0.07666414205167045,0.18690566355297483,0.7071867373558866
db15k_mhyper_native,D-N,db15k,dev_oof,tail,23766,7922,188,0.5,1.5752348560324475e-05,0.5216597278177378,0.5216912325148585,3.150469712064895e-05,7.873451219459529e-05,4.722981507394634e-05,0.0018513843305562568,0.004502230076579988,0.015358074560296222,0.8275267188420432
db15k_mhyper_native,D-N,db15k,test,head,29706,9902,191,0.5,-9.384233492121752e-05,0.23722596474809204,0.23703828007824965,-0.00018768466984243505,0.0010180699561056908,0.0012057546259481259,0.027570187840840234,0.06520568235373325,0.15087861038174105,0.7482326802666128
