pair,label,dataset,split,partition,group,defined_relations,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,Train-zero,1,6,1,1,0.00023386342376052386,8.813605870478638e-10,0.00015602637149796604,0.0001597950693681827,3.7686978702166656e-06,3.7686978702166656e-06,0.0,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,1-99,128,1614,269,63,0.06290926099158092,7.849429386048823e-05,0.4567681046146046,0.4580158429066025,0.0012477382919979466,0.009979911050700441,0.008732172758702497,0.13568773234200743,0.08178438661710037,0.5731102850061958,0.42688971499380424
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,100-999,30,8970,1495,30,0.34962581852198316,0.0016020109483262256,0.4321822080319334,0.43676428081791535,0.0045820727859819,0.008992015931685913,0.004409943145704014,0.11817168338907469,0.12497212931995541,0.5731326644370123,0.4268673355629877
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,1000+,10,15066,2511,10,0.5872310570626754,0.0013899296486949314,0.29956373671795666,0.3019306579357263,0.002366921217769624,0.006810426825266707,0.004443505607497084,0.16978627372892605,0.2590601354042214,0.6750962431966017,0.3249037568033984
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R1,1,4974,829,1,0.19387277829747426,6.342946853446057e-05,0.10596664786275403,0.10629381843869294,0.00032717057593890643,0.003158668451531441,0.0028314978755925343,0.24829111379171692,0.35142742259750703,0.6861680739847206,0.3138319260152794
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R2,1,2772,462,1,0.10804490177736202,0.0008090379335532933,0.48867016254270995,0.4961581413389738,0.007487978796263815,0.012149583024885741,0.004661604228621927,0.19552669552669552,0.31277056277056275,0.9751082251082251,0.024891774891774892
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R3,1,1128,188,1,0.04396632366697849,2.5121334026867308e-05,0.5239416539499799,0.524513030674974,0.000571376724994067,0.009549936550991274,0.008978559825997207,0.07801418439716312,0.15425531914893617,0.625,0.375
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R4,1,1068,178,1,0.04162768942937325,0.0001081526415341877,0.213873180912114,0.21647127470537347,0.002598093793259475,0.005530795770591321,0.0029327019773318463,0.12734082397003746,0.3333333333333333,0.5842696629213483,0.4157303370786517
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R5,1,1008,168,1,0.03928905519176801,4.476618110312997e-05,0.15115290052834518,0.1522923064235653,0.0011394058952201413,0.006331500737847534,0.005192094842627393,0.16468253968253968,0.06646825396825397,0.4305555555555556,0.5694444444444444
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,Other,164,14706,2451,99,0.573199251637044,0.0020199282134902934,0.426606123813774,0.4301300785428171,0.003523954729043041,0.008630534504661225,0.005106579775618183,0.11355909152726779,0.13225894192846457,0.5684074527403781,0.43159254725962193
mkgw_mhyper_native,W-N,mkg_w,test,frequency,Train-zero,1,0,0,0,0.0,0.0,,,,,,,,,
