pair,fold,train_triples,available_rows,non_tied_fit_rows,heldout_rows,base_seeds
mkgw_mhyper_native,1,3423,20538,15638,5118,3
mkgw_mhyper_native,2,3416,20496,15611,5160,3
mkgw_mhyper_native,3,3419,20514,15672,5142,3
mkgw_mhyper_native,4,3417,20502,15676,5154,3
mkgw_mhyper_native,5,3429,20574,15671,5082,3
mkgw_mhyper_adamf,1,3423,20538,16456,5118,3
mkgw_mhyper_adamf,2,3416,20496,16408,5160,3
mkgw_mhyper_adamf,3,3419,20514,16515,5142,3
mkgw_mhyper_adamf,4,3417,20502,16426,5154,3
mkgw_mhyper_adamf,5,3429,20574,16451,5082,3
db15k_mhyper_native,1,6342,38052,29639,9480,3
db15k_mhyper_native,2,6341,38046,29565,9486,3
db15k_mhyper_native,3,6336,38016,29593,9516,3
db15k_mhyper_native,4,6332,37992,29616,9540,3
db15k_mhyper_native,5,6337,38022,29607,9510,3
db15k_mhyper_adamf,1,6342,38052,31204,9480,3
db15k_mhyper_adamf,2,6341,38046,31100,9486,3
db15k_mhyper_adamf,3,6336,38016,31113,9516,3
db15k_mhyper_adamf,4,6332,37992,31193,9540,3
db15k_mhyper_adamf,5,6337,38022,31090,9510,3
mkgw_native_adamf,1,3423,20538,16406,5118,3
mkgw_native_adamf,2,3416,20496,16376,5160,3
mkgw_native_adamf,3,3419,20514,16445,5142,3
mkgw_native_adamf,4,3417,20502,16439,5154,3
mkgw_native_adamf,5,3429,20574,16422,5082,3
db15k_native_adamf,1,6342,38052,30811,9480,3
db15k_native_adamf,2,6341,38046,30816,9486,3
db15k_native_adamf,3,6336,38016,30773,9516,3
db15k_native_adamf,4,6332,37992,30845,9540,3
db15k_native_adamf,5,6337,38022,30815,9510,3
