pair,seed,direction,available_rows,fit_rows
mkgw_mhyper_native,1,head,4276,3793
mkgw_mhyper_native,1,tail,4276,2725
mkgw_mhyper_native,2,head,4276,3796
mkgw_mhyper_native,2,tail,4276,2709
mkgw_mhyper_native,3,head,4276,3799
mkgw_mhyper_native,3,tail,4276,2745
mkgw_mhyper_adamf,1,head,4276,3949
mkgw_mhyper_adamf,1,tail,4276,3019
mkgw_mhyper_adamf,2,head,4276,3866
mkgw_mhyper_adamf,2,tail,4276,2897
mkgw_mhyper_adamf,3,head,4276,3922
mkgw_mhyper_adamf,3,tail,4276,2911
db15k_mhyper_native,1,head,7922,6744
db15k_mhyper_native,1,tail,7922,5584
db15k_mhyper_native,2,head,7922,6757
db15k_mhyper_native,2,tail,7922,5545
db15k_mhyper_native,3,head,7922,6786
db15k_mhyper_native,3,tail,7922,5589
db15k_mhyper_adamf,1,head,7922,7026
db15k_mhyper_adamf,1,tail,7922,5887
db15k_mhyper_adamf,2,head,7922,7133
db15k_mhyper_adamf,2,tail,7922,6027
db15k_mhyper_adamf,3,head,7922,6975
db15k_mhyper_adamf,3,tail,7922,5877
mkgw_native_adamf,1,head,4276,3898
mkgw_native_adamf,1,tail,4276,3044
mkgw_native_adamf,2,head,4276,3829
mkgw_native_adamf,2,tail,4276,2915
mkgw_native_adamf,3,head,4276,3881
mkgw_native_adamf,3,tail,4276,2955
db15k_native_adamf,1,head,7922,6971
db15k_native_adamf,1,tail,7922,5855
db15k_native_adamf,2,head,7922,7065
db15k_native_adamf,2,tail,7922,6007
db15k_native_adamf,3,head,7922,6884
db15k_native_adamf,3,tail,7922,5733
