pair,base_seed,selector_seed,fold,learning_rate,fit_triples,available_fit_directional_rows,loss_rows_per_epoch,heldout_directional_rows,epochs
mkgw_mhyper_native,1,11,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,1,11,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,1,11,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,1,11,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,1,11,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,1,11,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,1,11,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,1,11,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,1,11,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,1,23,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,1,23,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,1,23,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,1,23,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,1,23,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,1,23,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,1,23,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,1,23,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,1,23,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,1,37,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,1,37,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,1,37,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,1,37,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,1,37,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,1,37,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,1,37,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,1,37,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,1,37,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,2,11,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,2,11,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,2,11,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,2,11,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,2,11,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,2,11,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,2,11,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,2,11,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,2,11,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,2,23,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,2,23,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,2,23,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,2,23,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,2,23,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,2,23,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,2,23,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,2,23,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,2,23,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,2,37,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,2,37,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,2,37,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,2,37,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,2,37,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,2,37,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,2,37,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,2,37,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,2,37,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,3,11,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,3,11,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,3,11,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,3,11,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,3,11,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,3,11,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,3,11,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,3,11,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,3,11,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,3,23,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,3,23,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,3,23,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,3,23,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,3,23,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,3,23,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,3,23,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,3,23,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,3,23,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_native,3,37,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,3,37,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_native,3,37,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_native,3,37,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,3,37,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_native,3,37,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_native,3,37,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,3,37,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_native,3,37,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,11,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,11,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,11,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,11,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,11,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,11,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,11,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,11,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,11,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,23,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,23,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,23,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,23,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,23,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,23,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,23,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,23,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,23,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,37,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,37,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,37,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_adamf,1,37,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,37,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,37,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_adamf,1,37,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,37,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,1,37,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_adamf,2,11,0,1e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,2,11,0,5e-05,2811,5622,2811,2930,10
mkgw_mhyper_adamf,2,11,0,0.0001,2811,5622,2811,2930,10
mkgw_mhyper_adamf,2,11,1,1e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,2,11,1,5e-05,2853,5706,2853,2846,10
mkgw_mhyper_adamf,2,11,1,0.0001,2853,5706,2853,2846,10
mkgw_mhyper_adamf,2,11,2,1e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,2,11,2,5e-05,2888,5776,2888,2776,10
mkgw_mhyper_adamf,2,11,2,0.0001,2888,5776,2888,2776,10
mkgw_mhyper_adamf,2,23,0,1e-05,2811,5622,2811,2930,10
