pair,variant,base_seed,selector_seed,fit_triples,available_directional_rows,loss_rows_per_epoch,epochs,optimization_rows,model_sha256
mkgw_mhyper_native,R0,1,1,4276,8552,4276,1,4276,763b3711ad55cb57c4bc382862420073968c1df97e53b3babed1a9311fa9c07c
mkgw_mhyper_native,R0,2,2,4276,8552,4276,1,4276,636bb1bd47499c7ebb024c3db8d2cb957e0585e5b1fe3e04c42c7b8f3e3d1e6c
mkgw_mhyper_native,R0,3,3,4276,8552,4276,1,4276,8639c797184caac95808b2b0a0c640bc01e6c43ae73be21b85a9dec1ffb64ff9
mkgw_mhyper_native,R1_source,1,11,4276,8552,4276,1,4276,93549a08012c36720f81f28b2d3ac79005f4b74823071861783832733c45a12b
mkgw_mhyper_native,R2_init,1,11,4276,8552,4276,1,4276,93ef2fc5c91804e9615e1d9bc96ef0f34feed9f1e71bb4c8cc0ab2e4ee25810b
mkgw_mhyper_native,R3_softplus_fixed,1,11,4276,8552,4276,1,4276,8b6c407393e954047d26508a63b65d441590612f3f897740df569a5d444b0ffa
mkgw_mhyper_native,R3_softplus,1,11,4276,8552,4276,1,4276,8da01aab89dee0abf832634cbe301278c8cde1b84a1c64d403a2e721ed1deaee
mkgw_mhyper_native,R4_swap,1,11,4276,8552,4276,1,4276,b4307803e755b9bdd5a694ada051407d54006ab362a05060b216eb44e783daac
mkgw_mhyper_native,R1_source,1,23,4276,8552,4276,1,4276,14f2924879f0af7e4d120256362377fe5d630146b1581b5ee49699274f1f7350
mkgw_mhyper_native,R2_init,1,23,4276,8552,4276,1,4276,cf02ae62a1e18fb19b29f62b811add1cb879a6c62630b2576cd8cc358a41a0ea
mkgw_mhyper_native,R3_softplus_fixed,1,23,4276,8552,4276,1,4276,0c94b538debaee88dc301bf86b721c2270b9cb475d18db8ceff95bca73aea363
mkgw_mhyper_native,R3_softplus,1,23,4276,8552,4276,1,4276,19823bbfd6222e145c2f20f830fc1366301f11690dddb4943353cb538eba4d40
mkgw_mhyper_native,R4_swap,1,23,4276,8552,4276,1,4276,2ef8315b7e63216e2e4b56ac7edeb6291a6da2ded3dab53a028deb0311c5ba79
mkgw_mhyper_native,R1_source,1,37,4276,8552,4276,1,4276,ea7a9b7093170d7e5e85a0f61df642e5871c61c8fb06009d3ccae801c81571ae
mkgw_mhyper_native,R2_init,1,37,4276,8552,4276,1,4276,26f80dba0e8604e33c16b892a18bcf2c084536bbff52d31aae55377d18df66c2
mkgw_mhyper_native,R3_softplus_fixed,1,37,4276,8552,4276,1,4276,5aefc245a8f707fea8ffe435c39872f70ae5c94e1b012483dc93ac54965d3059
mkgw_mhyper_native,R3_softplus,1,37,4276,8552,4276,1,4276,25807a445aae246cb3fd807004ed88b577a902137d5089913aa7334488056dff
mkgw_mhyper_native,R4_swap,1,37,4276,8552,4276,1,4276,94eac30ebb3e3754da76c0d1f559895b57f7e498474245304fec88b317aaf92a
mkgw_mhyper_native,R1_source,2,11,4276,8552,4276,1,4276,b038194f0560fbc72757d0b4c82d91e9265e059ca5179f04a6b0cbff05d71c08
mkgw_mhyper_native,R2_init,2,11,4276,8552,4276,1,4276,fc58788530b63f2f602497ed12b9256b5765701e2b2bc64161f5fb4e2d23f135
mkgw_mhyper_native,R3_softplus_fixed,2,11,4276,8552,4276,1,4276,b8004a6d21df10b6e2ca0b4deea30f98132f14ae790e5765c3dbc85bba5bb875
mkgw_mhyper_native,R3_softplus,2,11,4276,8552,4276,1,4276,6b7e48fcd7989136ab20032cb972fba96af6e887c789cc577b41a389262559d8
mkgw_mhyper_native,R4_swap,2,11,4276,8552,4276,1,4276,12eaeff777e29584a26c8ae5ca52ffdd5415de190f7e370dd691e72d6bbae43e
mkgw_mhyper_native,R1_source,2,23,4276,8552,4276,1,4276,f2baa12d7c7d27b1465128afb1772442772fe5994556aa3ae54f2d1272ab3a65
mkgw_mhyper_native,R2_init,2,23,4276,8552,4276,1,4276,7277cac4b72fa6493fb2b3a75011f3c91c4c0412192cc9d7cf1b049a86c192c4
mkgw_mhyper_native,R3_softplus_fixed,2,23,4276,8552,4276,1,4276,b1553fb2fb2592f8761cf8b20ffb2d85092cafc3b6e0069eb20020160db4a4dd
mkgw_mhyper_native,R3_softplus,2,23,4276,8552,4276,1,4276,17584ba5b48fd5592c120c5dd14193ae99be332f0e368e67b93289e5e87ba5f9
mkgw_mhyper_native,R4_swap,2,23,4276,8552,4276,1,4276,67abdc46b711b458914fc998f4cc75c74beb60113e98ae2f26a94b33b9781d9a
mkgw_mhyper_native,R1_source,2,37,4276,8552,4276,1,4276,e810a370f802f8d51bf0d3cea8945737162ea184a29d996aa1a9d99116a0f754
mkgw_mhyper_native,R2_init,2,37,4276,8552,4276,1,4276,72ba5469cde3d8b8df7ec38c7a7494324de5665881019a2ec3fd4d3528e28a41
mkgw_mhyper_native,R3_softplus_fixed,2,37,4276,8552,4276,1,4276,95cec53b0d7d75571bc78fe0dc6f26b3c41631916f60e1e4243539cd95b7cdda
mkgw_mhyper_native,R3_softplus,2,37,4276,8552,4276,1,4276,f306f587b099f65577bd3bc92c3f6e48475ad5de335200f77a2178e403820744
mkgw_mhyper_native,R4_swap,2,37,4276,8552,4276,1,4276,0a53af3081fc6e332c29b97879afac796d6e826b8d2e35326a511499a12814bf
mkgw_mhyper_native,R1_source,3,11,4276,8552,4276,1,4276,76ffbd6c1a0cc27b2953913a966d21fe1191538b877fc9c4fc5d51f31fda0357
mkgw_mhyper_native,R2_init,3,11,4276,8552,4276,1,4276,775920225199173ca39e2127a252139ab79bda692b8410f57c60b3ae9fdbdc48
