pair,split,method,n_observations,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters,bootstrap_samples,bootstrap_seed,cluster_unit,delta_mrr_ci95,harmful_query_rate_ci95,mean_harm_ci95,reproduction_error
db15k_mhyper_adamf,test,full,59412,0.37477821237709275,0.00021155358931433234,0.0009425705244731704,0.002928701272470208,0.9961287282030566,0.05127641959475696,0.0887373640554569,0.0,56,174,59182,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[6.997517892385674e-05, 0.0003775525826632393]","[0.0006564330438295294, 0.0012623712381337104]","[0.017203480341398156, 0.09635793266689952]",0.0
db15k_mhyper_adamf,test,no_bound,59412,0.37489030759231134,0.0003236488045329648,0.0011613815390830134,0.002777216723894163,0.9960614017370228,0.047449249065520255,0.13637952097232364,0.0,69,165,59178,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[0.00015704987636076632, 0.000516044152767911]","[0.0008415808254224736, 0.0015148454857604524]","[0.01919655338220435, 0.08566693179463658]",
db15k_mhyper_adamf,test,no_fallback,59412,0.37157764488431083,-0.0029890139034676045,0.08560560156197401,0.1816131421261698,0.7327812563118562,0.07446062895344177,0.01863980211532785,0.0,5086,10790,43536,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.0035794326890833525, -0.0024119458933538995]","[0.0828115532215714, 0.08850106039184003]","[0.06926102889093116, 0.07979706302996849]",
db15k_mhyper_native,test,full,59412,0.3744854355331475,-8.12232546308676e-05,0.014239547566148253,0.033983033730559484,0.9517774187032922,0.04336259985729121,0.015779655014927813,0.0,846,2019,56547,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.0002540773129084094, 9.106007636528283e-05]","[0.013179155726115936, 0.015316771022689019]","[0.03486203030856499, 0.052691138089314866]",0.0
db15k_mhyper_native,test,no_bound,59412,0.3742525861628402,-0.00031407262493817265,0.02262169258735609,0.03652460782333535,0.9408536995893085,0.09829183678090045,0.052278592553319576,0.0,1344,2170,55898,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.0006706601587403491, 2.9121272061382162e-05]","[0.021258331650171682, 0.024001885141048947]","[0.08775585973979347, 0.10954884830896898]",
db15k_mhyper_native,test,no_fallback,59412,0.3744195098595692,-0.00014714892820924422,0.05325523463273413,0.13126977714939742,0.8154749882178685,0.027641008162121537,0.01009279878217527,0.0,3164,7799,48449,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.00040973592147270906, 0.00011258676622856074]","[0.05101662963711035, 0.055510671244866354]","[0.024021650939047654, 0.03140119493397759]",
db15k_native_adamf,test,full,59412,0.3127466131950336,-1.4871585204816518e-05,0.005907897394465764,0.020904867703494243,0.97318723490204,0.07612834054782375,0.02080313761038452,0.0,351,1242,57819,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.0001627476214804371, 0.00012946261042519116]","[0.005217801117619336, 0.006632077694741797]","[0.057569990432582166, 0.09609669048227368]",0.0
db15k_native_adamf,test,no_bound,59412,0.31298618236967446,0.00022469758943599024,0.007254426715141722,0.021864269844475863,0.9708813034403824,0.1103602649848654,0.046893770124748296,0.0,431,1299,57682,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[-1.0863137969128156e-07, 0.0004490082408831144]","[0.006463340739244597, 0.008079175924055746]","[0.0906778381814457, 0.1312569537237212]",
db15k_native_adamf,test,no_fallback,59412,0.3120981019951913,-0.000663382785047206,0.03758499966336767,0.1064599744159429,0.8559550259206894,0.06749101410537936,0.017595974145784583,0.0,2233,6325,50854,9902,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.0010029447293262545, -0.0003376658835271737]","[0.03561570053187908, 0.03957113041136471]","[0.060646829477195345, 0.07492493478144864]",
mkgw_mhyper_adamf,test,full,25644,0.3607348510882352,0.0010139116121535242,0.03618780221494307,0.1380439868975199,0.825768210887537,0.039379354634442684,0.017668019910403326,0.0,928,3540,21176,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[0.0005032863943047457, 0.0015491810933521597]","[0.03334113242863828, 0.03903447200124786]","[0.03142229999306326, 0.04807552556363384]",0.0
mkgw_mhyper_adamf,test,no_bound,25644,0.36190480984480683,0.002183870368725117,0.047457494930588054,0.1351973171112151,0.8173451879581969,0.054255695908176846,0.03519825602995043,0.0,1217,3467,20960,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[0.0014033572140518102, 0.0029763138171476776]","[0.04410388394946186, 0.05081110591171424]","[0.04553195975162418, 0.06365374983053852]",
mkgw_mhyper_adamf,test,no_fallback,25644,0.3607674355146588,0.0010464960385770253,0.06613632818593043,0.23085322102636094,0.7030104507877086,0.0329222029723905,0.013964932542980325,0.0,1696,5920,18028,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[0.00045062751206868226, 0.0016776353272160167]","[0.06235376696303229, 0.0699578848853533]","[0.027377626521212416, 0.0388486068123757]",
mkgw_mhyper_native,test,full,25644,0.3671117713259244,0.0024466486686093203,0.15149742629854937,0.1941974730931212,0.6543051006083295,0.03606094302748472,0.04073064701196698,0.0,3885,4980,16779,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[0.0014807172804721213, 0.00342506575742872]","[0.1451411636250195, 0.15781469349555452]","[0.032025761303965616, 0.04024551477686488]",0.0
mkgw_mhyper_native,test,no_bound,25644,0.36706543913868733,0.0024003164813723374,0.17848229605365779,0.1914677897363906,0.6300499142099516,0.049464538090551964,0.05864621317490195,0.0,4577,4910,16157,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[0.0010929658420974623, 0.003691990450948368]","[0.17165808766183122, 0.1852675089689596]","[0.04466475350785061, 0.05445709452245947]",
mkgw_mhyper_native,test,no_fallback,25644,0.36710139886156734,0.002436276204252291,0.22632974574949305,0.2604507877086258,0.5132194665418811,0.0327160457919159,0.03778406898609458,0.0,5804,6679,13161,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[0.0013286738805979115, 0.0035474721232292986]","[0.21895862579940728, 0.233660895336141]","[0.029611057910154757, 0.036000916648622996]",
mkgw_native_adamf,test,full,25644,0.3442659286460116,0.00013891958603661354,0.009163936983309936,0.0156761815629387,0.9751598814537513,0.09279438885062805,0.06310730160253858,0.0,235,402,25007,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.0002486347921282147, 0.0005471264919978267]","[0.007643113398845734, 0.01072375604429886]","[0.06882362200404064, 0.11983032418226505]",0.0
mkgw_native_adamf,test,no_bound,25644,0.3443605939103988,0.00023358485042388152,0.010762751520823585,0.01544220870379036,0.9737950397753861,0.10657384592937573,0.08940512974943868,0.0,276,396,24972,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.00023402763655003427, 0.0007407137475149001]","[0.009201957572921542, 0.012400561534861956]","[0.08295618352508304, 0.13263127524990784]",
mkgw_native_adamf,test,no_fallback,25644,0.3408774216996874,-0.0032495873602875923,0.2172827951957573,0.2183356730619248,0.5643815317423179,0.053672376743204374,0.03853010625931769,0.0,5572,5599,14473,4274,10000,20260910,original raw triple; all available seeds and directions retained,"[-0.004479566481049415, -0.0019631818543474795]","[0.21100452347527687, 0.2236780533458119]","[0.04925223417132492, 0.05829768595366196]",
