pair,seed,direction,n,adc_mrr,delta_vs_global
db15k_mhyper_adamf,1,head,9902,0.23682169109817247,0.00028869509687894416
db15k_mhyper_adamf,1,tail,9902,0.5143112765589644,9.747002056649805e-05
db15k_mhyper_adamf,2,head,9902,0.23943563673561227,0.0005342003810482884
db15k_mhyper_adamf,2,tail,9902,0.5108618897337908,0.00014124154230393997
db15k_mhyper_adamf,3,head,9902,0.2364291032180992,0.0001856413296805125
db15k_mhyper_adamf,3,tail,9902,0.5108096769179173,2.207316540781103e-05
db15k_mhyper_native,1,head,9902,0.2363163793522587,-0.00021661664903475242
db15k_mhyper_native,1,tail,9902,0.5142296111873171,1.5804648919224792e-05
db15k_mhyper_native,2,head,9902,0.2388430444368439,-5.839191772007646e-05
db15k_mhyper_native,2,tail,9902,0.5107981970647938,7.754887330702305e-05
db15k_mhyper_native,3,head,9902,0.23595541644564622,-0.0002880454427724763
db15k_mhyper_native,3,tail,9902,0.5107699647120254,-1.763904048414819e-05
db15k_native_adamf,1,head,9902,0.2084228063199343,-0.00019554281556390942
db15k_native_adamf,1,tail,9902,0.4204975957889279,0.0001175466715537436
db15k_native_adamf,2,head,9902,0.20761718924737474,-6.757238657533295e-05
db15k_native_adamf,2,tail,9902,0.42010971630426797,-5.500879460744154e-05
db15k_native_adamf,3,head,9902,0.20626849458306723,-0.00022934348644584974
db15k_native_adamf,3,tail,9902,0.4135638769266296,0.00034069130040989076
mkgw_mhyper_adamf,1,head,4274,0.1851344644747465,0.00041596373286390096
mkgw_mhyper_adamf,1,tail,4274,0.5373090942937476,0.000807112169000774
mkgw_mhyper_adamf,2,head,4274,0.18430415014065096,0.0005613598981463236
mkgw_mhyper_adamf,2,tail,4274,0.5360452312385896,0.0020797778139534247
mkgw_mhyper_adamf,3,head,4274,0.1849345984552392,0.0009139172842394419
mkgw_mhyper_adamf,3,tail,4274,0.5366815679264376,0.0013053387747172798
mkgw_mhyper_native,1,head,4274,0.19543138987174877,0.0014061190949742255
mkgw_mhyper_native,1,tail,4274,0.5422339705443249,0.0022676395259591535
mkgw_mhyper_native,2,head,4274,0.19330422367331954,0.0020277195599262415
mkgw_mhyper_native,2,tail,4274,0.5389842289347905,0.0033871243802050476
mkgw_mhyper_native,3,head,4274,0.19303339306240422,-8.405213257466513e-05
mkgw_mhyper_native,3,tail,4274,0.5396834218689582,0.005675341583165919
mkgw_native_adamf,1,head,4274,0.18103234393807457,-2.4507405604614878e-05
mkgw_native_adamf,1,tail,4274,0.5065011598386315,0.00129649587403772
mkgw_native_adamf,2,head,4274,0.17983037744781014,4.288124531852784e-05
mkgw_native_adamf,2,tail,4274,0.507559922751752,-0.00016163139825285834
mkgw_native_adamf,3,head,4274,0.18479164517306634,-0.0001843537555704951
mkgw_native_adamf,3,tail,4274,0.5058801227267348,-0.00013536704370859833
