split,dataset,pair,method,scope,seed,direction,n_observations,mrr,delta_mrr_vs_global,delta_mrr_ci95_low,delta_mrr_ci95_high,harmful_query_rate,harmful_query_rate_ci95_low,harmful_query_rate_ci95_high,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_harm_ci95_low,mean_harm_ci95_high,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,DB15K,M-Hyper + AdaMF-MAT,Global,direction,,head,29706,0.23722596474809204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,29706,9902
test,DB15K,M-Hyper + AdaMF-MAT,Global,direction,,tail,29706,0.5119073528274647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,29706,9902
test,DB15K,M-Hyper + AdaMF-MAT,Query-soft,direction,,head,29706,0.2190475991470956,-0.01817836560099646,-0.02019009158277757,-0.016015185938535674,0.38325590789739444,0.3761866289638457,0.39022419713189255,0.4308893826163065,0.18585470948629906,0.09392410032253896,0.08963717503795401,0.09833462415484552,0.04135307450225824,0.0,11385,12800,5521,9902
test,DB15K,M-Hyper + AdaMF-MAT,Query-soft,direction,,tail,29706,0.4768950683952435,-0.035012284432221194,-0.03761303488058319,-0.03242236214971836,0.26981081263044504,0.2639189052716623,0.2757018784084023,0.2971116946071501,0.4330774927624049,0.22071840549811267,0.21430941755712377,0.22724690889085064,0.08259495793381035,0.0,8015,8826,12865,9902
test,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,direction,,head,29706,0.19361025989632089,-0.04361570485177114,-0.046475955680721194,-0.04060422097806956,0.5067326466033798,0.4998308422540901,0.5134652932067596,0.36167777553356223,0.13158957786305797,0.1287842580674933,0.12378894655226287,0.1336422438726248,0.05984189392807733,-1.139375367514999e-05,15053,10744,3909,9902
test,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,direction,,tail,29706,0.41423814618734794,-0.09766920664011683,-0.1017221807375568,-0.0935339182930136,0.4309567090823403,0.42445970511007874,0.4374200498215849,0.2737830741264391,0.2952602167912206,0.30669462702134304,0.3002917438456082,0.3132500333853372,0.12602276683584449,0.0,12802,8133,8771,9902
test,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,direction,,head,29706,0.23790300324290925,0.0006770384948171822,0.00024153430728820327,0.0011343016926376173,0.031037500841580825,0.028815727462465496,0.033259274220696154,0.06759577189793307,0.9013667272604861,0.030247977288099324,0.023127589547640423,0.03790499922357748,0.023904751288180676,0.0,922,2008,26776,9902
test,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,direction,,tail,29706,0.5126584685775338,0.0007511157500691145,0.000322424504563438,0.0012155640060900763,0.010065306672052785,0.008819767050427522,0.011411835992728742,0.024742476267420724,0.9651922170605265,0.07160205526613997,0.051866307671216416,0.09277310654966427,0.05948525033486933,0.0,299,735,28672,9902
test,DB15K,M-Hyper + NativE,Global,direction,,head,29706,0.23722596474809204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,29706,9902
test,DB15K,M-Hyper + NativE,Global,direction,,tail,29706,0.5119073528274647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,29706,9902
test,DB15K,M-Hyper + NativE,Query-soft,direction,,head,29706,0.23386815594243968,-0.0033578088056523724,-0.005160155230505285,-0.0015192095840028891,0.3535985996095065,0.3465629839089746,0.36053322561098766,0.440719046657241,0.20568235373325255,0.06835693057560181,0.06466864892599164,0.07208258249995099,0.04722533840401862,0.0,10504,13092,6110,9902
test,DB15K,M-Hyper + NativE,Query-soft,direction,,tail,29706,0.49737374448961535,-0.014533608337849351,-0.0167200678782463,-0.012329686712462457,0.22726048609708477,0.22153773648421193,0.23305056217599138,0.29159092439237866,0.4811485895105366,0.1691817881117149,0.16287470895061565,0.17578793274446275,0.08201464814800677,0.0,6751,8662,14293,9902
test,DB15K,M-Hyper + NativE,DynaSemble,direction,,head,29706,0.21881278382796399,-0.01841318092012807,-0.020719233397063833,-0.01607869621230496,0.45445364572813574,0.44741803002760383,0.4614219349626338,0.36716488251531676,0.1783814717565475,0.09213681222238705,0.08811292792539564,0.09630122316163978,0.06389153869889988,0.0,13500,10907,5299,9902
test,DB15K,M-Hyper + NativE,DynaSemble,direction,,tail,29706,0.448030962456492,-0.06387639037097272,-0.06747452145280568,-0.060296618879784145,0.371743082205615,0.36544805763145494,0.3781390964788258,0.25947620009425704,0.36878071770012794,0.262840714351797,0.25602032199585395,0.269713824262495,0.13038894087010633,0.0,11043,7708,10955,9902
test,DB15K,M-Hyper + NativE,Anchored Dynamic,direction,,head,29706,0.23870554386081466,0.0014795791127226153,0.0007167629449675056,0.002262925728487882,0.1434053726519895,0.13852420386453915,0.14838753113849054,0.3185888372719316,0.538005790076079,0.03163225089447293,0.028236396948172364,0.03511322735777475,0.01888268870805079,0.0,4260,9464,15982,9902
test,DB15K,M-Hyper + NativE,Anchored Dynamic,direction,,tail,29706,0.5129705966638465,0.0010632438363816716,0.0005004869130517437,0.0016088533589899486,0.05133643035077089,0.04830673937924998,0.05446711102134249,0.12815592809533427,0.8205076415538949,0.04221188112906024,0.03595881328381512,0.048997628568010564,0.02520563176395345,0.0,1525,3807,24374,9902
test,MKG-W,M-Hyper + AdaMF-MAT,Global,direction,,head,12822,0.18416065738512902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,12822,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Global,direction,,tail,12822,0.5352812215670345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,12822,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Query-soft,direction,,head,12822,0.1791869623212572,-0.004973695063871797,-0.007532087260490824,-0.0024282340911008665,0.2947278115738574,0.28466697863047885,0.3049446264233349,0.5418031508345031,0.16346903759163936,0.06856718793905728,0.062120647142595777,0.07533416874809838,0.028118998864651405,3.6219844942750166e-05,3779,6947,2096,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Query-soft,direction,,tail,12822,0.5257538062520116,-0.009527415315022948,-0.012623504319035585,-0.00642576478377369,0.1856184682576821,0.17742941818749025,0.1938855092809234,0.31991888940882857,0.4944626423334893,0.18098576234893574,0.17017118340050078,0.1918652332808858,0.07522808269654871,0.0,2380,4102,6340,4274
test,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,direction,,head,12822,0.148908880725821,-0.03525177665930798,-0.039673046561745744,-0.030876924724597053,0.44447044142879427,0.4338617220402433,0.4555451567618156,0.46030260489783187,0.09522695367337389,0.12673655623221058,0.11870134375007804,0.13514280922021205,0.04579351976308391,0.0,5699,5902,1221,4274
test,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,direction,,tail,12822,0.4719164799800328,-0.06336474158700173,-0.06899931930705183,-0.05769992368216867,0.34939946966151925,0.33964865075651224,0.3594603026048978,0.2922321010762752,0.3583684292622056,0.29411149795232255,0.28301445801577935,0.304878854560623,0.13481633151797945,0.0,4480,3747,4595,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,direction,,head,12822,0.1856549821434574,0.0014943247583283853,0.0008467580102471076,0.0021935557282672232,0.104507877086258,0.09795468725627826,0.11113710809546093,0.3401965372016846,0.5552955857120574,0.013432113443023749,0.009916218981619885,0.017269866175542842,0.008518859253768543,0.0,1340,4362,7120,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,direction,,tail,12822,0.5377554310369844,0.0024742094699499936,0.0015073938434172441,0.0035086067858815647,0.04156917797535486,0.03735766651068476,0.04593667134612385,0.15091249415067853,0.8075183278739666,0.05161897793849961,0.04031982908429908,0.0637539363635373,0.030613555072309614,0.0,533,1935,10354,4274
test,MKG-W,M-Hyper + NativE,Global,direction,,head,12822,0.19196994065968487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,12822,4274
