split,dataset,pair,method,scope,seed,direction,n_observations,mrr,delta_mrr_vs_global,delta_mrr_ci95_low,delta_mrr_ci95_high,harmful_query_rate,harmful_query_rate_ci95_low,harmful_query_rate_ci95_high,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_harm_ci95_low,mean_harm_ci95_high,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,DB15K,M-Hyper + AdaMF-MAT,Global,seed,1,,19804,0.37537340126984564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,19804,9902
test,DB15K,M-Hyper + AdaMF-MAT,Global,seed,2,,19804,0.3748110422730253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,19804,9902
test,DB15K,M-Hyper + AdaMF-MAT,Global,seed,3,,19804,0.3735155328204641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,19804,9902
test,DB15K,M-Hyper + AdaMF-MAT,Query-soft,seed,1,,19804,0.34752457077943477,-0.027848830490410943,-0.030458393596167838,-0.025152552688744143,0.3346798626540093,0.3270551403756817,0.34215310038376084,0.35497879216319933,0.31034134518279133,0.14453102112822375,0.13902157302466192,0.15007796835114168,0.0578141349937082,0.0,6628,7030,6146,9902
test,DB15K,M-Hyper + AdaMF-MAT,Query-soft,seed,2,,19804,0.34425745367139726,-0.030553588601628132,-0.03330496545492122,-0.0278110052023317,0.33407392445970513,0.32665118157947887,0.3416481518885074,0.36538073116542114,0.30054534437487374,0.1549783894348939,0.14916903038285953,0.16069687080113845,0.05807818626791243,0.0,6616,7236,5952,9902
test,DB15K,M-Hyper + AdaMF-MAT,Query-soft,seed,3,,19804,0.3521319768626767,-0.021383555957787414,-0.02398879001306437,-0.018809086623824803,0.31084629367804484,0.30367476267420723,0.31816930923045844,0.3716420925065643,0.31751161381539084,0.13890436479862808,0.13317030749470385,0.1447817496982286,0.05864338689026257,0.0,6156,7360,6288,9902
test,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,seed,1,,19804,0.2846745105573004,-0.09069889071254526,-0.09487038364441149,-0.08645118197458543,0.5342355079781862,0.5259543526560291,0.542314683902242,0.2866087659058776,0.17915572611593616,0.2256089270943835,0.2201441076607542,0.23117878790840282,0.10407709953969886,-0.00017218636672895,10580,5676,3548,9902
test,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,seed,2,,19804,0.3375835615743803,-0.03722748069864506,-0.040213862690097434,-0.03429661012642985,0.3484649565744294,0.3409917188446778,0.3559886891537063,0.3742173298323571,0.2773177135932135,0.17208474957596226,0.16616470508204553,0.17799944056580091,0.06076154757357292,0.0,6901,7411,5492,9902
test,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,seed,3,,19804,0.28951453699382246,-0.08400099582664165,-0.0882037033074698,-0.07988715170007156,0.5238335689759644,0.515653403352858,0.5319632397495455,0.2923651787517673,0.18380125227226823,0.22078221961971445,0.21530506242973654,0.22627157519175337,0.10826235319241904,-9.61178324411e-05,10374,5790,3640,9902
test,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,seed,1,,19804,0.37623084002586477,0.0008574387560191334,0.0003455118767937981,0.0013903228477790183,0.023783074126439104,0.02166229044637447,0.0259556150272672,0.05029287012724702,0.9259240557463139,0.03841713250176232,0.027734935035311475,0.05037897687733873,0.035216050735474874,0.0,471,996,18337,9902
test,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,seed,2,,19804,0.3754590562191279,0.000648013946102498,5.67983301942432e-05,0.0012549071883122538,0.026711775398909312,0.02454049686931933,0.02898404362754999,0.059129468794182995,0.9141587558069076,0.04545888944475263,0.034330212368523495,0.057675769045168454,0.031495320841065766,0.0,529,1171,18104,9902
test,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,seed,3,,19804,0.37415231148567196,0.0006367786652078135,0.0002688086786542321,0.0010254695148127952,0.011159361745101999,0.009644516259341547,0.0127247020803878,0.029085033326600687,0.9597556049282974,0.03237750072216846,0.018048022477712214,0.04946698077338707,0.03431630615516453,0.0,221,576,19007,9902
test,DB15K,M-Hyper + NativE,Global,seed,1,,19804,0.37537340126984564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,19804,9902
test,DB15K,M-Hyper + NativE,Global,seed,2,,19804,0.3748110422730253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,19804,9902
test,DB15K,M-Hyper + NativE,Global,seed,3,,19804,0.3735155328204641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,19804,9902
test,DB15K,M-Hyper + NativE,Query-soft,seed,1,,19804,0.3666371668883605,-0.008736234381485113,-0.010947670795523966,-0.0064814117373386635,0.2992324782872147,0.2920622096546152,0.3064027469198142,0.3544233488184205,0.34634417289436475,0.10269211192730847,0.09772515544601525,0.10778142610267596,0.062051726683330775,0.0,5926,7019,6859,9902
test,DB15K,M-Hyper + NativE,Query-soft,seed,2,,19804,0.3678585201999993,-0.006952522073026037,-0.009131133997227963,-0.0047397487352509125,0.27373257927691375,0.2670167642900424,0.2805506463340739,0.371743082205615,0.3545243385174712,0.10318447147663107,0.09781497988139412,0.1085521489206694,0.05727727149424198,0.0,5421,7362,7021,9902
test,DB15K,M-Hyper + NativE,Query-soft,seed,3,,19804,0.36236716355972265,-0.011148369260741434,-0.013586755249711525,-0.008757277953656285,0.29832357099575846,0.29125429206220965,0.30544334477883256,0.37229852555039383,0.3293779034538477,0.11717179674208897,0.11188988734267459,0.12262796977521623,0.06394529639394252,0.0,5908,7373,6523,9902
test,DB15K,M-Hyper + NativE,DynaSemble,seed,1,,19804,0.3144991991264361,-0.060874202143409537,-0.0647141288810207,-0.056964861309458596,0.5057564128458897,0.49757624722278326,0.5140880630175723,0.27383356897596445,0.22041001817814582,0.187558162631543,0.18247974437007433,0.19264724547199635,0.12410655682637883,-1.6218156853520135e-05,10016,5423,4365,9902
test,DB15K,M-Hyper + NativE,DynaSemble,seed,2,,19804,0.3759059084523815,0.0010948661793560937,-0.0006194142015130315,0.0028254972455726457,0.23151888507372248,0.2251565340335286,0.23808321551201778,0.37926681478489194,0.3892143001413856,0.07088940439274072,0.06618156299455762,0.07564935846469363,0.04616038463010042,0.0,4585,7511,7708,9902
