split,dataset,pair,method,scope,seed,direction,n_observations,mrr,delta_mrr_vs_global,delta_mrr_ci95_low,delta_mrr_ci95_high,harmful_query_rate,harmful_query_rate_ci95_low,harmful_query_rate_ci95_high,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_harm_ci95_low,mean_harm_ci95_high,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,DB15K,M-Hyper + AdaMF-MAT,Global,pooled,,,59412,0.37456665878777834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,59412,9902
test,DB15K,M-Hyper + AdaMF-MAT,Query-soft,pooled,,,59412,0.3479713337711695,-0.02659532501660883,-0.028470794271862415,-0.024709705394317046,0.32653336026391977,0.32128147512287075,0.3316501716824884,0.36400053861172826,0.30946610112435197,0.14630844856904535,0.1420884848885823,0.150549863893317,0.058184706018344384,0.0,19400,21626,18386,9902
test,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,pooled,,,59412,0.30392420304183443,-0.07064245574594398,-0.07347383285762801,-0.06775912406126194,0.46884467784286005,0.46334073924459707,0.4743490372315357,0.3177304248300007,0.2134248973271393,0.21055085448993754,0.20609416250851606,0.21493660766849298,0.08835537802824527,0.0,27855,18877,12680,9902
test,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,pooled,,,59412,0.37528073591022143,0.0007140771224431483,0.00035636189037556356,0.001098980529692055,0.020551403756816803,0.019204874436140846,0.02191476469400121,0.0461691240826769,0.9332794721605063,0.04037481538427799,0.03312435254752003,0.048207392326580015,0.033438716581405674,0.0,1221,2743,55448,9902
test,DB15K,M-Hyper + NativE,Global,pooled,,,59412,0.37456665878777834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,59412,9902
test,DB15K,M-Hyper + NativE,Query-soft,pooled,,,59412,0.3656209502160275,-0.00894570857175086,-0.010505605404320655,-0.007337964182716901,0.29042954285329564,0.2853632262842523,0.29551269103884736,0.3661549855248098,0.34341547162189456,0.10780454652612624,0.1041143545381401,0.11157873615679144,0.06107773341194476,0.0,17255,21754,20403,9902
test,DB15K,M-Hyper + NativE,DynaSemble,pooled,,,59412,0.33342187314222804,-0.04114478564555039,-0.04347734443756759,-0.03876644002069516,0.4130983639668754,0.4076954150676631,0.4186195549720595,0.3133205413047869,0.2735810947283377,0.1689441785270391,0.1649074663035286,0.17313650255913626,0.09142642862292133,0.0,24543,18615,16254,9902
test,DB15K,M-Hyper + NativE,Anchored Dynamic,pooled,,,59412,0.37583807026233057,0.0012714114745521433,0.0007664909429031636,0.0017783887926513568,0.0973709015013802,0.09418972598128324,0.10050158217195179,0.22337238268363294,0.6792567158149869,0.034421176755794564,0.03136656424090684,0.03765983071512989,0.0206965267167782,0.0,5785,13271,40356,9902
test,MKG-W,M-Hyper + AdaMF-MAT,Global,pooled,,,25644,0.3597209394760817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,25644,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Query-soft,pooled,,,25644,0.35247038428663435,-0.007250555189447372,-0.009430616919356618,-0.005110392458074487,0.24017313991576977,0.23272500389954764,0.24762225081890502,0.4308610201216659,0.32896583996256434,0.11200868933465896,0.10563010231628164,0.1186017214085727,0.04560849672676044,0.0,6159,11049,8436,4274
test,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,pooled,,,25644,0.3104126803529269,-0.04930825912315485,-0.05350308966005116,-0.04518766607734999,0.3969349555451568,0.38812197785056934,0.4059429106223678,0.3762673529870535,0.22679769146778975,0.20040192010941876,0.1925089417196841,0.2082516814724937,0.08036378358789412,0.0,10179,9649,5816,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,pooled,,,25644,0.361705206590221,0.0019842671141391895,0.0013820914063837216,0.0026152623331488333,0.07303852753080643,0.06867103416003743,0.07732802994852597,0.24555451567618156,0.681406956793012,0.02429895742385057,0.01992437237817418,0.028972111277470684,0.015308320331881448,0.0,1873,6297,17474,4274
test,MKG-W,M-Hyper + NativE,Global,pooled,,,25644,0.3643047408866182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,25644,4274
test,MKG-W,M-Hyper + NativE,Query-soft,pooled,,,25644,0.37050570628233154,0.006200965395713356,0.005136763790810457,0.007297323213733311,0.1729839338636718,0.16651068476056777,0.17941818749025112,0.37521447512088596,0.4518015910154422,0.035085474972353946,0.031659710131654695,0.03871206867489731,0.032701800414158745,0.0,4436,9622,11586,4274
test,MKG-W,M-Hyper + NativE,DynaSemble,pooled,,,25644,0.34827474290012683,-0.01602999798649127,-0.01896705805987505,-0.013061671353971264,0.30771330525659024,0.2995632506629231,0.3158633598502574,0.3937373264701295,0.2985493682732803,0.14193361881682615,0.13504937945842668,0.14878860224026147,0.07021144079607736,0.0,7891,10097,7656,4274
test,MKG-W,M-Hyper + NativE,Anchored Dynamic,pooled,,,25644,0.3701763045939824,0.00587156370736428,0.0047175000508320715,0.007035597502059192,0.19989081266573078,0.19326158165652785,0.20652101856184682,0.33204648260801745,0.4680627047262518,0.03286054269543111,0.029678376719377814,0.03627064293098547,0.03746488802917551,0.0,5126,8515,12003,4274
