pair,label,split,seed,direction,intervention,harm,harm_active,benefit,unchanged,conditional_loss,conditional_gain,mean_loss,mean_gain,utility,severe_10,severe_10_active,severe_50,severe_50_active,top1_retention,top1_loss,top1_outside10,top1_active_retention,top1_active_loss,top1_active_outside10,new_top1,hits1_delta,n,active_n,harm_n,benefit_n,unchanged_n,loss_sum,gain_sum,delta_sum,severe_10_n,severe_50_n,top1_n,top1_retained_n,top1_lost_n,top1_outside10_n,active_top1_n,active_top1_retained_n,active_top1_lost_n,active_top1_outside10_n,new_top1_n,hits1_delta_sum,active_unchanged_n,inactive_n,loss_q50,loss_q90,loss_q95,loss_q99,loss_max,worst_tenth_harm_n,worst_tenth_loss_share
mkgw_mhyper_native,W-N,dev_oof,1,head,0.6632366697848456,0.17492984097287184,0.2637517630465444,0.34448082319925166,0.4805893358278765,0.023171675819136713,0.01456512851370934,0.004053417566116525,0.005017407460405486,0.0009639898942889724,0.008185219831618335,0.01234132581100141,0.004677268475210477,0.007052186177715092,0.9683042789223455,0.03169572107765452,0.0,0.9527186761229315,0.04728132387706856,0.0,0.005612722170252572,0.0009354536950420954,4276,2836,748,1473,2055,17.33241351271426,21.45443430069386,4.122020787979646,35,20,631,611,20,0,423,403,20,0,24,4.0,615,1440,0.00048392184211814226,0.02941017316017339,0.08703449328449327,0.5,0.8333333333333334,75,0.9150149364820738
mkgw_mhyper_native,W-N,dev_oof,1,tail,0.5848924228250701,0.11903648269410665,0.2035185925629748,0.0558933582787652,0.8250701590271281,0.049517846191842685,0.1485573723250933,0.0058944302412647165,0.008303370436318359,0.002408940195053636,0.012862488306828812,0.021991203518592562,0.008185219831618335,0.013994402239104359,0.9814912744579588,0.01850872554204125,0.0,0.9766977363515313,0.02330226364846871,0.0,0.014499532273152479,0.006314312441534144,4276,2501,509,239,3528,25.204583711647928,35.5052119856973,10.300628274049348,55,35,1891,1856,35,0,1502,1467,35,0,62,27.0,1753,1775,0.0021428571428571443,0.14444444444444413,0.5,0.5,0.75,51,0.8334651782974984
mkgw_mhyper_native,W-N,dev_oof,2,head,0.6166978484565014,0.16323666978484566,0.2646947288585514,0.31711880261927033,0.519644527595884,0.016331318305529998,0.01144161706020513,0.002665870013391005,0.003628351902160467,0.0009624818887694628,0.006314312441534144,0.010238907849829351,0.002104770813844715,0.0034129692832764505,0.9849246231155779,0.01507537688442211,0.0,0.976,0.024,0.0,0.004443405051449953,0.0023386342376052385,4276,2637,698,1356,2222,11.399260177259938,15.514832733638157,4.115572556378223,27,9,597,588,9,0,375,366,9,0,19,10.0,583,1639,0.0004561845883951955,0.01785714285714285,0.07689393939393921,0.5,0.6666666666666667,70,0.9055927061530886
mkgw_mhyper_native,W-N,dev_oof,2,tail,0.6868568755846586,0.15411599625818523,0.22437861763704461,0.06407857811038353,0.7818054256314313,0.04876713709043213,0.1799551095381051,0.007515795917351444,0.011531267542900092,0.00401547162554865,0.015902712815715623,0.023152877085461356,0.009588400374181478,0.013959822948586994,0.9780982905982906,0.0219017094017094,0.0,0.975316074653823,0.024683925346177003,0.0,0.020112254443405052,0.010523854069223574,4276,2937,659,274,3343,32.137543342594775,49.307700013440794,17.170156670846026,68,41,1872,1831,41,0,1661,1620,41,0,86,45.0,2004,1339,0.003030303030303029,0.11833333333333372,0.5,0.5,0.6666666666666667,66,0.8062443980082482
mkgw_mhyper_native,W-N,dev_oof,3,head,0.6604303086997194,0.17118802619270346,0.25920679886685555,0.3521983161833489,0.47661365762394764,0.018908696640300617,0.014318244231542016,0.003236942455729666,0.005042861509051047,0.0018059190533213742,0.007249766136576239,0.010977337110481586,0.003274087932647334,0.004957507082152974,0.9775641025641025,0.022435897435897436,0.0,0.966824644549763,0.03317535545023697,0.0,0.004911131898971001,0.001637043966323667,4276,2824,732,1506,2038,13.841165940700051,21.563275812702276,7.722109872002196,31,14,624,610,14,0,422,408,14,0,21,7.0,586,1452,0.0005469568716984427,0.023809523809523808,0.08333333333333331,0.5,0.75,74,0.9038204350710328
mkgw_mhyper_native,W-N,dev_oof,3,tail,0.5853601496725912,0.1148269410664172,0.19616460247702758,0.07226379794200187,0.8129092609915809,0.04212180376200622,0.18131526750335358,0.004836717878191079,0.01310252985466236,0.00826581197647129,0.010523854069223574,0.01797842588893328,0.006314312441534144,0.010787055533359968,0.9853975121687398,0.014602487831260141,0.0,0.9817444219066938,0.018255578093306288,0.0,0.023854069223573433,0.017539756782039288,4276,2503,491,309,3476,20.681805647145055,56.02641765853625,35.34461201139124,45,27,1849,1822,27,0,1479,1452,27,0,102,75.0,1703,1773,0.0020445252158109942,0.08333333333333331,0.5,0.5,0.5,50,0.8387097355992335
mkgw_mhyper_native,W-N,test,1,head,0.6731399157697707,0.18062704726251755,0.2683350712547793,0.34464202152550305,0.4747309312119794,0.02733081000705593,0.018404031457818746,0.004936683510867379,0.006342802605841603,0.0014061190949742266,0.01169864295741694,0.01737921445950643,0.0053813757604117924,0.007994438651372959,0.9614093959731543,0.03859060402684564,0.0,0.9434889434889435,0.056511056511056514,0.0,0.00772110435189518,0.002339728591483388,4274,2877,772,1473,2029,21.099385325447177,27.109138337367014,6.009753011919845,50,23,596,573,23,0,407,384,23,0,33,10.0,632,1397,0.0005941198795697165,0.04999999999999999,0.16666666666666669,0.5,0.6666666666666667,78,0.8896152627582493
mkgw_mhyper_native,W-N,test,1,tail,0.5662143191389799,0.09967243799719233,0.17603305785123968,0.05170800187178287,0.8486195601310248,0.06280321435854233,0.16491430158682557,0.006259749489176189,0.008527389015135342,0.002267639525959155,0.01333645297145531,0.023553719008264463,0.009124941506785214,0.016115702479338842,0.9802231237322515,0.01977687626774848,0.0,0.9744597249508841,0.025540275049115914,0.0,0.014974262985493684,0.00584932147870847,4274,2420,426,221,3627,26.754169316739034,36.44606065068845,9.691891333949428,57,39,1972,1933,39,0,1527,1488,39,0,64,25.0,1773,1854,0.0029271897692950324,0.25,0.5,0.5,0.8,43,0.7998591489132216
mkgw_mhyper_native,W-N,test,2,head,0.6312587739822181,0.1832007487131493,0.29021497405485547,0.31118390266729057,0.5056153486195601,0.0176458059067078,0.01690461610832856,0.0032327248537557807,0.005260444413682027,0.0020277195599262437,0.00772110435189518,0.01223128243143069,0.0030416471689284044,0.004818383988139363,0.9778156996587031,0.02218430034129693,0.0,0.9638888888888889,0.03611111111111111,0.0,0.006083294337856809,0.0030416471689284044,4274,2698,783,1330,2161,13.816666024952207,22.483139424076985,8.666473399124765,33,13,586,573,13,0,360,347,13,0,26,13.0,585,1576,0.00043500676677192757,0.01785714285714285,0.08333333333333331,0.5,0.75,79,0.9156225669726631
mkgw_mhyper_native,W-N,test,2,tail,0.6944314459522696,0.1495086569957885,0.2152964959568733,0.06317267197005147,0.7873186710341601,0.05529511812599518,0.18448203734632287,0.00826709884944102,0.01165422322964604,0.003387124380205047,0.018249883013570427,0.02628032345013477,0.010996724379971923,0.015835579514824796,0.9757607013924704,0.024239298607529654,0.0005157297576070139,0.9726107226107226,0.027389277389277388,0.0005827505827505828,0.020121665886757137,0.009124941506785214,4274,2968,639,270,3365,35.33358048251092,49.810150083507175,14.476569600996372,78,47,1939,1892,47,1,1716,1669,47,1,86,39.0,2059,1306,0.003101736972704716,0.16666666666666669,0.5,0.5,0.9285714285714286,64,0.7845969377867318
