pair,label,split,intervention,harm,harm_active,benefit,unchanged,conditional_loss,conditional_gain,mean_loss,mean_gain,utility,severe_10,severe_10_active,severe_50,severe_50_active,top1_retention,top1_loss,top1_outside10,top1_active_retention,top1_active_loss,top1_active_outside10,new_top1,hits1_delta,n,active_n,harm_n,benefit_n,unchanged_n,loss_sum,gain_sum,delta_sum,severe_10_n,severe_50_n,top1_n,top1_retained_n,top1_lost_n,top1_outside10_n,active_top1_n,active_top1_retained_n,active_top1_lost_n,active_top1_outside10_n,new_top1_n,hits1_delta_sum,active_unchanged_n,inactive_n,loss_q50,loss_q90,loss_q95,loss_q99,loss_max,worst_tenth_harm_n,worst_tenth_loss_share,full_triples,active_triples,harmful_triples,beneficial_triples,top1_triples,active_top1_triples,intervention_lo,intervention_hi,intervention_valid_replicates,harm_lo,harm_hi,harm_valid_replicates,harm_active_lo,harm_active_hi,harm_active_valid_replicates,benefit_lo,benefit_hi,benefit_valid_replicates,unchanged_lo,unchanged_hi,unchanged_valid_replicates,conditional_loss_lo,conditional_loss_hi,conditional_loss_valid_replicates,conditional_gain_lo,conditional_gain_hi,conditional_gain_valid_replicates,mean_loss_lo,mean_loss_hi,mean_loss_valid_replicates,mean_gain_lo,mean_gain_hi,mean_gain_valid_replicates,utility_lo,utility_hi,utility_valid_replicates,severe_10_lo,severe_10_hi,severe_10_valid_replicates,severe_10_active_lo,severe_10_active_hi,severe_10_active_valid_replicates,severe_50_lo,severe_50_hi,severe_50_valid_replicates,severe_50_active_lo,severe_50_active_hi,severe_50_active_valid_replicates,top1_retention_lo,top1_retention_hi,top1_retention_valid_replicates,top1_loss_lo,top1_loss_hi,top1_loss_valid_replicates,top1_outside10_lo,top1_outside10_hi,top1_outside10_valid_replicates,top1_active_retention_lo,top1_active_retention_hi,top1_active_retention_valid_replicates,top1_active_loss_lo,top1_active_loss_hi,top1_active_loss_valid_replicates,top1_active_outside10_lo,top1_active_outside10_hi,top1_active_outside10_valid_replicates,new_top1_lo,new_top1_hi,new_top1_valid_replicates,hits1_delta_lo,hits1_delta_hi,hits1_delta_valid_replicates,bootstrap_seed,bootstrap_replicates,cluster_order_sha256,quantile,rng
mkgw_mhyper_native,W-N,dev_oof,0.6329123791705644,0.149555659494855,0.236297573592807,0.20100561272217024,0.6494387277829747,0.031429964120944,0.0386604367858655,0.004700529012007412,0.0077709647842496244,0.003070435772242238,0.010173058933582788,0.01607340805517921,0.005690676644839414,0.00899125508067496,0.9804394426580921,0.019560557341907824,0.0,0.975093824633231,0.02490617536676902,0.0,0.012238852510134082,0.006548175865294668,25656,16238,3837,5157,16662,120.59677233206214,199.37187250470836,78.77510017264686,261,146,7464,7318,146,0,5862,5716,146,0,314,168.0,7244,9418,0.0009881422924901198,0.04999999999999999,0.16666666666666669,0.5,0.8333333333333334,384,0.8795321994403326,4276,4036,1908,2383,2188,1888,0.6241035235422513,0.6420720299345183,10000,0.14339725600249453,0.15571406298721546,10000,0.2272698076027753,0.2455376193203145,10000,0.19445743685687558,0.20755378858746493,10000,0.6406688493919551,0.657896788275647,10000,0.027845406753844837,0.03527387545866008,10000,0.03492300645684796,0.0425603351220087,10000,0.004154950816966191,0.005280256133887484,10000,0.0070273781497098885,0.008557554759681795,10000,0.002135516331191386,0.004011119032112089,10000,0.008847832865606486,0.01153726223885251,10000,0.013988133408400738,0.01823525462801571,10000,0.004794200187090739,0.00666510757717493,10000,0.007542942145591671,0.010507587791043516,10000,0.9771652451174778,0.9835517737996369,10000,0.01644822620036317,0.022834754882522252,10000,0.0,0.0,10000,0.970941280125226,0.9790594745115837,10000,0.020940525488416316,0.029058719874774024,10000,0.0,0.0,10000,0.01087464920486436,0.013681010289990645,10000,0.004911131898971001,0.008224197068911756,10000,2026091214,10000,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,linear,PCG64
mkgw_mhyper_native,W-N,test,0.6332865387615036,0.15149742629854937,0.23922413793103448,0.1941974730931212,0.6543051006083295,0.036060943027484735,0.04073064701196682,0.005463140058562557,0.007909788727171845,0.002446648668609311,0.01232257058181251,0.019458128078817735,0.006824208391826548,0.010775862068965518,0.9769888231426693,0.023011176857330704,0.00013149243918474687,0.9703891708967851,0.02961082910321489,0.00016920473773265651,0.01220558415223834,0.0053813757604117924,25644,16240,3885,4980,16779,140.0967636617782,202.83862211959476,62.74185845781717,316,175,7605,7430,175,1,5910,5735,175,1,313,138.0,7375,9404,0.0010635915808329599,0.07500000000000001,0.25,0.5,0.9285714285714286,389,0.8764856609812112,4274,4038,1955,2347,2254,1945,0.6240436359382312,0.6423724847917641,10000,0.1453361410076431,0.15769770706598035,10000,0.22993976676589284,0.24870145102255467,10000,0.1878022149430666,0.20055373576665106,10000,0.6457260957728903,0.662806114490719,10000,0.032026421925511334,0.04022119218478532,10000,0.036678380945155076,0.044795952727075226,10000,0.004841937271746567,0.0061022800133478045,10000,0.007132903817347327,0.008692648512010364,10000,0.001461187840696215,0.0034336048610435323,10000,0.010801746997348307,0.013882389642801436,10000,0.017078101503802262,0.021898985826304125,10000,0.005771330525659024,0.007916081734518797,10000,0.009117606600204366,0.012491455907386182,10000,0.973386827668769,0.9804763975907594,10000,0.019523602409240563,0.026613172331231012,10000,0.0,0.00040241448692152917,10000,0.9657222805176635,0.9749247868147785,10000,0.025075213185221556,0.03427771948233648,10000,0.0,0.0005195794930840994,10000,0.010762751520823585,0.013648416783653096,10000,0.003587583840274528,0.007175167680549056,10000,2026091212,10000,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,linear,PCG64
mkgw_mhyper_adamf,W-A,dev_oof,0.19480823199251637,0.03745712503897724,0.19227691076430573,0.1312363579669473,0.8313065169940754,0.03940464023169506,0.02042026675833976,0.0014759845362745147,0.002679881438078031,0.0012038969018035284,0.003274087932647334,0.01680672268907563,0.0021437480511381354,0.011004401760704281,0.9928348097967692,0.00716519020323085,0.0,0.84593837535014,0.15406162464985995,0.0,0.0022217025257249765,7.795447458684128e-05,25656,4998,961,3367,21328,37.867859262658946,68.75503817532997,30.887178912671327,84,55,7676,7621,55,0,357,302,55,0,57,2.0,670,20658,0.000674252001685631,0.08333333333333331,0.5,0.5,0.75,97,0.9151431306909888,4276,2199,677,1702,2157,241,0.1880651699407546,0.20170817742438416,10000,0.03457280947926411,0.040420369504209526,10000,0.17895383543925977,0.2056680201783735,10000,0.12574056750857499,0.13700498908637357,10000,0.8247583411287808,0.8376598066729031,10000,0.03053443453663034,0.049119617041745195,10000,0.016660291718237692,0.024374875859684696,10000,0.0011298877983001226,0.001857153178233125,10000,0.002181454265212937,0.003215867756610648,10000,0.0005969163576633409,0.0018103488928585488,10000,0.002494543186778921,0.004131587153102588,10000,0.012795551234987195,0.021073722291826233,10000,0.001520112254443405,0.002806361085126286,10000,0.007831809513403986,0.014439735212841778,10000,0.9905802051549196,0.9949152873756207,10000,0.005084712624379208,0.009419794845080471,10000,0.0,0.0,10000,0.8042158844254302,0.885542579035488,10000,0.11445742096451199,0.1957841155745698,10000,0.0,0.0,10000,0.0015980667290302463,0.0028843155597131276,10000,-0.0007795447458684129,0.0009354536950420954,10000,2026091214,10000,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,linear,PCG64
mkgw_mhyper_adamf,W-A,test,0.20293245983465918,0.03618780221494307,0.17832436587240585,0.1380439868975199,0.825768210887537,0.0393793546344427,0.017668019910403315,0.001425052296863314,0.002438963909016836,0.0010139116121535264,0.0030416471689284044,0.01498847040737894,0.0021447512088597722,0.010568793235972328,0.9928986442866365,0.0071013557133634605,0.0,0.8517520215633423,0.14824797843665768,0.0,0.0019887693027608798,-0.00015598190609889253,25644,5204,928,3540,21176,36.544041100762826,62.544790482827736,26.00074938206503,78,55,7745,7690,55,0,371,316,55,0,51,-4.0,736,20440,0.0007040851319773936,0.05603174603174614,0.5,0.5,0.6666666666666667,93,0.9046855770468363,4274,2285,666,1747,2257,264,0.19606925596630792,0.20991362501949773,10000,0.03330213695211356,0.039190453907346746,10000,0.16557009773186893,0.19124991814174802,10000,0.13219466541881142,0.14404929028232724,10000,0.8190219934487599,0.832241459990641,10000,0.03128879324628916,0.048237381043190905,10000,0.01466930544290195,0.020959677001559526,10000,0.0011194728674209806,0.001745759961533896,10000,0.0020140075329433452,0.0029083670987556424,10000,0.0005129399947242459,0.0015494883388971017,10000,0.002378724068008111,0.003743565746373421,10000,0.011659472692245963,0.018501290371942092,10000,0.0015598190609889253,0.0027686788332553424,10000,0.007759452249016301,0.01353966132651543,10000,0.9908822003147508,0.9947944423378263,10000,0.0052055576621736245,0.009117799685249256,10000,0.0,0.0,10000,0.8153409090909091,0.8873239436619719,10000,0.11267605633802817,0.1846590909090909,10000,0.0,0.0,10000,0.0014038371548900327,0.002651692403681173,10000,-0.0009748869131180783,0.0006629231009202932,10000,2026091212,10000,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,linear,PCG64
db15k_mhyper_native,D-N,dev_oof,0.10113186905663553,0.01647311285029033,0.16288745579363428,0.04058318606412522,0.9429437010855845,0.03106052726238385,0.012390460353431344,0.0005116635707827686,0.000502844357943471,-8.8192128392981e-06,0.0011781536648994362,0.011649677553567713,0.0006942691239585963,0.006864988558352402,0.9977272727272727,0.0022727272727272726,0.0,0.9672943508424182,0.03270564915758176,0.0,0.0004838845409408399,-0.00021038458301775645,47532,4807,783,1929,44820,24.320392846446556,23.901198021769062,-0.41919482467751723,56,33,14520,14487,33,0,1009,976,33,0,23,-10.0,2095,42725,0.0003494060097833686,0.04999999999999999,0.16666666666666669,0.5,0.6666666666666667,79,0.9099751192623505,7922,2497,635,1286,4249,615,0.09726079272910881,0.10498190692586047,10000,0.015105613060674913,0.017861651098207525,10000,0.15079356825925044,0.17490376675939462,10000,0.03828999410923167,0.04283482706387275,10000,0.9400614322982412,0.9457628544980223,10000,0.02369296728618204,0.03940044757996768,10000,0.009695169132134748,0.015420721234214549,10000,0.0003860487011607897,0.0006491766029428127,10000,0.0003918545407985168,0.0006255822725911792,10000,-0.00018004868696573924,0.00016112307281420852,10000,0.0008625767903728015,0.0015147689977278464,10000,0.008626127623906243,0.014871642767428651,10000,0.0004628460826390642,0.0009677690818816798,10000,0.0045576491008011595,0.009483667017913594,10000,0.996865823039917,0.9984901775583837,10000,0.0015098224416162476,0.003134176960082973,10000,0.0,0.0,10000,0.9548076923076924,0.9781529294935452,10000,0.021847070506454815,0.04519230769230769,10000,0.0,0.0,10000,0.00029453841622485905,0.0006942691239585963,10000,-0.0005259614575443912,0.00010519229150887823,10000,2026091215,10000,d96c0198457b846f9053c44cd9b6bec6757454de2d4defcfe1b0261237c25a23,linear,PCG64
db15k_mhyper_native,D-N,test,0.07873830202652662,0.014239547566148253,0.18084651560495937,0.033983033730559484,0.9517774187032922,0.043362599857291226,0.01577965501492787,0.0006174638032597519,0.0005362405486288859,-8.122325463086748e-05,0.0014811822527435535,0.01881145788798632,0.0009089072914562715,0.011543394613082514,0.9969659512304754,0.003034048769524666,0.0,0.941747572815534,0.05825242718446602,0.0,0.000605938194304181,-0.0003029690971520905,59412,4678,846,2019,56547,36.68475947926838,31.859123475139373,-4.825636004129098,88,54,17798,17744,54,0,927,873,54,0,36,-18.0,1813,54734,0.0003679495664945787,0.16666666666666669,0.5,0.5,0.8,85,0.9009190865399437,9902,2977,706,1523,5156,662,0.07604524338517471,0.08154918198343769,10000,0.013162324109607488,0.015384097488722817,10000,0.1687194540455821,0.19353429915939802,10000,0.03224937723018919,0.03576718508045513,10000,0.9495893085571938,0.9538982023833569,10000,0.0346283349557608,0.052313812685882685,10000,0.01270289020227909,0.01910631850883247,10000,0.00048804750225463,0.0007513742502282091,10000,0.00043132434768715415,0.0006491192657629188,10000,-0.0002508844815181656,9.524360403858367e-05,10000,0.0011782131555914631,0.0018009829664040935,10000,0.014943910227629463,0.022785898538263114,10000,0.0006732646603379789,0.0011613815390830134,10000,0.008502226538515739,0.014662261371442945,10000,0.996144456260377,0.9977707425072551,10000,0.002229257492744852,0.003855543739623102,10000,0.0,0.0,10000,0.9263931213850117,0.9565724867724867,10000,0.043427513227513224,0.07360687861498834,10000,0.0,0.0,10000,0.0004207904127112368,0.0008247492089140242,10000,-0.0006227698108126305,1.683161650844947e-05,10000,2026091213,10000,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,linear,PCG64
db15k_mhyper_adamf,D-A,dev_oof,0.003639653286207187,0.0009256921652781284,0.2543352601156069,0.0020828073718757887,0.9969915004628461,0.13457015746291312,0.07730617141179666,0.00012457054044366273,0.00016101386370798347,3.644332326432075e-05,0.00025246149962130775,0.06936416184971098,0.00021038458301775645,0.057803468208092484,0.9993112947658402,0.0006887052341597796,0.0,0.6,0.4,0.0,0.00021038458301775645,0.0,47532,173,44,99,47389,5.921086928368177,7.65331096976787,1.732224041399694,12,10,14520,14510,10,0,25,15,10,0,10,0.0,30,47359,0.012588803637396982,0.5,0.5,0.5950000000000001,0.6666666666666667,5,0.4503677616841859,7922,107,39,69,4249,18,0.0028822687873432634,0.004460153159976437,10000,0.0006311537490532694,0.0012412690398047631,10000,0.1895424836601307,0.3233576963719619,10000,0.0015568459143313978,0.002671884204325507,10000,0.9962761928805857,0.9976436926702011,10000,0.07012100480393699,0.20539828960703832,10000,0.03400708234842118,0.12858293192777412,10000,5.774886249924606e-05,0.0002042224071565875,10000,6.486246387558725e-05,0.00028053697243509475,10000,-7.925355287732577e-05,0.00016492622217031277,10000,0.00010519229150887823,0.0004207691660355129,10000,0.03225806451612903,0.11399224536634554,10000,8.415383320710259e-05,0.000357653791130186,10000,0.023255813953488372,0.09826589595375723,10000,0.9988214884253185,0.9997255023732632,10000,0.0002744976267368656,0.0011785115746815195,10000,0.0,0.0,10000,0.38095238095238093,0.8,10000,0.2,0.6190476190476191,10000,0.0,0.0,10000,6.311537490532694e-05,0.0003997307077337373,10000,-0.00021038458301775645,0.00021038458301775645,10000,2026091215,10000,d96c0198457b846f9053c44cd9b6bec6757454de2d4defcfe1b0261237c25a23,linear,PCG64
db15k_mhyper_adamf,D-A,test,0.0044940416077560085,0.0009425705244731704,0.20973782771535582,0.002928701272470208,0.9961287282030566,0.05127641959475695,0.0887373640554569,4.833164171053641e-05,0.00025988523102486873,0.00021155358931433213,0.00010098969905069682,0.02247191011235955,6.732646603379788e-05,0.0149812734082397,0.9997752556467019,0.0002247443532981234,0.0,0.8260869565217391,0.17391304347826086,0.0,0.0002356426311182926,0.00016831616508449472,59412,267,56,174,59182,2.8714794973063893,15.440301345649502,12.5688218483431,6,4,17798,17794,4,0,23,19,4,0,14,10.0,37,59145,0.001172054537714942,0.10416666666666666,0.5,0.6125000000000007,0.75,6,0.8735334296087756,9902,156,46,107,5156,16,0.0037197872483673332,0.005318790816670033,10000,0.0006564330438295294,0.001245539621625261,10000,0.1554582060096766,0.26821657922651293,10000,0.002322763078166027,0.003568302699791288,10000,0.9953544738436679,0.9968524877129199,10000,0.016970169219726335,0.09784012126752344,10000,0.044780289674305314,0.1408234921397665,10000,1.5097058386111978e-05,9.137402957395778e-05,10000,0.0001247693675800016,0.0004246814775332935,10000,6.98016051129547e-05,0.00038175724698618653,10000,3.366323301689894e-05,0.00018514778159294418,10000,0.007116806743898438,0.041666666666666664,10000,1.683161650844947e-05,0.00013465293206759576,10000,0.0033783783783783786,0.031007751937984496,10000,0.999545348631779,0.9999446565941668,10000,5.534340583319497e-05,0.00045465136822095967,10000,0.0,0.0,10000,0.6428571428571429,0.9615384615384616,10000,0.038461538461538464,0.35714285714285715,10000,0.0,0.0,10000,6.732646603379788e-05,0.0004376220292196863,10000,0.0,0.00038712717969433783,10000,2026091213,10000,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,linear,PCG64
mkgw_native_adamf,W-NA,dev_oof,0.04010757717492984,0.009900218272528844,0.2468415937803693,0.01633146242594325,0.973768319301528,0.08817340725960729,0.062449741788565494,0.0008729359777026915,0.0010198956115298153,0.00014695963382712284,0.0020268163392578734,0.05053449951409135,0.0013252260679763018,0.03304178814382896,0.9946733510888297,0.005326648911170296,0.0,0.8589211618257261,0.14107883817427386,0.0,0.0012472715933894605,-7.795447458684128e-05,25656,1029,254,419,24983,22.396045443940253,26.16644180940894,3.7703963654686636,52,34,6383,6349,34,0,241,207,34,0,32,-2.0,356,24627,0.002926338806617939,0.5,0.5,0.5,0.75,26,0.5916223037306384,4276,537,184,258,2037,172,0.03663860305581541,0.0436155285313377,10000,0.008341128780792018,0.011459307764265668,10000,0.21588780288177856,0.27783784406842177,10000,0.014226691612098535,0.018553164951668227,10000,0.9708840037418148,0.9766136576239476,10000,0.06593425838211964,0.11267744763592451,10000,0.04719355502954831,0.07892165665697495,10000,0.000633842431918101,0.0011294884376339593,10000,0.0007577439729525924,0.0013038771467593357,10000,-0.0002138091341756291,0.0005133039213133791,10000,0.0014421577798565638,0.0026504521359526035,10000,0.036742383587708705,0.06517615462696666,10000,0.0008964764577486748,0.0017929529154973496,10000,0.02232525119109392,0.04440071756923421,10000,0.9927261559729881,0.9964352276977436,10000,0.003564772302256317,0.00727384402701192,10000,0.0,0.0,10000,0.8145161290322581,0.9013452914798207,10000,0.09865470852017937,0.18548387096774194,10000,0.0,0.0,10000,0.0008185219831618335,0.0017149984409105083,10000,-0.0007015902712815715,0.000545681322107889,10000,2026091214,10000,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,linear,PCG64
mkgw_native_adamf,W-NA,test,0.03610981126189362,0.009163936983309936,0.25377969762419006,0.0156761815629387,0.9751598814537513,0.09279438885062807,0.06310730160253865,0.0008503619318319138,0.0009892815178685283,0.0001389195860366133,0.0020277647792856027,0.056155507559395246,0.0012088597722664171,0.03347732181425486,0.9952256275989527,0.004774372401047282,0.0,0.8315217391304348,0.16847826086956522,0.0,0.0009748869131180783,-0.0002339728591483388,25644,926,235,402,25007,21.806681379897597,25.369135244220537,3.5624538643229116,52,31,6493,6462,31,0,184,153,31,0,25,-6.0,289,24718,0.004761904761904762,0.5,0.5,0.6666666666666667,0.6666666666666667,24,0.5885046472575004,4274,481,163,230,2131,135,0.03271720480424271,0.03958040867259398,10000,0.007682108875370457,0.01072375604429886,10000,0.21953829884072715,0.28802818698763694,10000,0.01357042583060365,0.01789892372484792,10000,0.9722352207143972,0.9779675557635314,10000,0.06909863773728986,0.11902187623752941,10000,0.04502323809526527,0.08329880545162498,10000,0.0006100260255035122,0.0011128433531796148,10000,0.0006955901204939145,0.001324780343087606,10000,-0.00025263626483185326,0.0005378371710991646,10000,0.001442832631414756,0.002651692403681173,10000,0.04064103617696954,0.0730408948290514,10000,0.0007799095304944627,0.0016768054905630947,10000,0.021929445152674074,0.046119620801763864,10000,0.9933920184863951,0.9969045637885463,10000,0.0030954362114536896,0.006607981513604805,10000,0.0,0.0,10000,0.7752775746293464,0.8839779005524862,10000,0.11602209944751381,0.22472242537065348,10000,0.0,0.0,10000,0.000584932147870847,0.0014038371548900327,10000,-0.0008189050070191858,0.00035095928872250817,10000,2026091212,10000,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,linear,PCG64
