pair,label,order,seed,direction,head_id,relation_id,tail_id,rank_global,rank_adc,rr_global,rr_adc,loss,alpha0,alpha_adc
mkgw_mhyper_native,W-N,1,2,tail,13257,89,12929,1,14,1.0,0.07142857142857142,0.9285714285714286,0.55,0.75
mkgw_mhyper_native,W-N,2,1,tail,13257,89,12929,1,5,1.0,0.2,0.8,0.55,0.7
mkgw_mhyper_native,W-N,3,2,head,5368,89,2650,1,4,1.0,0.25,0.75,0.55,0.7
mkgw_mhyper_adamf,W-A,1,1,head,1290,29,926,1,3,1.0,0.3333333333333333,0.6666666666666667,1.0,0.75
mkgw_mhyper_adamf,W-A,2,1,tail,152,29,8434,1,3,1.0,0.3333333333333333,0.6666666666666667,1.0,0.75
mkgw_mhyper_adamf,W-A,3,2,head,3103,15,76,1,3,1.0,0.3333333333333333,0.6666666666666667,1.0,0.85
db15k_mhyper_native,D-N,1,3,head,653,64,268,1,5,1.0,0.2,0.8,1.0,0.85
db15k_mhyper_native,D-N,2,2,head,8274,12,795,1,3,1.0,0.3333333333333333,0.6666666666666667,1.0,0.9
db15k_mhyper_native,D-N,3,3,head,83,0,205,1,3,1.0,0.3333333333333333,0.6666666666666667,1.0,0.9
db15k_mhyper_adamf,D-A,1,3,head,653,64,268,1,4,1.0,0.25,0.75,1.0,0.7
db15k_mhyper_adamf,D-A,2,2,tail,2673,64,2674,1,2,1.0,0.5,0.5,1.0,0.7
db15k_mhyper_adamf,D-A,3,3,head,255,0,4363,1,2,1.0,0.5,0.5,1.0,0.7
mkgw_native_adamf,W-NA,1,1,tail,14550,16,618,1,3,1.0,0.3333333333333333,0.6666666666666667,0.95,0.6
mkgw_native_adamf,W-NA,2,2,tail,14965,19,13913,1,3,1.0,0.3333333333333333,0.6666666666666667,0.95,0.75
mkgw_native_adamf,W-NA,3,3,head,961,32,14909,1,3,1.0,0.3333333333333333,0.6666666666666667,0.95,0.65
db15k_native_adamf,D-NA,1,1,head,918,156,916,1,2,1.0,0.5,0.5,1.0,0.9
db15k_native_adamf,D-NA,2,1,head,2959,76,2969,1,2,1.0,0.5,0.5,1.0,0.9
db15k_native_adamf,D-NA,3,1,head,3314,91,3048,1,2,1.0,0.5,0.5,1.0,0.9
