pair,label,comparator,seed,direction,n,delta
mkgw_mhyper_native,W-N,Primary,1,head,4274,0.010712889129866177
mkgw_mhyper_native,W-N,Primary,1,tail,4274,0.005731988419578093
mkgw_mhyper_native,W-N,Primary,2,head,4274,0.009561433430814847
mkgw_mhyper_native,W-N,Primary,2,tail,4274,0.0050187755101542535
mkgw_mhyper_native,W-N,Primary,3,head,4274,0.009012711891404448
mkgw_mhyper_native,W-N,Primary,3,tail,4274,0.004307192717237802
mkgw_mhyper_native,W-N,Secondary,1,head,4274,0.017810832144737845
mkgw_mhyper_native,W-N,Secondary,1,tail,4274,0.045903816947924975
mkgw_mhyper_native,W-N,Secondary,2,head,4274,0.0190686379843144
mkgw_mhyper_native,W-N,Secondary,2,tail,4274,0.03836925097110562
mkgw_mhyper_native,W-N,Secondary,3,head,4274,0.01199381717161986
mkgw_mhyper_native,W-N,Secondary,3,tail,4274,0.041304217712212495
mkgw_mhyper_native,W-N,Equal-z,1,head,4274,0.001318477842306609
mkgw_mhyper_native,W-N,Equal-z,1,tail,4274,0.003652192189598406
mkgw_mhyper_native,W-N,Equal-z,2,head,4274,0.0009731674224773433
mkgw_mhyper_native,W-N,Equal-z,2,tail,4274,0.002711961526358182
mkgw_mhyper_native,W-N,Equal-z,3,head,4274,-0.0007514527791875463
mkgw_mhyper_native,W-N,Equal-z,3,tail,4274,0.0049586540694232855
mkgw_mhyper_native,W-N,RRF,1,head,4274,0.014692066119379737
mkgw_mhyper_native,W-N,RRF,1,tail,4274,0.030713546098738213
mkgw_mhyper_native,W-N,RRF,2,head,4274,0.014443058315466337
mkgw_mhyper_native,W-N,RRF,2,tail,4274,0.02600477052384351
mkgw_mhyper_native,W-N,RRF,3,head,4274,0.011324135182508053
mkgw_mhyper_native,W-N,RRF,3,tail,4274,0.03221450323304418
mkgw_mhyper_native,W-N,Global,1,head,4274,0.0014061190949742257
mkgw_mhyper_native,W-N,Global,1,tail,4274,0.0022676395259591535
mkgw_mhyper_native,W-N,Global,2,head,4274,0.002027719559926242
mkgw_mhyper_native,W-N,Global,2,tail,4274,0.0033871243802050476
mkgw_mhyper_native,W-N,Global,3,head,4274,-8.40521325746657e-05
mkgw_mhyper_native,W-N,Global,3,tail,4274,0.005675341583165919
mkgw_mhyper_native,W-N,Relation,1,head,4274,-0.0048746917434217074
mkgw_mhyper_native,W-N,Relation,1,tail,4274,-0.0017136936128149178
mkgw_mhyper_native,W-N,Relation,2,head,4274,0.0013421521686149398
mkgw_mhyper_native,W-N,Relation,2,tail,4274,-0.004200518462906854
mkgw_mhyper_native,W-N,Relation,3,head,4274,-0.001527868343808275
mkgw_mhyper_native,W-N,Relation,3,tail,4274,0.00011765222822468751
mkgw_mhyper_native,W-N,Query-soft,1,head,4274,0.0002714694736498938
mkgw_mhyper_native,W-N,Query-soft,1,tail,4274,-4.57517492991899e-05
mkgw_mhyper_native,W-N,Query-soft,2,head,4274,0.0002325954346685234
mkgw_mhyper_native,W-N,Query-soft,2,tail,4274,0.0004987665854373496
mkgw_mhyper_native,W-N,Query-soft,3,head,4274,-0.0008620115273580781
mkgw_mhyper_native,W-N,Query-soft,3,tail,4274,0.0033180448610968037
mkgw_mhyper_native,W-N,Shrink,1,head,4274,0.0010857530374755791
mkgw_mhyper_native,W-N,Shrink,1,tail,4274,0.0007560005795284334
mkgw_mhyper_native,W-N,Shrink,2,head,4274,-0.0003307185227030684
mkgw_mhyper_native,W-N,Shrink,2,tail,4274,0.001318596415951011
mkgw_mhyper_native,W-N,Shrink,3,head,4274,-0.00021933088817914696
mkgw_mhyper_native,W-N,Shrink,3,tail,4274,0.0030918347177989777
mkgw_mhyper_native,W-N,Shrink-gate,1,head,4274,0.0010857530374755791
mkgw_mhyper_native,W-N,Shrink-gate,1,tail,4274,0.0007560005795284334
mkgw_mhyper_native,W-N,Shrink-gate,2,head,4274,-0.0003307185227030684
mkgw_mhyper_native,W-N,Shrink-gate,2,tail,4274,0.001318596415951011
mkgw_mhyper_native,W-N,Shrink-gate,3,head,4274,-0.00021933088817914696
mkgw_mhyper_native,W-N,Shrink-gate,3,tail,4274,0.0030918347177989777
mkgw_mhyper_native,W-N,Linear-p,1,head,4274,0.0009432128019468372
