dataset,fold,direction,heldout_answer_rows,heldout_unique_keys,shared_unique_keys,shared_answer_rows
mkgw,1,head,853,652,322,517
mkgw,1,tail,853,848,49,50
mkgw,2,head,860,646,285,487
mkgw,2,tail,860,855,44,45
mkgw,3,head,857,638,300,500
mkgw,3,tail,857,848,42,43
mkgw,4,head,859,641,319,522
mkgw,4,tail,859,857,42,42
mkgw,5,head,847,635,305,502
mkgw,5,tail,847,842,49,51
db15k,1,head,1580,1148,431,843
db15k,1,tail,1580,1559,165,169
db15k,2,head,1581,1134,440,857
db15k,2,tail,1581,1555,146,155
db15k,3,head,1586,1143,428,852
db15k,3,tail,1586,1555,170,177
db15k,4,head,1590,1118,416,861
db15k,4,tail,1590,1571,155,158
db15k,5,head,1585,1131,429,863
db15k,5,tail,1585,1568,158,161
