pair,label,split,method,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method,paired_lo,paired_hi,bootstrap_replicates,bootstrap_seed,random_expectation
mkgw_mhyper_native,W-N,dev_oof,ADC,25656,0.358820604171267,0.0030704357722422314,0.149555659494855,0.004700529012007402,0.6329123791705644,0.13114476145930776,0.0,0.0,0.0,2000,20260929,False
mkgw_mhyper_native,W-N,dev_oof,Random-I,25656,0.35799537374330526,0.0022452053442805022,0.16205008173540428,0.004664058108955245,0.6329123791705644,0.10661653897069484,0.0008252304279617317,0.0003994973898590414,0.0012660098859095766,2000,20260929,True
mkgw_mhyper_native,W-N,dev_oof,Head-first,25656,0.3578067656822192,0.002056597283194454,0.16148269410664173,0.004246460745053221,0.6329123791705644,0.10633380106018087,0.0010138384890477814,0.00036109049642850166,0.0016809500600313237,2000,20260929,False
mkgw_mhyper_native,W-N,dev_oof,Tail-first,25656,0.3585094130630007,0.002759244663976002,0.1599236046149049,0.005276089605492921,0.6329123791705644,0.10687753352042408,0.00031119110826622996,-0.00026564810818662676,0.0009283787652337038,2000,20260929,False
mkgw_mhyper_native,W-N,dev_oof,Low-A-gap,25656,0.35708119199223687,0.0013310235932121163,0.16978484565014032,0.004994548038014513,0.6329123791705644,0.08841596507639538,0.0017394121790301161,0.0010298574360847249,0.002497168306450958,2000,20260929,False
mkgw_mhyper_native,W-N,dev_oof,Gap-agree,25656,0.3589877536281663,0.0032375852291415632,0.16195042095416276,0.004107328359768389,0.6329123791705644,0.11326005612722169,-0.0001671494568993311,-0.0007721764034113674,0.00039883175226032867,2000,20260929,False
mkgw_mhyper_native,W-N,dev_oof,Random-shape,25656,0.35874990472128815,0.002999736322263399,0.15135490793067072,0.004749189238411024,0.6329123791705644,0.13114476145930776,7.069944997883305e-05,-0.00014044485819813805,0.0002759400229696013,2000,20260929,True
mkgw_mhyper_native,W-N,dev_oof,No-gate,25656,0.35887941100984194,0.0031292426108172175,0.22852354225132523,0.006739128573267753,0.8988540692235735,0.14814858122856253,-5.88068385749855e-05,-0.00054903456025537,0.00042674997412905154,2000,20260929,False
mkgw_mhyper_native,W-N,test,ADC,25644,0.3671117713259244,0.0024466486686093203,0.15149742629854937,0.005463140058562554,0.6332865387615036,0.12098346591795352,0.0,0.0,0.0,2000,20260930,False
mkgw_mhyper_native,W-N,test,Random-I,25644,0.3664456287767152,0.001780506119400156,0.1615615768704463,0.00523477066797888,0.6332865387615036,0.09932491749244786,0.0006661425492091657,0.00025894172983732924,0.001080514838378541,2000,20260930,True
mkgw_mhyper_native,W-N,test,Head-first,25644,0.36641126695968396,0.001746144302368902,0.16288410544376852,0.00484712811148945,0.6332865387615036,0.10017937919201372,0.0007005043662404167,7.844820807966712e-05,0.0012982860028982596,2000,20260930,False
mkgw_mhyper_native,W-N,test,Tail-first,25644,0.3667375505386676,0.0020724278813525118,0.1571127749181095,0.005652407619773488,0.6332865387615036,0.09821010762751521,0.0003742207872568094,-0.0002253232622671165,0.0010040624744599787,2000,20260930,False
mkgw_mhyper_native,W-N,test,Low-A-gap,25644,0.3654714609772064,0.000806338319891358,0.1638199968803619,0.005694237390637233,0.6332865387615036,0.08418148494774606,0.0016403103487179626,0.0009284882405971214,0.002361557294605477,2000,20260930,False
