pair,label,split,n,tau_min,tau_max,full_utility,no_gate_utility,paired_effect,paired_lo,paired_hi,full_interventions,no_gate_interventions,full_harm_rate,no_gate_harm_rate
mkgw_mhyper_native,W-N,dev_oof,25656,0.1,0.1,0.0030704357722422314,0.0031292426108172175,-5.88068385749855e-05,-0.00054903456025537,0.00042674997412905154,16238,23061,0.149555659494855,0.22852354225132523
mkgw_mhyper_native,W-N,test,25644,0.1,0.1,0.0024466486686093203,0.002436276204252291,1.0372464357029213e-05,-0.0004441474460289609,0.0004829775907248582,16240,22848,0.15149742629854937,0.22632974574949305
mkgw_mhyper_adamf,W-A,dev_oof,25656,0.1,0.1,0.0012038969018035228,0.0008054211096483177,0.0003984757921552057,0.00011696708436015683,0.0006906321730739306,4998,9966,0.03745712503897724,0.06633925787340193
mkgw_mhyper_adamf,W-A,test,25644,0.1,0.1,0.001013911612153524,0.0010464960385770253,-3.258442642350144e-05,-0.00033872867889953896,0.00026767829794496734,5204,10156,0.03618780221494307,0.06613632818593043
db15k_mhyper_native,D-N,dev_oof,47532,0.1,0.3,-8.819212839298039e-06,5.69242157046324e-05,-6.574342854393036e-05,-0.0003018299882680372,0.00017467957351510854,4807,16792,0.01647311285029033,0.05299587646217285
db15k_mhyper_native,D-N,test,59412,0.2,0.2,-8.12232546308676e-05,-0.00014714892820924416,6.592567357837644e-05,-0.00012028310017336082,0.00025962368727551087,4678,20143,0.014239547566148253,0.05325523463273413
db15k_mhyper_adamf,D-A,dev_oof,47532,0.3,0.3,3.644332326432074e-05,-0.002099700538249607,0.002136143861513938,0.0015806237936947939,0.002663424048101351,173,19200,0.0009256921652781284,0.07285618109904907
db15k_mhyper_adamf,D-A,test,59412,0.3,0.3,0.00021155358931433232,-0.0029890139034676054,0.003200567492781947,0.002659834952077576,0.0037594272391873896,267,25756,0.0009425705244731704,0.08560560156197401
mkgw_native_adamf,W-NA,dev_oof,25656,0.2,0.2,0.00014695963382712314,-0.003392786667478285,0.003539746301305394,0.0024233188013351743,0.004681136308052879,1029,19661,0.009900218272528844,0.21067196757093856
mkgw_native_adamf,W-NA,test,25644,0.2,0.2,0.00013891958603661343,-0.0032495873602875923,0.003388506946324212,0.0022621364617471736,0.004605439071201422,926,20282,0.009163936983309936,0.2172827951957573
db15k_native_adamf,D-NA,dev_oof,47532,0.1,0.1,3.0512798876784747e-05,-0.0010014751751757825,0.0010319879740525665,0.0007155305636187535,0.0013546232995344648,1829,12378,0.005007153075822604,0.03294622570058066
db15k_native_adamf,D-NA,test,59412,0.1,0.1,-1.487158520481653e-05,-0.0006633827850472061,0.0006485111998423869,0.0003638927235991642,0.0009365873630882313,2416,16872,0.005907897394465764,0.03758499966336767
