pair,label,split,method,partial_units,partial_strata,total_strata,replicates,eligible_units,seed,utility_expected,utility_random_lo,utility_random_hi,harm_rate_expected,harm_rate_random_lo,harm_rate_random_hi,mean_loss_expected,mean_loss_random_lo,mean_loss_random_hi
mkgw_mhyper_native,W-N,dev_oof,Random-I,19984,57,138,2000,20087,20260927,0.0022452053442805014,0.001793306857087864,0.002696801678350859,0.16205008173540084,0.15980667290302464,0.1642510523854069,0.004664058108955234,0.004384748707398051,0.004931550390253
mkgw_mhyper_native,W-N,dev_oof,Random-shape,3640,83,774,2000,20087,20261027,0.0029997363222633933,0.0027730129347154514,0.0032146814287683915,0.15135490793067027,0.15037418147801684,0.1524009978172747,0.004749189238411025,0.004604774618783446,0.004896199342846563
mkgw_mhyper_native,W-N,test,Random-I,17086,27,60,2000,17126,20260928,0.0017805061194001608,0.0013443469574086122,0.002213020347181399,0.16156157687044517,0.15945152862267978,0.16374298081422556,0.005234770667978888,0.004948159921517749,0.00551604937568086
mkgw_mhyper_native,W-N,test,Random-shape,3356,39,302,2000,17126,20261028,0.0023843121375877675,0.002172836294040687,0.0025961227755000966,0.15283479961151586,0.1518873810637966,0.1537591639369833,0.005409767947865855,0.005265697871779983,0.005546005688406364
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,7207,60,141,2000,7301,20260929,0.00045678240123471806,0.00016676631274706479,0.0007338507043007147,0.033788910858054085,0.03250604147178048,0.035001559089491735,0.0010122853624928176,0.0008317860096459373,0.0011926250009069378
mkgw_mhyper_adamf,W-A,dev_oof,Random-shape,2157,51,451,2000,7301,20261029,0.0011084572737450516,0.0009895325142933434,0.0012197989292930071,0.03734303966312379,0.03663860305581541,0.03808076083567197,0.0015503805287351684,0.00146327999069735,0.0016425635687622032
mkgw_mhyper_adamf,W-A,test,Random-I,5536,23,61,2000,5585,20260930,0.0006544842377153688,0.00041497081625417614,0.0009015594748556073,0.03465658122487227,0.033380127905163,0.03583684292622056,0.0010150578974647652,0.000856484258052081,0.0011866884811732792
mkgw_mhyper_adamf,W-A,test,Random-shape,1563,23,186,2000,5585,20261030,0.00108362544903933,0.0009659939007611399,0.0011997251704652418,0.03680367174254412,0.036148806738418346,0.03747465294025893,0.0013986386623230567,0.0013285507290353566,0.0014705411681101674
db15k_mhyper_native,D-N,dev_oof,Random-I,13916,49,99,2000,14197,20260931,4.185401847717845e-05,-6.332641076934395e-05,0.00014007868931484215,0.014800320473351909,0.014137843978793235,0.015505869729866192,0.0003820813775630697,0.000312013760895723,0.0004599983049669417
db15k_mhyper_native,D-N,dev_oof,Random-shape,4237,48,249,2000,14197,20261031,4.3325879166413115e-05,-1.4491186674037751e-05,0.00010340827956403673,0.01621427930058074,0.015820920642935287,0.016599343600100985,0.0004954940145664364,0.0004486090551894723,0.0005402437436527895
db15k_mhyper_native,D-N,test,Random-I,11751,31,76,2000,11882,20260932,-5.997603363717423e-05,-0.00017473464302323677,4.5306768863549355e-05,0.012265969817508483,0.011562899750892076,0.012960344711506092,0.0004149645228410705,0.00033020758489710905,0.0004989481287280332
db15k_mhyper_native,D-N,test,Random-shape,3061,24,153,2000,11882,20261032,-6.34683997619925e-05,-0.00011115559672901477,-9.981547729111852e-06,0.014227598886943466,0.013953410085504611,0.014492021813774994,0.0006044959590299518,0.0005644814218550021,0.0006382689147909771
db15k_mhyper_adamf,D-A,dev_oof,Random-I,15204,15,95,2000,16863,20260933,-2.3333707275248454e-05,-7.416734147430854e-05,2.3949312464770238e-05,0.0006028519245676139,0.0004207691660355129,0.0007994614154674746,4.928687309551823e-05,1.4866885158742232e-05,9.255801737465466e-05
db15k_mhyper_adamf,D-A,dev_oof,Random-shape,450,10,366,2000,16863,20261033,2.7451692263114202e-05,-1.0528971682418722e-06,5.9953186653055445e-05,0.0009193505410134161,0.0008410123706134815,0.001009845998485231,0.00011420465371595297,0.00010215194436990218,0.000135765797685731
db15k_mhyper_adamf,D-A,test,Random-I,15554,6,79,2000,16977,20260934,-3.600771016344844e-05,-9.855665253264983e-05,1.9660983725123646e-05,0.0008109656919960777,0.0006227698108126305,0.0010267286070154177,7.933460486663235e-05,3.7764041918066525e-05,0.00013254664821837791
db15k_mhyper_adamf,D-A,test,Random-shape,125,2,266,2000,16977,20261034,0.00020950458875545854,0.0001950882355028444,0.0002122516668114638,0.0009331929095613203,0.0009089072914562715,0.0009425705244731704,4.822473584344761e-05,4.692900700149897e-05,4.833164171053643e-05
mkgw_native_adamf,W-NA,dev_oof,Random-I,16433,16,128,2000,17217,20260935,-0.00019164690987365834,-0.00043890002139091355,6.511110630496668e-05,0.010110284789656254,0.00908169628936701,0.011108512628624882,0.0006432177268647486,0.0004581145272537103,0.0008409967746634026
mkgw_native_adamf,W-NA,dev_oof,Random-shape,8223,45,376,2000,17217,20261035,7.073760250708998e-05,-4.9561913765272556e-05,0.00018554623683036863,0.010056892204897925,0.009627377611474898,0.010523854069223574,0.0008893322218827215,0.0008107089154701022,0.0009821809347242629
mkgw_native_adamf,W-NA,test,Random-I,14589,6,61,2000,15307,20260936,-0.00017632548367718415,-0.00046436580295403383,0.00010031511265198715,0.008202919792482976,0.007252183746685384,0.009163936983309936,0.000701418468219393,0.0005151534033015047,0.0009176133368767795
mkgw_native_adamf,W-NA,test,Random-shape,6514,13,169,2000,15307,20261036,0.0001772884398055323,1.4662708995815073e-05,0.00034162516477495027,0.009267039693054396,0.008773982218062705,0.009748869131180784,0.0008364445090687288,0.0007241776246710374,0.0009535776737906918
db15k_native_adamf,D-NA,dev_oof,Random-I,11511,24,81,2000,11596,20260937,-0.00014873389146925103,-0.0002706196676968927,-3.5108949280869125e-05,0.0042550817401876976,0.0037658840360178408,0.00473365311789952,0.0003786629200607545,0.000287543754786004,0.00047990400917456716
db15k_native_adamf,D-NA,dev_oof,Random-shape,3986,31,184,2000,11596,20261037,-4.024016339517562e-05,-0.0001286475631613784,5.299615722535522e-05,0.005003853023631566,0.004649499284692418,0.005343768408651014,0.0004528283145994651,0.00037573154100435435,0.0005284988136437586
db15k_native_adamf,D-NA,test,Random-I,14950,10,32,2000,14981,20260938,-9.246711350347011e-05,-0.00021185815663469617,1.8532503253847457e-05,0.004370634407414079,0.003921766646468727,0.004813842321416549,0.0003694912886841044,0.0002773831984536459,0.0004658779121977482
db15k_native_adamf,D-NA,test,Random-shape,3452,15,100,2000,14981,20261038,-2.864125487515401e-05,-0.0001149336555196359,5.5288394225967304e-05,0.005951594111826844,0.0056217599138221235,0.0062617821315559125,0.0004635721836474727,0.0003968873485438979,0.0005287939472896899
