pair,label,split,method,seed,direction,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method
mkgw_mhyper_native,W-N,dev_oof,ADC,1,head,4276,0.19498388970062794,0.0009639898942889716,0.17492984097287184,0.0040534175661165175,0.6632366697848456,0.14184985968194577,0.0
mkgw_mhyper_native,W-N,dev_oof,ADC,1,tail,4276,0.522656832358136,0.002408940195053637,0.11903648269410665,0.005894430241264716,0.5848924228250701,0.12124649204864357,0.0
mkgw_mhyper_native,W-N,dev_oof,ADC,2,head,4276,0.1915945345021764,0.0009624818887694626,0.16323666978484566,0.0026658700133910048,0.6166978484565014,0.11555191768007485,0.0
mkgw_mhyper_native,W-N,dev_oof,ADC,2,tail,4276,0.5238189776991251,0.004015471625548653,0.15411599625818523,0.007515795917351439,0.6868568755846586,0.1476379794200187,0.0
mkgw_mhyper_native,W-N,dev_oof,ADC,3,head,4276,0.19702399537346318,0.001805919053321375,0.17118802619270346,0.0032369424557296632,0.6604303086997194,0.13971000935453695,0.0
mkgw_mhyper_native,W-N,dev_oof,ADC,3,tail,4276,0.5228453953940734,0.008265811976471292,0.1148269410664172,0.004836717878191075,0.5853601496725912,0.12087231057062674,0.0
mkgw_mhyper_native,W-N,dev_oof,Random-I,1,head,4276,0.19442171283443435,0.00040181302809538517,0.1792209940284734,0.003870814218448871,0.6442112881510801,0.1167956571167693,0.0005621768661935865
mkgw_mhyper_native,W-N,dev_oof,Random-I,1,tail,4276,0.5218626751388457,0.001614782975763387,0.13610751692976997,0.006212184579722316,0.6039178044588359,0.0966598025692349,0.0007941572192902499
mkgw_mhyper_native,W-N,dev_oof,Random-I,2,head,4276,0.19169771099202068,0.0010656583786137562,0.17554009531209752,0.0029616900417339547,0.635744192287717,0.0981991552116311,-0.0001031764898442936
mkgw_mhyper_native,W-N,dev_oof,Random-I,2,tail,4276,0.5220076289130147,0.002204122839438151,0.17903130877530576,0.007288651092664959,0.6678105317534431,0.11722143859808945,0.0018113487861105009
mkgw_mhyper_native,W-N,dev_oof,Random-I,3,head,4276,0.19701130409114528,0.0017932277710034682,0.17267299409459483,0.003087956602342412,0.6410138075314105,0.11458984557692592,1.2691282317907046e-05
mkgw_mhyper_native,W-N,dev_oof,Random-I,3,tail,4276,0.520971210490371,0.006391627072768865,0.1297275812721841,0.004563052118818956,0.6047766508409003,0.09623333475151828,0.0018741849037024287
mkgw_mhyper_native,W-N,dev_oof,Head-first,1,head,4276,0.19406595074666222,4.6050940323253576e-05,0.22801683816651075,0.005486343934151836,0.8381665107577175,0.14927502338634235,0.0009179389539657181
mkgw_mhyper_native,W-N,dev_oof,Head-first,1,tail,4276,0.5211244880814329,0.0008765959183505253,0.08933582787652011,0.003943265889272758,0.4099625818521983,0.06573900841908326,0.001532344276703111
mkgw_mhyper_native,W-N,dev_oof,Head-first,2,head,4276,0.19189120164972578,0.0012591490363188403,0.22217025257249767,0.0037576325005635367,0.8140785781103835,0.12564312441534145,-0.00029666714754937747
mkgw_mhyper_native,W-N,dev_oof,Head-first,2,tail,4276,0.5216946821375462,0.0018911760639697,0.12418147801683817,0.005322883534657423,0.48947614593077643,0.08505612722170251,0.002124295561578952
mkgw_mhyper_native,W-N,dev_oof,Head-first,3,head,4276,0.1974365816418048,0.002218505321662996,0.21913002806361084,0.004257469725697514,0.8332553788587465,0.14736903648269412,-0.0004125862683416213
mkgw_mhyper_native,W-N,dev_oof,Head-first,3,tail,4276,0.5206276898361435,0.006048106418541407,0.08606173994387278,0.0027111688859762584,0.41253507951356405,0.06492048643592141,0.002217705557929886
mkgw_mhyper_native,W-N,dev_oof,Tail-first,1,head,4276,0.19437066545908674,0.0003507656527477818,0.11295603367633301,0.0022037524362513512,0.37652011225444343,0.07185453695042096,0.0006132242415411901
mkgw_mhyper_native,W-N,dev_oof,Tail-first,1,tail,4276,0.5225947233154142,0.0023468311523318734,0.19644527595884004,0.008960514601692664,0.8716089803554724,0.13949953227315248,6.210904272176318e-05
mkgw_mhyper_native,W-N,dev_oof,Tail-first,2,head,4276,0.1906608755071522,2.8822893745244336e-05,0.10664172123479888,0.001942690376357592,0.36810102899906455,0.05700420954162769,0.0009336589950242182
mkgw_mhyper_native,W-N,dev_oof,Tail-first,2,tail,4276,0.5228722087297909,0.0030687026562144287,0.25116931711880264,0.01018807469660634,0.9354536950420954,0.1641019644527596,0.0009467689693342233
mkgw_mhyper_native,W-N,dev_oof,Tail-first,3,head,4276,0.196623135790191,0.0014050594700491905,0.10430308699719364,0.0017893013571137761,0.3692703461178672,0.06935219831618335,0.0004008595832721845
mkgw_mhyper_native,W-N,dev_oof,Tail-first,3,tail,4276,0.5239348695763696,0.009355286158767493,0.1880261927034612,0.006572204164935802,0.8765201122544434,0.13945275958840037,-0.0010894741822962003
mkgw_mhyper_native,W-N,dev_oof,Low-A-gap,1,head,4276,0.1944006556713134,0.0003807558649744333,0.205799812909261,0.0047994578769688,0.7467259120673526,0.12880028063610852,0.0005832340293145381
mkgw_mhyper_native,W-N,dev_oof,Low-A-gap,1,tail,4276,0.5207943724666556,0.0005464803035732794,0.12488306828811974,0.0062539056234801335,0.5014031805425632,0.05104069223573432,0.0018624598914803573
mkgw_mhyper_native,W-N,dev_oof,Low-A-gap,2,head,4276,0.19169683368901325,0.0010647810756063234,0.19714686623012162,0.0033767390119866874,0.7289522918615529,0.10369504209541627,-0.00010229918683686087
mkgw_mhyper_native,W-N,dev_oof,Low-A-gap,2,tail,4276,0.5203113696876039,0.0005078636140273961,0.17773620205799812,0.007428347274688388,0.5746024321796072,0.06935219831618333,0.003507608011521256
mkgw_mhyper_native,W-N,dev_oof,Low-A-gap,3,head,4276,0.1966830875342374,0.0014650112140955828,0.19784845650140317,0.003919264038852574,0.7462581852198317,0.12680074836295605,0.00034090783922579194
mkgw_mhyper_native,W-N,dev_oof,Low-A-gap,3,tail,4276,0.5186008329045978,0.004021249486995683,0.11529466791393826,0.004189574402110495,0.49953227315247895,0.0508068288119738,0.0042445624894756106
mkgw_mhyper_native,W-N,dev_oof,Gap-agree,1,head,4276,0.19416942485227148,0.00014952504593251042,0.15926099158091675,0.002973361764664318,0.5306361085126287,0.09956735266604302,0.0008144648483564611
mkgw_mhyper_native,W-N,dev_oof,Gap-agree,1,tail,4276,0.5230391845699471,0.0027912924068648134,0.161599625818522,0.006283714320437155,0.7174929840972872,0.12448550046772684,-0.00038235221181117735
mkgw_mhyper_native,W-N,dev_oof,Gap-agree,2,head,4276,0.19203723447946253,0.0014051818660555811,0.15645463049579045,0.002279419365177294,0.5306361085126287,0.08707904583723104,-0.0004426999772861186
mkgw_mhyper_native,W-N,dev_oof,Gap-agree,2,tail,4276,0.5238082572865773,0.0040047512130008565,0.19457436856875585,0.006279751690718806,0.7729186155285314,0.14548643592142188,1.0720412547795608e-05
mkgw_mhyper_native,W-N,dev_oof,Gap-agree,3,head,4276,0.19717724627643438,0.0019591699562925688,0.15458372310570626,0.002567428876073876,0.5444340505144996,0.10001169317118803,-0.00015325090297119384
mkgw_mhyper_native,W-N,dev_oof,Gap-agree,3,tail,4276,0.5236951743043051,0.009115590886703046,0.14522918615528532,0.00426029414153888,0.7013564078578111,0.12293030869971933,-0.0008497789102317535
mkgw_mhyper_native,W-N,dev_oof,Random-shape,1,head,4276,0.19504318358571365,0.001023283779374699,0.1748766877262857,0.003958878008448696,0.6632366697848456,0.14184985968194577,-5.92938850857276e-05
