split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
dev,pair,MKG-W,M-Hyper + NativE,head,0.0,0,0.19332775521909837,0.0,0.0,0.0,,0.0,0.0,12828,0,0,0,0,0,12828,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.0,0,0.519384359724286,0.0,0.0,0.0,,0.0,0.0,12828,0,0,0,0,0,12828,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.0,0,0.1891354783297105,0.0,0.0,0.0,,0.0,0.0,12828,0,0,0,0,0,12828,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.0,0,0.5165084524038295,0.0,0.0,0.0,,0.0,0.0,12828,0,0,0,0,0,12828,0
dev,pair,DB15K,M-Hyper + NativE,head,0.0,0,0.24351429823048043,0.0,0.0,0.0,,0.0,0.0,23766,0,0,0,0,0,23766,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.0,0,0.5216597278177378,0.0,0.0,0.0,,0.0,0.0,23766,0,0,0,0,0,23766,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.0,0,0.24351429823048043,0.0,0.0,0.0,,0.0,0.0,23766,0,0,0,0,0,23766,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.0,0,0.5216597278177378,0.0,0.0,0.0,,0.0,0.0,23766,0,0,0,0,0,23766,0
dev,pooled,Pooled,Pooled,head,0.0,0,0.22518664239295125,0.0,0.0,0.0,,0.0,0.0,73188,0,0,0,0,0,73188,0
dev,pooled,Pooled,Pooled,tail,0.0,0,0.5203580255863282,0.0,0.0,0.0,,0.0,0.0,73188,0,0,0,0,0,73188,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.1,10,0.19380866370825917,0.00048090848916078284,0.00023386342376052386,0.0012472715933894605,8.580965059707105e-05,0.03952291861552853,0.03952291861552853,12828,1283,507,507,3,16,12809,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.1,10,0.5221756588899906,0.0027912991657046446,0.0013252260679763018,0.006314312441534144,0.02168376947956788,0.1605082631743062,0.1605082631743062,12828,1283,2059,2059,17,81,12730,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.1,10,0.1891354783297105,0.0,0.0,0.0,,0.042874961022762705,0.0,12828,1283,550,0,0,0,12828,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.1,10,0.5165084524038295,0.0,0.0,0.0,,0.15715622076707203,0.0,12828,1283,2016,0,0,0,12828,0
dev,pair,DB15K,M-Hyper + NativE,head,0.1,10,0.24356985491446262,5.555668398221272e-05,4.2076916603551294e-05,0.00029453841622485905,0.0047619047619048005,0.08987629386518556,0.0003786922494319616,23766,2377,2136,9,1,7,23758,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.1,10,0.5216344816677757,-2.524614996213078e-05,4.2076916603551294e-05,4.2076916603551294e-05,0.6666666666666667,0.11011529075149373,8.415383320710259e-05,23766,2377,2617,2,1,1,23764,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.1,10,0.24358794278461476,7.36445541343338e-05,0.00033661533282841036,0.001009845998485231,0.0841551444318365,0.0816292182108895,0.0013464613313136414,23766,2377,1940,32,8,24,23734,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.1,10,0.5217504384522591,9.071063452125668e-05,0.0004207691660355129,0.0015147689977278464,0.12952959583312101,0.11836236640578979,0.002061768913574013,23766,2377,2813,49,10,36,23720,0
dev,pooled,Pooled,Pooled,head,0.1,10,0.2253128883721286,0.00012624597917735647,0.00016396130513198886,0.000642181778433623,0.05652170743069901,0.07013444827020823,0.007487566267694158,73188,7319,5133,548,12,47,73129,0
dev,pooled,Pooled,Pooled,tail,0.1,10,0.520868527507923,0.0005105019215949523,0.0003825763786413073,0.0016122861671312237,0.08323523950537608,0.1298710171066295,0.028829862819041374,73188,7319,9505,2110,28,118,73042,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.2,20,0.1941544622308615,0.0008267070117631314,0.0038977237293420642,0.004131587153102588,0.030098922861115013,0.07008107265357032,0.07008107265357032,12828,2566,899,899,50,53,12725,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.2,20,0.5249555552250019,0.005571195500715902,0.013018397256002495,0.01691612098534456,0.07220535417458634,0.3299033364515123,0.3299033364515123,12828,2566,4232,4232,167,217,12444,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.2,20,0.1891356828133797,2.0448366918411784e-07,0.00015590894917368256,0.0010134081696289367,0.00026856168882935006,0.0756937948238229,0.0011693171188026192,12828,2566,971,15,2,13,12813,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.2,20,0.5174838013778507,0.0009753489740211781,0.0004677268475210477,0.009510445899594636,0.11707378636420825,0.32429061428125977,0.010056127221702526,12828,2566,4160,129,6,122,12700,0
dev,pair,DB15K,M-Hyper + NativE,head,0.2,20,0.24380720260579816,0.00029290437531776637,0.004880922326011949,0.009214844736177733,0.03601333297757149,0.17318858874021711,0.015231843810485568,23766,4753,4116,362,116,219,23431,0
