pair,label,split,n,raw_active_n,rejected_n,rejected_active_n,rejected_idle_n,accepted_idle_n,active_n,harm_n,benefit_n,unchanged_n,utility,mean_gain,mean_loss,conditional_gain,conditional_loss,intervention,fallback,harm,benefit,harm_active,utility_lo,utility_hi,harm_active_lo,harm_active_hi,primary_mrr,secondary_mrr,endpoint_gap,b_win_n,tie_n,b_win_rate,tie_rate,oracle_gap,grid_oracle_gap,winner_n,winner_prevalence,winner_auc,raw_utility,gate_delta,gate_lo,gate_hi,matched_gate_delta,matched_gate_lo,matched_gate_hi,bootstrap_seed,bootstrap_replicates,cluster_order_sha256,invalid_n
mkgw_mhyper_native,W-N,dev_oof,25656,23061,9418,6823,2595,0,16238,3837,5157,16662,0.0030704357722422314,0.007770964784249634,0.004700529012007402,0.038660436785865546,0.03142996412094395,0.6329123791705644,0.36708762082943563,0.149555659494855,0.20100561272217024,0.236297573592807,0.002135516331191386,0.004011119032112089,0.2272698076027753,0.2455376193203145,0.35282196536677013,0.3284429836733619,0.024378981693408158,11353,6089,0.44250857499220453,0.23733239787963828,0.03839666654875745,0.04737787625552063,19567,0.4197884192773547,0.6029168039536772,0.0031292426108172175,-5.880683857498571e-05,-0.0005584064905533375,0.0004579698822356211,0.0008252304279617309,0.0003897046717665296,0.0012659974627585505,2026091214,10000,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,0
mkgw_mhyper_native,W-N,test,25644,22848,9404,6608,2796,0,16240,3885,4980,16779,0.0024466486686093203,0.007909788727171874,0.005463140058562554,0.04073064701196697,0.03606094302748472,0.6332865387615036,0.36671346123849635,0.15149742629854937,0.1941974730931212,0.23922413793103448,0.001461187840696215,0.0034336048610435323,0.22993976676589284,0.24870145102255467,0.3597209394760818,0.33803667583727187,0.021684263638809927,11091,6186,0.4324988301357043,0.2412260177819373,0.04218135482996349,0.05046868841907529,19458,0.43000308356460065,0.5873786106456128,0.002436276204252291,1.0372464357029608e-05,-0.0004747032845076131,0.00047996031904239605,0.0006661425492091662,0.0002376096110844764,0.0010861354017956458,2026091212,10000,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,0
mkgw_mhyper_adamf,W-A,dev_oof,25656,9966,12367,4968,7399,8291,4998,961,3367,21328,0.0012038969018035228,0.0026798814380780385,0.0014759845362745157,0.02042026675833981,0.039404640231695084,0.19480823199251637,0.48203149360773306,0.03745712503897724,0.1312363579669473,0.19227691076430573,0.0005969163576633409,0.0018103488928585488,0.17895383543925977,0.2056680201783735,0.35282196536677013,0.2897472977555586,0.06307466761121144,9281,5092,0.36174773932023696,0.19847209229809792,0.029595586836400123,0.040833808403512105,20564,0.5486773001361602,0.5926356374949778,0.0008054211096483177,0.00039847579215520474,0.00011865979691113906,0.0006832693742371088,0.000747114500568803,0.00037595377643169964,0.0011199489239239495,2026091214,10000,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,0
mkgw_mhyper_adamf,W-A,test,25644,10156,12257,4952,7305,8183,5204,928,3540,21176,0.001013911612153524,0.0024389639090168372,0.0014250522968633134,0.017668019910403326,0.039379354634442684,0.20293245983465918,0.47796755576353145,0.03618780221494307,0.1380439868975199,0.17832436587240585,0.0005129399947242459,0.0015494883388971017,0.16557009773186893,0.19124991814174802,0.3597209394760818,0.2963189096948776,0.0634020297812042,9025,5218,0.3519341756356263,0.2034783965060053,0.031010920091113503,0.045057682550808165,20426,0.5581611671399197,0.5899811092043489,0.0010464960385770253,-3.2584426423501285e-05,-0.00033288144528723226,0.0002769023014174689,0.00035942737443815496,5.649812819015575e-05,0.0006703922197841097,2026091212,10000,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,0
db15k_mhyper_native,D-N,dev_oof,47532,16792,36474,11985,24489,6251,4807,783,1929,44820,-8.819212839298039e-06,0.0005028443579434697,0.0005116635707827677,0.012390460353431311,0.031060527262383796,0.10113186905663553,0.7673567280989649,0.01647311285029033,0.04058318606412522,0.16288745579363428,-0.00018004868696573924,0.00016112307281420852,0.15079356825925044,0.17490376675939462,0.38258701302410913,0.3210219182791354,0.0615650947449738,13325,10527,0.28033745687116046,0.22147185054279223,0.03623363755884651,0.04964777965721975,37005,0.6399135251992973,0.5833583965062623,5.69242157046324e-05,-6.574342854393032e-05,-0.00030848437609539705,0.00017200861828364645,-5.0673231316476716e-05,-0.00017431340754321266,7.10049735972562e-05,2026091215,10000,d96c0198457b846f9053c44cd9b6bec6757454de2d4defcfe1b0261237c25a23,0
db15k_mhyper_native,D-N,test,59412,20143,48256,15465,32791,6478,4678,846,2019,56547,-8.12232546308676e-05,0.000536240548628884,0.0006174638032597515,0.015779655014927813,0.04336259985729121,0.07873830202652662,0.8122264862317377,0.014239547566148253,0.033983033730559484,0.18084651560495937,-0.0002508844815181656,9.524360403858367e-05,0.1687194540455821,0.19353429915939802,0.3745666587877784,0.31276148478023846,0.061805174007539945,16838,12832,0.2834107587692722,0.21598330303642363,0.03471906969430083,0.048794385399273645,46580,0.6385143838557321,0.5841966492865687,-0.00014714892820924416,6.592567357837651e-05,-0.00012121458072537838,0.00025910701379080044,-2.124722099369359e-05,-0.00014616140873994753,0.00010617917084891027,2026091213,10000,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,0
db15k_mhyper_adamf,D-A,dev_oof,47532,19200,45489,19027,26462,1870,173,44,99,47389,3.644332326432074e-05,0.00016101386370798347,0.00012457054044366276,0.07730617141179666,0.1345701574629131,0.003639653286207187,0.9570184296894724,0.0009256921652781284,0.0020828073718757887,0.2543352601156069,-7.925355287732577e-05,0.00016492622217031277,0.1895424836601307,0.3233576963719619,0.38258701302410913,0.292017872059099,0.09056914096501018,13836,8607,0.29108810906336785,0.181078010603383,0.03188011274821362,0.045284157992427056,38925,0.6445472061657033,0.5709795634047561,-0.002099700538249607,0.0021361438615139336,0.001602493717830177,0.0026819155066626207,5.977703053956903e-05,-5.4466099944396444e-05,0.0001857739795175766,2026091215,10000,d96c0198457b846f9053c44cd9b6bec6757454de2d4defcfe1b0261237c25a23,0
db15k_mhyper_adamf,D-A,test,59412,25756,57248,25489,31759,1897,267,56,174,59182,0.00021155358931433232,0.00025988523102486873,4.833164171053642e-05,0.0887373640554569,0.05127641959475696,0.0044940416077560085,0.9635763818757154,0.0009425705244731704,0.002928701272470208,0.20973782771535582,6.98016051129547e-05,0.00038175724698618653,0.1554582060096766,0.26821657922651293,0.3745666587877784,0.2825884394797199,0.09197821930805855,17257,10403,0.29046320608631254,0.17509930653739986,0.030434093038378518,0.0439380860280503,49009,0.6478810014487135,0.579956080168037,-0.0029890139034676054,0.0032005674927819356,0.002653262286092227,0.0037535203027912836,0.0002475612994777804,0.00010844091920637143,0.00041385454082644923,2026091213,10000,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,0
mkgw_native_adamf,W-NA,dev_oof,25656,19661,24627,18632,5995,0,1029,254,419,24983,0.00014695963382712314,0.0010198956115298147,0.0008729359777026915,0.06244974178856544,0.08817340725960729,0.04010757717492984,0.9598924228250701,0.009900218272528844,0.01633146242594325,0.2468415937803693,-0.0002138091341756291,0.0005133039213133791,0.21588780288177856,0.27783784406842177,0.3284429836733619,0.2897472977555586,0.03869568591780328,7575,5134,0.29525257249766135,0.2001091362644216,0.0386714505385094,0.04746627003381823,20522,0.6308839294415749,0.5429838480874425,-0.003392786667478285,0.003539746301305409,0.0024231614845025592,0.004675927401710641,0.0003386065437007816,-6.37536826968903e-06,0.0006866432955590493,2026091214,10000,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,0
mkgw_native_adamf,W-NA,test,25644,20282,24718,19356,5362,0,926,235,402,25007,0.00013891958603661343,0.000989281517868527,0.0008503619318319136,0.06310730160253857,0.09279438885062805,0.03610981126189362,0.9638901887381064,0.009163936983309936,0.0156761815629387,0.25377969762419006,-0.00025263626483185326,0.0005378371710991646,0.21953829884072715,0.28802818698763694,0.33803667583727187,0.2963189096948776,0.04171776614239428,7443,5208,0.29024333177351425,0.20308844174075807,0.03931171533328148,0.05036300766846611,20436,0.6357897827363477,0.5379639667693201,-0.0032495873602875923,0.0033885069463242073,0.002210604629557095,0.004591868709587562,0.0003152450697137976,-5.3136993792116315e-05,0.0006954741896761752,2026091212,10000,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,0
db15k_native_adamf,D-NA,dev_oof,47532,12378,45357,10549,34808,346,1829,238,902,46392,3.0512798876784747e-05,0.00042316789159240294,0.0003926550927156182,0.022299352797306094,0.07841883137377631,0.038479340233947654,0.954241353193638,0.005007153075822604,0.018976689388201632,0.13012575177692728,-0.0001267491809334003,0.0001870502980743522,0.11336226501248989,0.1471078805892273,0.3210219182791354,0.292017872059099,0.029004046220036387,18739,9017,0.3942396701169738,0.189703778507111,0.04577874461613318,0.05753256341745044,38515,0.5134622874204855,0.527714449542869,-0.0010014751751757825,0.001031987974052567,0.0007009810363101163,0.0013675585284080403,0.00017924669034603556,4.37821216258257e-05,0.0003110448461386509,2026091215,10000,d96c0198457b846f9053c44cd9b6bec6757454de2d4defcfe1b0261237c25a23,0
