pair,label,split,seed,direction,population,total_n,n,fraction,active_n,action_rate,mean_abs_movement,harm_n,benefit_n,harm_rate,benefit_rate,utility,contribution,mean_loss,conditional_loss
mkgw_mhyper_native,W-N,dev_oof,1,head,all,4276,4276,1.0,2836,0.6632366697848456,0.14184985968194577,748,1473,0.17492984097287184,0.34448082319925166,0.0009639898942889716,0.0009639898942889716,0.0040534175661165175,0.023171675819136674
mkgw_mhyper_native,W-N,dev_oof,1,tail,all,4276,4276,1.0,2501,0.5848924228250701,0.12124649204864357,509,239,0.11903648269410665,0.0558933582787652,0.002408940195053637,0.002408940195053637,0.005894430241264716,0.04951784619184267
mkgw_mhyper_native,W-N,dev_oof,2,head,all,4276,4276,1.0,2637,0.6166978484565014,0.11555191768007485,698,1356,0.16323666978484566,0.31711880261927033,0.0009624818887694626,0.0009624818887694626,0.0026658700133910048,0.016331318305529995
mkgw_mhyper_native,W-N,dev_oof,2,tail,all,4276,4276,1.0,2937,0.6868568755846586,0.1476379794200187,659,274,0.15411599625818523,0.06407857811038353,0.004015471625548653,0.004015471625548653,0.007515795917351439,0.0487671370904321
mkgw_mhyper_native,W-N,dev_oof,3,head,all,4276,4276,1.0,2824,0.6604303086997194,0.13971000935453695,732,1506,0.17118802619270346,0.3521983161833489,0.001805919053321375,0.001805919053321375,0.0032369424557296632,0.0189086966403006
mkgw_mhyper_native,W-N,dev_oof,3,tail,all,4276,4276,1.0,2503,0.5853601496725912,0.12087231057062674,491,309,0.1148269410664172,0.07226379794200187,0.008265811976471292,0.008265811976471292,0.004836717878191075,0.04212180376200618
mkgw_mhyper_native,W-N,dev_oof,1,head,ties,4276,483,0.11295603367633301,333,0.6894409937888198,0.15859213250517598,10,7,0.020703933747412008,0.014492753623188406,-0.0005139259975414914,-5.805104228543975e-05,0.0018384468872797723,0.088796984655613
mkgw_mhyper_native,W-N,dev_oof,1,tail,ties,4276,1551,0.3627221702525725,1242,0.8007736943907157,0.17704706640876847,14,8,0.009026434558349452,0.0051579626047711154,0.00016446946382689458,5.965672085956816e-05,0.0010935514750451082,0.12114988127106877
mkgw_mhyper_native,W-N,dev_oof,2,head,ties,4276,480,0.11225444340505145,301,0.6270833333333333,0.15177083333333333,6,7,0.0125,0.014583333333333334,0.002445424931467302,0.0002745098145706981,0.0008308647510723803,0.06646918008579043
mkgw_mhyper_native,W-N,dev_oof,2,tail,ties,4276,1567,0.36646398503274086,1401,0.8940650925335035,0.20485003190810464,11,8,0.007019783024888321,0.005105296745373325,-0.0006054877655970857,-0.00022188945946927812,0.0011081670334327032,0.15786343103536782
