pair,label,split,population,total_n,n,fraction,active_n,action_rate,mean_abs_movement,harm_n,benefit_n,harm_rate,benefit_rate,utility,contribution,mean_loss,conditional_loss
mkgw_mhyper_native,W-N,dev_oof,all,25656,25656,1.0,16238,0.6329123791705644,0.13114476145930776,3837,5157,0.149555659494855,0.20100561272217024,0.0030704357722422314,0.0030704357722422314,0.004700529012007402,0.03142996412094395
mkgw_mhyper_native,W-N,dev_oof,ties,25656,6089,0.23733239787963828,4838,0.794547544752833,0.17930694695352273,56,45,0.009196912465101003,0.007390376088027591,-6.572210047772849e-05,-1.5597983700065825e-05,0.001063710765689751,0.1156595509336588
mkgw_mhyper_native,W-N,dev_oof,non_ties,25656,19567,0.7626676021203617,11400,0.5826135840956713,0.11615730566770585,3781,5112,0.19323350539173098,0.2612561966576379,0.004046367968643921,0.0030860337559422977,0.005832260309693721,0.03018244842099366
mkgw_mhyper_native,W-N,test,all,25644,25644,1.0,16240,0.6332865387615036,0.12098346591795352,3885,4980,0.15149742629854937,0.1941974730931212,0.0024466486686093203,0.0024466486686093203,0.005463140058562554,0.03606094302748472
mkgw_mhyper_native,W-N,test,ties,25644,6186,0.2412260177819373,4914,0.7943743937924346,0.16543000323310697,48,63,0.007759456838021339,0.010184287099903006,0.0003338260721665243,8.052753402051628e-05,0.0013061023050943085,0.16832393456902897
mkgw_mhyper_native,W-N,test,non_ties,25644,19458,0.7587739822180627,11326,0.5820742111213897,0.10685322232500771,3837,4917,0.19719395621338268,0.2526981190255936,0.0031183477425940635,0.002366121134588804,0.0067847268374172445,0.03440636299256313
mkgw_mhyper_adamf,W-A,dev_oof,all,25656,25656,1.0,4998,0.19480823199251637,0.038166510757717494,961,3367,0.03745712503897724,0.1312363579669473,0.0012038969018035228,0.0012038969018035228,0.0014759845362745157,0.039404640231695084
mkgw_mhyper_adamf,W-A,dev_oof,ties,25656,5092,0.19847209229809792,231,0.04536527886881383,0.007364493322859387,4,22,0.0007855459544383347,0.00432050274941084,0.0008605083115181709,0.00017078688502691482,8.430316352778347e-05,0.10731792717086835
mkgw_mhyper_adamf,W-A,dev_oof,non_ties,25656,20564,0.8015279077019021,4767,0.23181287687220384,0.045793619918303836,957,3345,0.04653763859171368,0.16266290604940672,0.0012889258213587167,0.0010331100167766077,0.0018205887742645155,0.03912078114313009
mkgw_mhyper_adamf,W-A,test,all,25644,25644,1.0,5204,0.20293245983465918,0.040038605521759474,928,3540,0.03618780221494307,0.1380439868975199,0.001013911612153524,0.001013911612153524,0.0014250522968633134,0.039379354634442684
mkgw_mhyper_adamf,W-A,test,ties,25644,5218,0.2034783965060053,223,0.0427366807205826,0.0070045994633959364,5,31,0.0009582215408202376,0.005940973553085474,0.0012778433179556617,0.0002600135093235315,8.760882658927887e-05,0.09142857142857143
mkgw_mhyper_adamf,W-A,test,non_ties,25644,20426,0.7965216034939947,4981,0.24385586996964653,0.04847743072554587,923,3509,0.04518750611965142,0.171790854792911,0.0009464879540278237,0.0007538981028299925,0.0017667139059835478,0.039097397880411645
