pair,label,split,winner,n,down_only,up_only,both,neither,suggested_available
mkgw_mhyper_native,W-N,dev_oof,A,8214,829,3328,1192,2865,8214
mkgw_mhyper_native,W-N,dev_oof,B,11353,9994,60,571,728,11353
mkgw_mhyper_native,W-N,dev_oof,tie,6089,158,20,102,5809,0
mkgw_mhyper_native,W-N,test,A,8367,773,3531,1223,2840,8367
mkgw_mhyper_native,W-N,test,B,11091,9607,110,536,838,11091
mkgw_mhyper_native,W-N,test,tie,6186,144,31,107,5904,0
mkgw_mhyper_adamf,W-A,dev_oof,A,11283,3827,0,0,7456,0
mkgw_mhyper_adamf,W-A,dev_oof,B,9281,8867,0,0,414,9281
mkgw_mhyper_adamf,W-A,dev_oof,tie,5092,214,0,0,4878,0
mkgw_mhyper_adamf,W-A,test,A,11401,3928,0,0,7473,0
mkgw_mhyper_adamf,W-A,test,B,9025,8642,0,0,383,9025
mkgw_mhyper_adamf,W-A,test,tie,5218,261,0,0,4957,0
db15k_mhyper_native,D-N,dev_oof,A,23680,6272,0,0,17408,0
db15k_mhyper_native,D-N,dev_oof,B,13325,11328,0,0,1997,13325
db15k_mhyper_native,D-N,dev_oof,tie,10527,363,0,0,10164,0
db15k_mhyper_native,D-N,test,A,29742,8019,0,0,21723,0
db15k_mhyper_native,D-N,test,B,16838,14264,0,0,2574,16838
db15k_mhyper_native,D-N,test,tie,12832,426,0,0,12406,0
db15k_mhyper_adamf,D-A,dev_oof,A,25089,6667,0,0,18422,0
db15k_mhyper_adamf,D-A,dev_oof,B,13836,12850,0,0,986,13836
db15k_mhyper_adamf,D-A,dev_oof,tie,8607,530,0,0,8077,0
db15k_mhyper_adamf,D-A,test,A,31752,8581,0,0,23171,0
db15k_mhyper_adamf,D-A,test,B,17257,16401,0,0,856,17257
db15k_mhyper_adamf,D-A,test,tie,10403,810,0,0,9593,0
mkgw_native_adamf,W-NA,dev_oof,A,12947,2137,5168,763,4879,12947
mkgw_native_adamf,W-NA,dev_oof,B,7575,6677,59,175,664,7575
mkgw_native_adamf,W-NA,dev_oof,tie,5134,356,5,37,4736,0
mkgw_native_adamf,W-NA,test,A,12993,2164,5118,764,4947,12993
mkgw_native_adamf,W-NA,test,B,7443,6612,38,165,628,7443
mkgw_native_adamf,W-NA,test,tie,5208,405,4,38,4761,0
db15k_native_adamf,D-NA,dev_oof,A,19776,4914,0,0,14862,0
db15k_native_adamf,D-NA,dev_oof,B,18739,17373,0,0,1366,18739
db15k_native_adamf,D-NA,dev_oof,tie,9017,807,0,0,8210,0
db15k_native_adamf,D-NA,test,A,25115,6280,0,0,18835,0
db15k_native_adamf,D-NA,test,B,23416,21981,0,0,1435,23416
db15k_native_adamf,D-NA,test,tie,10881,1104,0,0,9777,0
