pair,label,split,n,opportunities,feasible_suggestions,feasible_suggestions_without_gain,eligible_opportunities,direction_misses,blocked_opportunities,miss_rate,suggested_profitable_but_step_nonpositive,aligned_n,aligned_harm_rate,overall_utility
mkgw_mhyper_native,W-N,dev_oof,25656,16254,19567,4482,15974,889,0,0.05565293602103418,3531,6991,0.0746674295522815,0.0030704357722422314
mkgw_mhyper_native,W-N,test,25644,16062,19458,4561,15780,883,0,0.05595690747782003,3555,6806,0.0765501028504261,0.0024466486686093203
mkgw_mhyper_adamf,W-A,dev_oof,25656,12908,9281,414,8867,0,3827,0.0,1517,2635,0.0174573055028463,0.0012038969018035228
mkgw_mhyper_adamf,W-A,test,25644,12831,9025,383,8642,0,3928,0.0,1604,2655,0.014689265536723164,0.001013911612153524
db15k_mhyper_native,D-N,dev_oof,47532,17963,13325,1997,11328,0,6272,0.0,2173,1743,0.01434308663224326,-8.819212839298039e-06
db15k_mhyper_native,D-N,test,59412,22709,16838,2574,14264,0,8019,0.0,2590,1689,0.012433392539964476,-8.12232546308676e-05
db15k_mhyper_adamf,D-A,dev_oof,47532,20047,13836,986,12850,0,6667,0.0,2757,69,0.0,3.644332326432074e-05
db15k_mhyper_adamf,D-A,test,59412,25792,17257,856,16401,0,8581,0.0,3714,139,0.02158273381294964,0.00021155358931433232
mkgw_native_adamf,W-NA,dev_oof,25656,15377,20522,7739,14979,2196,0,0.1466052473462848,1644,435,0.03218390804597701,0.00014695963382712314
mkgw_native_adamf,W-NA,test,25644,15308,20436,7777,14861,2202,0,0.1481730704528632,1720,402,0.017412935323383085,0.00013891958603661343
db15k_native_adamf,D-NA,dev_oof,47532,23094,18739,1366,17373,0,4914,0.0,3538,858,0.01282051282051282,3.0512798876784747e-05
db15k_native_adamf,D-NA,test,59412,29365,23416,1435,21981,0,6280,0.0,4467,1184,0.016891891891891893,-1.487158520481653e-05
