pair,label,split,winner,step,n,mean_delta,benefit_rate,harm_rate
mkgw_mhyper_native,W-N,dev_oof,A,down_step,8214,-0.005419807562635833,0.14012661309958607,0.3925006087168249
mkgw_mhyper_native,W-N,dev_oof,A,up_step,8214,0.008111309213826839,0.3776479181884587,0.14548332115899684
mkgw_mhyper_native,W-N,dev_oof,A,suggested_step,8214,0.008111309213826839,0.3776479181884587,0.14548332115899684
mkgw_mhyper_native,W-N,dev_oof,B,down_step,11353,0.004242388412445207,0.7444728265656655,0.03496873073196512
mkgw_mhyper_native,W-N,dev_oof,B,up_step,11353,-0.004513677361201529,0.031885845151061395,0.7508147626178102
mkgw_mhyper_native,W-N,dev_oof,B,suggested_step,11353,0.004242388412445207,0.7444728265656655,0.03496873073196512
mkgw_mhyper_native,W-N,dev_oof,tie,down_step,6089,0.0006481857168077749,0.012317293480045984,0.0068976843488257516
mkgw_mhyper_native,W-N,dev_oof,tie,up_step,6089,-0.0003221156467652116,0.008211528986697324,0.012645754639513878
mkgw_mhyper_native,W-N,dev_oof,tie,suggested_step,0,,,
mkgw_mhyper_native,W-N,test,A,down_step,8367,-0.0061669630469268774,0.13708617186566271,0.4077925182263655
mkgw_mhyper_native,W-N,test,A,up_step,8367,0.007029878149171488,0.3950041831002749,0.13971554918130752
mkgw_mhyper_native,W-N,test,A,suggested_step,8367,0.007029878149171488,0.3950041831002749,0.13971554918130752
mkgw_mhyper_native,W-N,test,B,down_step,11091,0.004851680847827113,0.72464160129835,0.0369669101072942
mkgw_mhyper_native,W-N,test,B,up_step,11091,-0.005302403140506636,0.03417185105040123,0.7345595527905509
mkgw_mhyper_native,W-N,test,B,suggested_step,11091,0.004851680847827113,0.72464160129835,0.0369669101072942
mkgw_mhyper_native,W-N,test,tie,down_step,6186,0.0008978957048256496,0.011800840607824119,0.008729388942774006
mkgw_mhyper_native,W-N,test,tie,up_step,6186,6.625149210920933e-05,0.010992563853863564,0.011315874555447785
mkgw_mhyper_native,W-N,test,tie,suggested_step,0,,,
mkgw_mhyper_adamf,W-A,dev_oof,A,down_step,11283,-0.007994861301528641,0.22875121864752282,0.23415758220331473
mkgw_mhyper_adamf,W-A,dev_oof,A,up_step,0,,,
mkgw_mhyper_adamf,W-A,dev_oof,A,suggested_step,0,,,
mkgw_mhyper_adamf,W-A,dev_oof,B,down_step,9281,0.0034100642145955904,0.7919405236504687,0.023812089214524296
mkgw_mhyper_adamf,W-A,dev_oof,B,up_step,0,,,
mkgw_mhyper_adamf,W-A,dev_oof,B,suggested_step,9281,0.0034100642145955904,0.7919405236504687,0.023812089214524296
mkgw_mhyper_adamf,W-A,dev_oof,tie,down_step,5092,0.0009094024496413165,0.007855459544383346,0.00432050274941084
mkgw_mhyper_adamf,W-A,dev_oof,tie,up_step,0,,,
mkgw_mhyper_adamf,W-A,dev_oof,tie,suggested_step,0,,,
mkgw_mhyper_adamf,W-A,test,A,down_step,11401,-0.008228031136153969,0.23427769493904044,0.22962897991404263
mkgw_mhyper_adamf,W-A,test,A,up_step,0,,,
mkgw_mhyper_adamf,W-A,test,A,suggested_step,0,,,
mkgw_mhyper_adamf,W-A,test,B,down_step,9025,0.0037938050330216496,0.7798337950138504,0.02293628808864266
mkgw_mhyper_adamf,W-A,test,B,up_step,0,,,
mkgw_mhyper_adamf,W-A,test,B,suggested_step,9025,0.0037938050330216496,0.7798337950138504,0.02293628808864266
mkgw_mhyper_adamf,W-A,test,tie,down_step,5218,0.0015097049419017473,0.011498658489842852,0.0045994633959371405
mkgw_mhyper_adamf,W-A,test,tie,up_step,0,,,
mkgw_mhyper_adamf,W-A,test,tie,suggested_step,0,,,
db15k_mhyper_native,D-N,dev_oof,A,down_step,23680,-0.0061740464076219075,0.19016047297297298,0.27690033783783785
db15k_mhyper_native,D-N,dev_oof,A,up_step,0,,,
db15k_mhyper_native,D-N,dev_oof,A,suggested_step,0,,,
db15k_mhyper_native,D-N,dev_oof,B,down_step,13325,0.005887761450357511,0.6870544090056285,0.013658536585365854
db15k_mhyper_native,D-N,dev_oof,B,up_step,0,,,
db15k_mhyper_native,D-N,dev_oof,B,suggested_step,13325,0.005887761450357511,0.6870544090056285,0.013658536585365854
db15k_mhyper_native,D-N,dev_oof,tie,down_step,10527,0.0008015666991960553,0.010069345492542984,0.005034672746271492
db15k_mhyper_native,D-N,dev_oof,tie,up_step,0,,,
db15k_mhyper_native,D-N,dev_oof,tie,suggested_step,0,,,
db15k_mhyper_native,D-N,test,A,down_step,29742,-0.005611073549269703,0.19410261582946675,0.2831013381749714
db15k_mhyper_native,D-N,test,A,up_step,0,,,
db15k_mhyper_native,D-N,test,A,suggested_step,0,,,
db15k_mhyper_native,D-N,test,B,down_step,16838,0.005163326672509662,0.6933127449815892,0.015441263808053213
db15k_mhyper_native,D-N,test,B,up_step,0,,,
db15k_mhyper_native,D-N,test,B,suggested_step,16838,0.005163326672509662,0.6933127449815892,0.015441263808053213
db15k_mhyper_native,D-N,test,tie,down_step,12832,0.0017571929126672093,0.011923316708229426,0.004286159600997506
db15k_mhyper_native,D-N,test,tie,up_step,0,,,
db15k_mhyper_native,D-N,test,tie,suggested_step,0,,,
db15k_mhyper_adamf,D-A,dev_oof,A,down_step,25089,-0.01134578957538041,0.18131452030770456,0.26804575710470724
db15k_mhyper_adamf,D-A,dev_oof,A,up_step,0,,,
db15k_mhyper_adamf,D-A,dev_oof,A,suggested_step,0,,,
db15k_mhyper_adamf,D-A,dev_oof,B,down_step,13836,0.005553520420809146,0.7294738363688927,0.020887539751373228
db15k_mhyper_adamf,D-A,dev_oof,B,up_step,0,,,
db15k_mhyper_adamf,D-A,dev_oof,B,suggested_step,13836,0.005553520420809146,0.7294738363688927,0.020887539751373228
db15k_mhyper_adamf,D-A,dev_oof,tie,down_step,8607,0.0014696908811054742,0.01603346113628442,0.009875682583943302
db15k_mhyper_adamf,D-A,dev_oof,tie,up_step,0,,,
db15k_mhyper_adamf,D-A,dev_oof,tie,suggested_step,0,,,
db15k_mhyper_adamf,D-A,test,A,down_step,31752,-0.011564818878081735,0.1814373897707231,0.27667548500881833
db15k_mhyper_adamf,D-A,test,A,up_step,0,,,
db15k_mhyper_adamf,D-A,test,A,suggested_step,0,,,
db15k_mhyper_adamf,D-A,test,B,down_step,17257,0.005450812836200975,0.7351799269861505,0.021556469838326476
db15k_mhyper_adamf,D-A,test,B,up_step,0,,,
db15k_mhyper_adamf,D-A,test,B,suggested_step,17257,0.005450812836200975,0.7351799269861505,0.021556469838326476
db15k_mhyper_adamf,D-A,test,tie,down_step,10403,0.0019247318843461023,0.018840719023358647,0.011246755743535519
db15k_mhyper_adamf,D-A,test,tie,up_step,0,,,
db15k_mhyper_adamf,D-A,test,tie,suggested_step,0,,,
mkgw_native_adamf,W-NA,dev_oof,A,down_step,12947,-0.009803983365500889,0.15030508998223527,0.4893025411292191
mkgw_native_adamf,W-NA,dev_oof,A,up_step,12947,0.008292455645955996,0.4580984011740171,0.14814242681702325
mkgw_native_adamf,W-NA,dev_oof,A,suggested_step,12947,0.008292455645955996,0.4580984011740171,0.14814242681702325
mkgw_native_adamf,W-NA,dev_oof,B,down_step,7575,0.009549901259302896,0.6875247524752475,0.04026402640264026
mkgw_native_adamf,W-NA,dev_oof,B,up_step,7575,-0.026792032709884634,0.03089108910891089,0.716963696369637
mkgw_native_adamf,W-NA,dev_oof,B,suggested_step,7575,0.009549901259302896,0.6875247524752475,0.04026402640264026
mkgw_native_adamf,W-NA,dev_oof,tie,down_step,5134,0.0004937605910276667,0.02337358784573432,0.02337358784573432
mkgw_native_adamf,W-NA,dev_oof,tie,up_step,5134,-0.015106810160316442,0.008180755746007013,0.04850019477989871
mkgw_native_adamf,W-NA,dev_oof,tie,suggested_step,0,,,
mkgw_native_adamf,W-NA,test,A,down_step,12993,-0.009348614072841092,0.14600169321942585,0.48141306857538674
mkgw_native_adamf,W-NA,test,A,up_step,12993,0.009515588477259106,0.4527053028553837,0.144154544754868
mkgw_native_adamf,W-NA,test,A,suggested_step,12993,0.009515588477259106,0.4527053028553837,0.144154544754868
mkgw_native_adamf,W-NA,test,B,down_step,7443,0.009959476176368703,0.6794303372296118,0.038425366115813514
mkgw_native_adamf,W-NA,test,B,up_step,7443,-0.02767196148670361,0.027273948676608893,0.7140937793900309
mkgw_native_adamf,W-NA,test,B,suggested_step,7443,0.009959476176368703,0.6794303372296118,0.038425366115813514
mkgw_native_adamf,W-NA,test,tie,down_step,5208,0.001867200355544532,0.028993855606758833,0.016321044546851
mkgw_native_adamf,W-NA,test,tie,up_step,5208,-0.014180901862997735,0.008064516129032258,0.04608294930875576
mkgw_native_adamf,W-NA,test,tie,suggested_step,0,,,
db15k_native_adamf,D-NA,dev_oof,A,down_step,19776,-0.016006344600239867,0.17627427184466019,0.34749190938511326
db15k_native_adamf,D-NA,dev_oof,A,up_step,0,,,
db15k_native_adamf,D-NA,dev_oof,A,suggested_step,0,,,
db15k_native_adamf,D-NA,dev_oof,B,down_step,18739,0.007752152921989474,0.7382998025508298,0.017823789956774642
db15k_native_adamf,D-NA,dev_oof,B,up_step,0,,,
db15k_native_adamf,D-NA,dev_oof,B,suggested_step,18739,0.007752152921989474,0.7382998025508298,0.017823789956774642
db15k_native_adamf,D-NA,dev_oof,tie,down_step,9017,0.0025281762502054822,0.026172784739935676,0.013640900521237662
db15k_native_adamf,D-NA,dev_oof,tie,up_step,0,,,
db15k_native_adamf,D-NA,dev_oof,tie,suggested_step,0,,,
db15k_native_adamf,D-NA,test,A,down_step,25115,-0.015782398161357496,0.17308381445351384,0.3571570774437587
db15k_native_adamf,D-NA,test,A,up_step,0,,,
db15k_native_adamf,D-NA,test,A,suggested_step,0,,,
db15k_native_adamf,D-NA,test,B,down_step,23416,0.008263055337449041,0.747950119576358,0.018491629654936795
db15k_native_adamf,D-NA,test,B,up_step,0,,,
db15k_native_adamf,D-NA,test,B,suggested_step,23416,0.008263055337449041,0.747950119576358,0.018491629654936795
db15k_native_adamf,D-NA,test,tie,down_step,10881,0.0026409375069761545,0.02720338204209172,0.01369359433875563
db15k_native_adamf,D-NA,test,tie,up_step,0,,,
db15k_native_adamf,D-NA,test,tie,suggested_step,0,,,
