pair,label,learner,n,prevalence,mean_score,brier,log_loss,ece10,auc
mkgw_mhyper_native,W-N,balanced,19567,0.4197884192773547,0.49731696028146843,0.24193730576914738,0.6768428214235417,0.07794776735730562,0.6029168039536772
mkgw_mhyper_native,W-N,unweighted,19567,0.4197884192773547,0.4198143919532626,0.23585897775658135,0.6644340304910029,0.016268440108973967,0.6025794333903156
mkgw_mhyper_native,W-N,train_prior,19567,0.4197884192773547,0.4197999044167201,0.24360458991476044,0.6803025968113633,1.1485139365385866e-05,0.49071674939703636
mkgw_mhyper_adamf,W-A,balanced,20564,0.5486773001361602,0.5014717828171353,0.24293570909181444,0.6786698795498527,0.04720551731902501,0.5926356374949778
mkgw_mhyper_adamf,W-A,unweighted,20564,0.5486773001361602,0.5486141863658784,0.24083775483537725,0.6742592400178563,0.0069481651901637746,0.5919847435657928
mkgw_mhyper_adamf,W-A,train_prior,20564,0.5486773001361602,0.5486677961418209,0.24773498083662887,0.6886118176041578,9.503994339299382e-06,0.4865734219095308
db15k_mhyper_native,D-N,balanced,37005,0.6399135251992973,0.5037912074420267,0.2439856169035783,0.6806019132624488,0.13612231775727068,0.5833583965062623
db15k_mhyper_native,D-N,unweighted,37005,0.6399135251992973,0.640043389447429,0.22550499199706198,0.6420794791290734,0.008398525974350618,0.5836110808275443
db15k_mhyper_native,D-N,train_prior,37005,0.6399135251992973,0.6399089966193473,0.2304629281344441,0.6535519014500121,4.528579950036082e-06,0.49024455529638455
db15k_mhyper_adamf,D-A,balanced,38925,0.6445472061657033,0.5029141627896171,0.24569862676321202,0.6842199091530877,0.14163595919729427,0.5709795634047561
db15k_mhyper_adamf,D-A,unweighted,38925,0.6445472061657033,0.6446727794943403,0.2256250668486273,0.6427762895040219,0.010371201892838775,0.5711806515206559
db15k_mhyper_adamf,D-A,train_prior,38925,0.6445472061657033,0.6445349442070726,0.2291396366225569,0.6508302152891454,1.2261958630688241e-05,0.49133524951836394
mkgw_native_adamf,W-NA,balanced,20522,0.6308839294415749,0.5011334352966911,0.24818405348809933,0.6895475856826482,0.1297504941448838,0.5429838480874425
mkgw_native_adamf,W-NA,unweighted,20522,0.6308839294415749,0.6308226262063874,0.23138195261545721,0.6553522937540291,0.002841382318363733,0.5415888844619381
mkgw_native_adamf,W-NA,train_prior,20522,0.6308839294415749,0.6308731552940425,0.23295117850734548,0.6586591370639733,1.0774147532366385e-05,0.4857739027938477
db15k_native_adamf,D-NA,balanced,38515,0.5134622874204855,0.5000379592798415,0.24942067450046224,0.6920914077922398,0.013895060866082273,0.527714449542869
db15k_native_adamf,D-NA,unweighted,38515,0.5134622874204855,0.5134628388229286,0.249282887713762,0.6918210466029024,0.002292943673327972,0.5264800900023159
db15k_native_adamf,D-NA,train_prior,38515,0.5134622874204855,0.513462311650327,0.24986405963108513,0.6928753282481638,2.422984146654983e-08,0.4907333526715393
