pair,learner,bin,lower,upper,n,mean_score,win_frequency
mkgw_mhyper_native,balanced,0,0.0,0.1,0,,
mkgw_mhyper_native,balanced,1,0.1,0.2,0,,
mkgw_mhyper_native,balanced,2,0.2,0.3,2,0.2913691637958642,0.0
mkgw_mhyper_native,balanced,3,0.3,0.4,3573,0.36989926838375686,0.32633641197872937
mkgw_mhyper_native,balanced,4,0.4,0.5,6042,0.45388906031042475,0.3583250579278385
mkgw_mhyper_native,balanced,5,0.5,0.6,7415,0.5416405648079831,0.45772083614295345
mkgw_mhyper_native,balanced,6,0.6,0.7,2224,0.6390518024749624,0.5764388489208633
mkgw_mhyper_native,balanced,7,0.7,0.8,288,0.7290136786114338,0.6388888888888888
mkgw_mhyper_native,balanced,8,0.8,0.9,23,0.8216738684150592,1.0
mkgw_mhyper_native,balanced,9,0.9,1.0,0,,
mkgw_mhyper_native,unweighted,0,0.0,0.1,0,,
mkgw_mhyper_native,unweighted,1,0.1,0.2,0,,
mkgw_mhyper_native,unweighted,2,0.2,0.3,1894,0.2834403280224448,0.3146779303062302
mkgw_mhyper_native,unweighted,3,0.3,0.4,6047,0.34871406044800973,0.3505870679675872
mkgw_mhyper_native,unweighted,4,0.4,0.5,8284,0.4464041130678656,0.4285369386769676
mkgw_mhyper_native,unweighted,5,0.5,0.6,2749,0.5417349143362186,0.5714805383775918
mkgw_mhyper_native,unweighted,6,0.6,0.7,532,0.6323396895238599,0.6109022556390977
mkgw_mhyper_native,unweighted,7,0.7,0.8,59,0.7410805069303869,0.847457627118644
mkgw_mhyper_native,unweighted,8,0.8,0.9,2,0.8144428229077239,1.0
mkgw_mhyper_native,unweighted,9,0.9,1.0,0,,
mkgw_mhyper_native,train_prior,0,0.0,0.1,0,,
mkgw_mhyper_native,train_prior,1,0.1,0.2,0,,
mkgw_mhyper_native,train_prior,2,0.2,0.3,0,,
mkgw_mhyper_native,train_prior,3,0.3,0.4,0,,
mkgw_mhyper_native,train_prior,4,0.4,0.5,19567,0.4197999044167201,0.4197884192773547
mkgw_mhyper_native,train_prior,5,0.5,0.6,0,,
mkgw_mhyper_native,train_prior,6,0.6,0.7,0,,
mkgw_mhyper_native,train_prior,7,0.7,0.8,0,,
mkgw_mhyper_native,train_prior,8,0.8,0.9,0,,
mkgw_mhyper_native,train_prior,9,0.9,1.0,0,,
mkgw_mhyper_adamf,balanced,0,0.0,0.1,0,,
mkgw_mhyper_adamf,balanced,1,0.1,0.2,0,,
mkgw_mhyper_adamf,balanced,2,0.2,0.3,220,0.2918814244527208,0.4772727272727273
mkgw_mhyper_adamf,balanced,3,0.3,0.4,1718,0.3419139165312135,0.3911525029103609
mkgw_mhyper_adamf,balanced,4,0.4,0.5,8947,0.46150084855531565,0.5078797362244327
mkgw_mhyper_adamf,balanced,5,0.5,0.6,7036,0.5388184905433419,0.5830017055144969
mkgw_mhyper_adamf,balanced,6,0.6,0.7,2172,0.6409273112216546,0.6795580110497238
mkgw_mhyper_adamf,balanced,7,0.7,0.8,433,0.7327648382294545,0.8013856812933026
mkgw_mhyper_adamf,balanced,8,0.8,0.9,38,0.8180903541367496,0.9736842105263158
mkgw_mhyper_adamf,balanced,9,0.9,1.0,0,,
mkgw_mhyper_adamf,unweighted,0,0.0,0.1,0,,
mkgw_mhyper_adamf,unweighted,1,0.1,0.2,0,,
mkgw_mhyper_adamf,unweighted,2,0.2,0.3,16,0.27820444859964555,0.5
mkgw_mhyper_adamf,unweighted,3,0.3,0.4,1389,0.3659398977120759,0.40748740100791936
mkgw_mhyper_adamf,unweighted,4,0.4,0.5,3500,0.4716458907763034,0.46285714285714286
mkgw_mhyper_adamf,unweighted,5,0.5,0.6,10852,0.5458887895132537,0.5447843715444157
mkgw_mhyper_adamf,unweighted,6,0.6,0.7,3708,0.6415714220734678,0.6353829557713053
mkgw_mhyper_adamf,unweighted,7,0.7,0.8,1009,0.7344891022159721,0.7294350842418236
mkgw_mhyper_adamf,unweighted,8,0.8,0.9,89,0.8231913303645473,0.9438202247191011
mkgw_mhyper_adamf,unweighted,9,0.9,1.0,1,0.9042122265858378,1.0
mkgw_mhyper_adamf,train_prior,0,0.0,0.1,0,,
mkgw_mhyper_adamf,train_prior,1,0.1,0.2,0,,
mkgw_mhyper_adamf,train_prior,2,0.2,0.3,0,,
mkgw_mhyper_adamf,train_prior,3,0.3,0.4,0,,
mkgw_mhyper_adamf,train_prior,4,0.4,0.5,0,,
mkgw_mhyper_adamf,train_prior,5,0.5,0.6,20564,0.5486677961418209,0.5486773001361602
mkgw_mhyper_adamf,train_prior,6,0.6,0.7,0,,
mkgw_mhyper_adamf,train_prior,7,0.7,0.8,0,,
mkgw_mhyper_adamf,train_prior,8,0.8,0.9,0,,
mkgw_mhyper_adamf,train_prior,9,0.9,1.0,0,,
db15k_mhyper_native,balanced,0,0.0,0.1,0,,
db15k_mhyper_native,balanced,1,0.1,0.2,2,0.1504105962815561,1.0
db15k_mhyper_native,balanced,2,0.2,0.3,7,0.2594238364162463,0.7142857142857143
