router_mode,feature_set,model_type,delta,selected_tau,best_mrr,fusion_coverage,gain_precision,positive_label_rate_dev,oracle_gap_at_best_tau,source_file
clean,C4,logistic,0.00,0.5,0.29775092341370835,0.5096,0.7415620094191523,0.48106666666666664,,outputs/router/eval/clean/threshold_scan_clean_logistic_delta_0.00_C4.csv
clean,C4,logistic,0.01,0.9,0.293863770631994,0.00465,0.7240143369175627,0.15616666666666668,,outputs/router/eval/clean/threshold_scan_clean_logistic_delta_0.01_C4.csv
clean,C4,logistic,0.02,0.9,0.29349451703238194,0.0064,0.5208333333333334,0.12906666666666666,,outputs/router/eval/clean/threshold_scan_clean_logistic_delta_0.02_C4.csv
clean,C4,xgb,0.00,0.5,0.29827575378941945,0.52215,0.7372721759392257,0.48106666666666664,,outputs/router/eval/clean/threshold_scan_clean_xgb_delta_0.00_C4.csv
clean,C4,xgb,0.01,0.9,0.2938588708819874,0.00485,0.718213058419244,0.15616666666666668,,outputs/router/eval/clean/threshold_scan_clean_xgb_delta_0.01_C4.csv
clean,C4,xgb,0.02,0.9,0.2938459144830665,0.00425,0.6823529411764706,0.12906666666666666,,outputs/router/eval/clean/threshold_scan_clean_xgb_delta_0.02_C4.csv
posthoc,PH4,logistic,0.00,0.5,0.29896143836948963,0.49566666666666664,0.7464694014794889,0.48106666666666664,,outputs/router/eval/posthoc/threshold_scan_posthoc_logistic_delta_0.00_PH4.csv
posthoc,PH4,logistic,0.01,0.9,0.2938366817389749,0.0031333333333333335,0.6276595744680851,0.15616666666666668,,outputs/router/eval/posthoc/threshold_scan_posthoc_logistic_delta_0.01_PH4.csv
posthoc,PH4,logistic,0.02,0.9,0.2942087143531693,0.0048,0.5868055555555556,0.12906666666666666,,outputs/router/eval/posthoc/threshold_scan_posthoc_logistic_delta_0.02_PH4.csv
posthoc,PH4,xgb,0.00,0.5,0.3000836085850106,0.5136166666666667,0.743063893305643,0.48106666666666664,,outputs/router/eval/posthoc/threshold_scan_posthoc_xgb_delta_0.00_PH4.csv
posthoc,PH4,xgb,0.01,0.9,0.2937109365389887,0.0033666666666666667,0.7227722772277227,0.15616666666666668,,outputs/router/eval/posthoc/threshold_scan_posthoc_xgb_delta_0.01_PH4.csv
posthoc,PH4,xgb,0.02,0.9,0.2937915353726567,0.0032333333333333333,0.6701030927835051,0.12906666666666666,,outputs/router/eval/posthoc/threshold_scan_posthoc_xgb_delta_0.02_PH4.csv
