feature_name,coefficient,coefficient_abs,direction,rank_abs,rank_within_direction
struct_margin,-4.722441813227194,4.722441813227194,negative_for_fusion,1,1
struct_correct_score,-4.258357120067911,4.258357120067911,negative_for_fusion,2,2
relation_id=rel_132,-3.6044651492920323,3.6044651492920323,negative_for_fusion,3,3
fusion_margin,-2.454001333404563,2.454001333404563,negative_for_fusion,6,4
relation_id=rel_29,-2.3226929480720515,2.3226929480720515,negative_for_fusion,7,5
relation_id=rel_2,-2.140884808977924,2.140884808977924,negative_for_fusion,11,6
relation_id=rel_69,-1.5645488237566938,1.5645488237566938,negative_for_fusion,13,7
relation_id=rel_101,-1.467396191137248,1.467396191137248,negative_for_fusion,14,8
relation_id=rel_89,-1.2834185545984882,1.2834185545984882,negative_for_fusion,19,9
relation_id=rel_20,-1.1846630727048708,1.1846630727048708,negative_for_fusion,21,10
relation_id=rel_125,-1.0998716513193485,1.0998716513193485,negative_for_fusion,24,11
relation_id=rel_102,-1.0730350965696405,1.0730350965696405,negative_for_fusion,26,12
relation_id=rel_126,2.7650454012439702,2.7650454012439702,positive_for_fusion,4,1
relation_id=rel_39,2.4743783563427466,2.4743783563427466,positive_for_fusion,5,2
relation_id=rel_66,2.3154805816519284,2.3154805816519284,positive_for_fusion,8,3
delta_margin,2.268440479820945,2.268440479820945,positive_for_fusion,9,4
relation_id=rel_103,2.2061493781999313,2.2061493781999313,positive_for_fusion,10,5
fusion_correct_score,1.749708141918082,1.749708141918082,positive_for_fusion,12,6
relation_id=rel_33,1.4650736485899634,1.4650736485899634,positive_for_fusion,15,7
relation_id=rel_98,1.3460986217828461,1.3460986217828461,positive_for_fusion,16,8
relation_id=rel_105,1.3346664196687885,1.3346664196687885,positive_for_fusion,17,9
relation_id=rel_15,1.3169367497506423,1.3169367497506423,positive_for_fusion,18,10
relation_fusion_win_rate,1.2565512933724292,1.2565512933724292,positive_for_fusion,20,11
relation_id=rel_117,1.130281889336303,1.130281889336303,positive_for_fusion,22,12
