feature_name,coefficient,coefficient_abs,direction,rank_abs,rank_within_direction
struct_correct_score,-1.0235166306140633,1.0235166306140633,negative_for_fusion,2,1
fusion_margin,-0.8833938435679521,0.8833938435679521,negative_for_fusion,3,2
direction=head,-0.45616685667122286,0.45616685667122286,negative_for_fusion,6,3
struct_margin,-0.3864201842388118,0.3864201842388118,negative_for_fusion,7,4
target_regime=head_no_img,-0.25632713929304507,0.25632713929304507,negative_for_fusion,9,5
img_is_missing_replaced,-0.1962763735550461,0.1962763735550461,negative_for_fusion,10,6
relation_id=rel_96,-0.17312190325627494,0.17312190325627494,negative_for_fusion,12,7
relation_id=rel_8,-0.14717264533728228,0.14717264533728228,negative_for_fusion,15,8
relation_id=rel_86,-0.1389869572483159,0.1389869572483159,negative_for_fusion,18,9
relation_id=rel_130,-0.13490880804664365,0.13490880804664365,negative_for_fusion,20,10
relation_id=rel_132,-0.13477229673108262,0.13477229673108262,negative_for_fusion,21,11
relation_id=rel_29,-0.11828050151887656,0.11828050151887656,negative_for_fusion,22,12
fusion_correct_score,2.347944912270185,2.347944912270185,positive_for_fusion,1,1
delta_margin,0.8228563489528684,0.8228563489528684,positive_for_fusion,4,2
relation_support,0.5026340475332771,0.5026340475332771,positive_for_fusion,5,3
relation_id=rel_66,0.26426684463324623,0.26426684463324623,positive_for_fusion,8,4
relation_id=rel_103,0.19408046669122214,0.19408046669122214,positive_for_fusion,11,5
direction=tail,0.153963314448274,0.153963314448274,positive_for_fusion,13,6
target_regime=tail_no_img,0.153963314448274,0.153963314448274,positive_for_fusion,14,7
relation_is_visual_prior,0.14201752309980306,0.14201752309980306,positive_for_fusion,16,8
relation_id=rel_106,0.14140632465651018,0.14140632465651018,positive_for_fusion,17,9
relation_fusion_win_rate,0.13602804249783718,0.13602804249783718,positive_for_fusion,19,10
relation_id=rel_117,0.11789116441828286,0.11789116441828286,positive_for_fusion,23,11
relation_id=rel_45,0.11786242444505493,0.11786242444505493,positive_for_fusion,24,12
