feature_family,feature_count,aggregated_gain,aggregated_weight,aggregated_cover,rank_gain
relation_id,123,1079.497688293457,642.0,114571.8574256897,1
direction,2,365.354736328125,233.0,3577.3756103515625,2
target_regime,3,352.31556701660156,47.0,3138.5987548828125,3
fusion_correct_score,1,238.0223846435547,803.0,1925.3564453125,4
struct_correct_score,1,98.94673156738281,647.0,1519.6397705078125,5
relation_fusion_win_rate,1,64.59521484375,204.0,1387.9500732421875,6
target_has_img,1,60.00732421875,9.0,747.502197265625,7
relation_support,1,50.10668182373047,286.0,1502.2257080078125,8
relation_gain_prior,1,43.52765655517578,212.0,1018.8434448242188,9
struct_margin,1,36.879173278808594,400.0,956.4281005859375,10
img_is_missing_replaced,1,27.79554557800293,55.0,640.4326171875,11
fusion_margin,1,16.264123916625977,164.0,702.9016723632812,12
text_img_cosine,1,15.160154342651367,137.0,738.7371215820312,13
delta_margin,1,12.94437313079834,197.0,524.7882690429688,14
relation_is_visual_prior,1,5.8451995849609375,2.0,45.164649963378906,15
