feature_name,feature_family,importance_gain,importance_weight,importance_cover,rank_gain
target_regime=tail_no_img,target_regime,308.7266540527344,8.0,1540.13037109375,1
fusion_correct_score,fusion_correct_score,238.0223846435547,803.0,1925.3564453125,2
direction=head,direction,202.25094604492188,189.0,1857.3065185546875,3
direction=tail,direction,163.10379028320312,44.0,1720.069091796875,4
struct_correct_score,struct_correct_score,98.94673156738281,647.0,1519.6397705078125,5
relation_id=rel_45,relation_id,73.35553741455078,56.0,2445.295166015625,6
relation_fusion_win_rate,relation_fusion_win_rate,64.59521484375,204.0,1387.9500732421875,7
target_has_img,target_has_img,60.00732421875,9.0,747.502197265625,8
relation_support,relation_support,50.10668182373047,286.0,1502.2257080078125,9
target_regime=head_no_img,target_regime,43.58891296386719,39.0,1598.4683837890625,10
relation_gain_prior,relation_gain_prior,43.52765655517578,212.0,1018.8434448242188,11
relation_id=rel_78,relation_id,42.62778091430664,10.0,292.41943359375,12
relation_id=rel_96,relation_id,41.68430709838867,15.0,2499.469970703125,13
struct_margin,struct_margin,36.879173278808594,400.0,956.4281005859375,14
relation_id=rel_103,relation_id,32.268310546875,1.0,377.11328125,15
img_is_missing_replaced,img_is_missing_replaced,27.79554557800293,55.0,640.4326171875,16
relation_id=rel_0,relation_id,26.60350227355957,6.0,1354.8812255859375,17
relation_id=rel_115,relation_id,26.459598541259766,29.0,1487.58984375,18
relation_id=rel_16,relation_id,24.67989730834961,36.0,1055.9559326171875,19
relation_id=rel_86,relation_id,24.21208381652832,5.0,1051.4306640625,20
relation_id=rel_36,relation_id,23.647659301757812,1.0,4113.16015625,21
relation_id=rel_117,relation_id,23.581279754638672,25.0,639.02392578125,22
relation_id=rel_88,relation_id,22.671024322509766,20.0,3075.67333984375,23
relation_id=rel_19,relation_id,22.474794387817383,11.0,944.1454467773438,24
relation_id=rel_8,relation_id,22.442981719970703,17.0,546.2610473632812,25
relation_id=rel_101,relation_id,22.0897159576416,12.0,2295.952392578125,26
relation_id=rel_106,relation_id,21.350265502929688,22.0,2993.02734375,27
relation_id=rel_6,relation_id,20.68881607055664,3.0,2143.022705078125,28
relation_id=rel_92,relation_id,20.525861740112305,14.0,1581.103515625,29
relation_id=rel_98,relation_id,20.291683197021484,16.0,381.27117919921875,30
relation_id=rel_29,relation_id,18.708707809448242,24.0,2216.477783203125,31
relation_id=rel_48,relation_id,18.53826332092285,2.0,613.4876708984375,32
relation_id=rel_61,relation_id,18.27686309814453,3.0,134.0086212158203,33
relation_id=rel_80,relation_id,17.95195770263672,9.0,579.32568359375,34
relation_id=rel_39,relation_id,17.828880310058594,8.0,68.21058654785156,35
relation_id=rel_94,relation_id,17.456876754760742,1.0,2698.932373046875,36
relation_id=rel_66,relation_id,16.985719680786133,22.0,3235.767333984375,37
relation_id=rel_82,relation_id,16.47885513305664,14.0,608.46728515625,38
fusion_margin,fusion_margin,16.264123916625977,164.0,702.9016723632812,39
relation_id=rel_38,relation_id,16.127174377441406,25.0,502.82342529296875,40
relation_id=rel_32,relation_id,15.595622062683105,9.0,3697.67236328125,41
text_img_cosine,text_img_cosine,15.160154342651367,137.0,738.7371215820312,42
relation_id=rel_89,relation_id,14.976629257202148,10.0,76.74552917480469,43
relation_id=rel_22,relation_id,14.643570899963379,16.0,2743.8193359375,44
relation_id=rel_91,relation_id,14.627167701721191,12.0,2484.21435546875,45
relation_id=rel_11,relation_id,14.29995059967041,2.0,1224.2855224609375,46
relation_id=rel_31,relation_id,13.634950637817383,5.0,73.1603775024414,47
relation_id=rel_100,relation_id,13.574684143066406,14.0,3509.720947265625,48
relation_id=rel_132,relation_id,13.569499015808105,23.0,1970.46142578125,49
relation_id=rel_108,relation_id,13.38388442993164,1.0,73.02186584472656,50
relation_id=rel_33,relation_id,13.274421691894531,12.0,1025.6629638671875,51
relation_id=rel_52,relation_id,13.274103164672852,11.0,3086.126708984375,52
relation_id=rel_113,relation_id,13.265268325805664,11.0,3494.5263671875,53
